Table 4-1,,,,,,,,,,,,,,,
"Median annual salary of full-time employed college graduates, by major occupation, age, level of highest degree, and sex: 2023",,,,,,,,,,,,,,,
(Dollars),,,,,,,,,,,,,,,
Occupation and age,All degrees,,,Bachelor's,,,Master's,,,Doctorate,,,Professional,,
,All degrees:Total,All degrees:Female,All degrees:Male,Bachelor's:Total,Bachelor's:Female,Bachelor's:Male,Master's:Total,Master's:Female,Master's:Male,Doctorate:Total,Doctorate:Female,Doctorate:Male,Professional:Total,Professional:Female,Professional:Male
All occupations,"85,000","75,000","100,000","78,000","66,000","90,000","93,000","80,000","118,000","110,000","98,000","121,000","150,000","130,000","178,000"
All occupations:29 and younger,"61,000","58,000","70,000","60,000","55,000","66,000","65,000","63,000","77,000","81,000","81,000","78,000","75,000","75,000","84,000"
All occupations:30–39,"85,000","75,000","98,000","80,000","66,000","90,000","90,000","80,000","110,000","100,000","90,000","109,000","138,000","135,000","140,000"
All occupations:40–49,"99,000","84,000","112,000","90,000","75,000","100,000","100,000","86,000","125,000","116,000","111,000","120,000","179,000","150,000","199,000"
All occupations:50–75,"98,000","81,000","118,000","88,000","75,000","100,000","100,000","88,000","125,000","125,000","99,000","140,000","179,000","149,000","198,000"
S&E occupations,"110,000","98,000","116,000","102,000","91,000","106,000","122,000","105,000","130,000","120,000","103,000","127,000","129,000","124,000","130,000"
S&E occupations:29 and younger,"84,000","76,000","86,000","84,000","78,000","85,000","87,000","75,000","95,000","93,000","79,000","110,000",D,D,D
S&E occupations:30–39,"112,000","100,000","119,000","105,000","95,000","110,000","125,000","110,000","134,000","106,000","95,000","117,000","99,000",S,"129,000"
S&E occupations:40–49,"122,000","110,000","130,000","120,000","105,000","120,000","132,000","117,000","140,000","119,000","116,000","127,000","148,000","131,000","192,000"
S&E occupations:50–75,"125,000","111,000","130,000","120,000","105,000","123,000","135,000","116,000","144,000","132,000","113,000","143,000","139,000","139,000","162,000"
"Biological, agricultural, and other life scientists","80,000","79,000","82,000","62,000","60,000","62,000","70,000","70,000","70,000","107,000","97,000","111,000","192,000","213,000","170,000"
"Biological, agricultural, and other life scientists:29 and younger","50,000","44,000","54,000","53,000","48,000","55,000","36,000",S,"39,000","61,000","58,000","68,000",D,D,D
"Biological, agricultural, and other life scientists:30–39","77,000","77,000","78,000","63,000","64,000","61,000","74,000","72,000","78,000","94,000","93,000","95,000",D,D,D
"Biological, agricultural, and other life scientists:40–49","95,000","98,000","95,000","85,000","92,000","76,000","77,000","78,000","77,000","114,000","107,000","115,000",S,S,S
"Biological, agricultural, and other life scientists:50–75","110,000","100,000","113,000","80,000","80,000","86,000","92,000","100,000","80,000","130,000","116,000","135,000","198,000",S,"163,000"
Computer and mathematical scientists,"120,000","109,000","120,000","110,000","100,000","113,000","133,000","120,000","140,000","146,000","134,000","150,000","129,000",S,"119,000"
Computer and mathematical scientists:29 and younger,"95,000","92,000","95,000","91,000","84,000","94,000","110,000","112,000","109,000","136,000","114,000","150,000",D,D,D
Computer and mathematical scientists:30–39,"120,000","110,000","125,000","113,000","100,000","118,000","139,000","120,000","150,000","159,000","150,000","160,000",D,D,D
Computer and mathematical scientists:40–49,"128,000","113,000","130,000","120,000","105,000","125,000","134,000","118,000","140,000","132,000","126,000","144,000",D,D,D
Computer and mathematical scientists:50–75,"125,000","119,000","130,000","117,000","105,000","119,000","139,000","127,000","144,000","148,000","135,000","151,000","120,000",S,D
Physical and related scientists,"83,000","77,000","88,000","70,000","70,000","70,000","80,000","76,000","83,000","119,000","106,000","124,000",D,D,D
Physical and related scientists:29 and younger,"52,000","59,000","45,000","49,000","54,000","39,000","43,000","53,000","34,000","75,000","84,000","72,000",D,D,D
Physical and related scientists:30–39,"82,000","82,000","82,000","80,000","80,000","80,000","74,000","81,000","69,000","105,000","104,000","101,000",D,D,D
Physical and related scientists:40–49,"105,000","106,000","105,000","90,000","80,000","100,000","105,000","117,000","102,000","116,000","122,000","112,000",D,D,D
Physical and related scientists:50–75,"120,000","97,000","128,000","98,000","87,000","105,000","100,000","98,000","104,000","135,000","112,000","142,000",D,D,D
Social and related scientists,"86,000","84,000","90,000","87,000","85,000","87,000","83,000","76,000","92,000","90,000","87,000","96,000","100,000","99,000","120,000"
Social and related scientists:29 and younger,"55,000","54,000","56,000","49,000","51,000","42,000","59,000","56,000","61,000","80,000","76,000","96,000",D,D,D
Social and related scientists:30–39,"90,000","90,000","92,000","94,000","94,000",S,"90,000","95,000","85,000","81,000","73,000","99,000",S,S,D
Social and related scientists:40–49,"90,000","107,000","86,000","87,000","172,000",S,"84,000","84,000","91,000","99,000","108,000","84,000","108,000",D,S
Social and related scientists:50–75,"103,000","89,000","113,000","117,000","117,000","101,000","85,000","70,000","112,000","99,000","98,000","106,000","139,000",S,S
Engineers,"115,000","105,000","116,000","104,000","99,000","105,000","130,000","116,000","134,000","130,000","120,000","136,000",S,D,D
Engineers:29 and younger,"87,000","87,000","87,000","85,000","85,000","84,000","100,000","90,000","100,000","123,000","102,000","124,000",D,D,D
Engineers:30–39,"115,000","110,000","115,000","106,000","110,000","105,000","125,000","110,000","127,000","117,000","109,000","117,000",D,D,D
Engineers:40–49,"132,000","120,000","133,000","119,000","106,000","120,000","146,000","146,000","145,000","145,000","115,000","148,000",D,D,D
Engineers:50–75,"140,000","130,000","141,000","130,000","130,000","130,000","150,000","124,000","149,000","150,000","132,000","152,000",D,D,D
S&E-related occupations,"90,000","84,000","106,000","80,000","72,000","90,000","98,000","92,000","110,000","112,000","105,000","125,000","160,000","138,000","192,000"
S&E-related occupations:29 and younger,"65,000","64,000","65,000","60,000","60,000","65,000","70,000","70,000","70,000","78,000","81,000","69,000","72,000","74,000","70,000"
S&E-related occupations:30–39,"89,000","85,000","98,000","80,000","72,000","88,000","91,000","88,000","100,000","100,000","100,000","99,000","141,000","144,000","137,000"
