prop,key,val,,,,
Year,observationDate,{Number},populationType,MedicalConditionIncident,observationAbout,country/USA
Sex:Female,gender,Female,,,,
Sex:Male,gender,Male,,,,
Sex:Unknown,gender,CDC_GenderUnknownOrNotStated,,,,
Age:<1  year,age,YearsUpto1,,,,
Age:1-4 years,age,Years1To4,,,,
Age:5-14 years,age,Years5To14,,,,
Age:15-24 years,age,Years15To24,,,,
Age:25-39 years,age,Years25To39,,,,
Age:40-64 years,age,Years40To64,,,,
Age:65+ years,age,Years65Onwards,,,,
Age:Unknown,age,USC_AgeNotStated,,,,
Race:American Indian or Alaska Native,race,AmericanIndianAndAlaskaNativeAlone,,,,
Race:Asian or Pacific Islander,race,AsianOrPacificIslander,,,,
Race:Black or African American,race,BlackOrAfricanAmericanAlone,,,,
Race:White,race,WhiteAlone,,,,
Race:Other or Multi-Race,race,CDC_OtherRace,,,,
Race:Unknown,race,CDC_RaceUnknownOrNotStated,,,,
Race:Suppressed,#ignore,Race,,,,
,,,,,,
Ethnicity:Hispanic,ethnicity,HispanicOrLatino,,,,
Ethnicity:Non-Hispanic,ethnicity,NotHispanicOrLatino,,,,
Ethnicity:Unknown,ethnicity,CDC_EthnicityUnknownOrNotStated,,,,
Ethnicity:Suppressed,#ignore,Ignore,,,,
Regions:United States,residentStatus,USResident,,,,
Regions:New England,#ignore,Ignore,,,,
Regions:Middle Atlantic,#ignore,Ignore,,,,
Regions:East North Central,#ignore,Ignore,,,,
Regions:West North Central,#ignore,Ignore,,,,
Regions:South Atlantic,#ignore,Ignore,,,,
Regions:East South Central,#ignore,Ignore,,,,
Regions:West South Central,#ignore,Ignore,,,,
Regions:Mountain,#ignore,Ignore,,,,
Regions:Pacific,#ignore,Ignore,,,,
Regions:Territories,#ignore,Ignore,,,,
Regions:Non-U.S. Residents,residentStatus,NonUSResident,,,,
,,,,,,
Case Count,value,{Number},measurementMethod,CDC_NNDSS_Diseases_AnnualTables,observationPeriod,P1Y
,,,,,,
10140,medicalCondition,Measles,,,,
10500,medicalCondition,Measles,medicalStatus,IndigenousCase,,
10510,medicalCondition,Measles,medicalStatus,ImportedCase,,
