pharmGKBID,dcid
PA140222717,chem/CID903
PA140222717,chem/CID903
PA164747739,chem/CID1110
PA164924487,chem/CID5839
PA165110775,chem/CID104842
PA165290931,chem/CID216345
PA165291922,chem/CID83970
PA165291923,chem/DoxorubicinSemiquinoneRadical
PA165291924,chem/CID83958
PA165291925,chem/CID161952
PA165291926,chem/DoxorubicinHydroxyaglycone
PA165817196,chem/CID2555
PA165817197,chem/CID135290
PA165817198,chem/CID83852
PA165817199,chem/CID83870
PA165817200,chem/CID129274
PA165820585,chem/CID4687
PA165823907,chem/CID17732
PA165823908,chem/CID135250
PA165946719,chem/CID6420504
PA165946746,chem/CID160755
PA165946747,chem/CID6420900
PA165983954,chem/CID39763
PA165983955,chem/CID83944
PA165983956,chem/CID83939
PA165983957,chem/CID135828
PA166109554,chem/CID65143
PA166109574,chem/CID439201
PA166109575,chem/CID3081372
PA166114414,chem/CID854019
PA166123346,chem/CID5280352
PA166127651,chem/CID3032890
PA166127652,chem/CID449459
PA166129446,chem/CID64718
PA166129559,chem/HdlCholesterol
PA166131238,chem/CID10709035
PA166131239,chem/Dihydrodeoxyartemisinin
PA166131240,chem/CID83997
PA166131241,chem/HydroxyNDesmethyltamoxifen
PA166131242,chem/CID53477725
PA166131243,chem/CID9815515
PA166131245,chem/CID104896
PA166131246,chem/CID6437068
PA166131247,chem/CID453338
PA166131248,chem/CID10755325
PA166131249,chem/CID131769925
PA166131250,chem/CID131769927
PA166131251,chem/CID71748973
PA166131252,chem/CID131769937
PA166131253,chem/CID131769929
PA166131254,chem/CID131769943
PA166131255,chem/CID25879063
PA166131256,chem/AlphaHydroxytamoxifenOGlucuronide
PA166131257,chem/CID131770041
PA166131258,chem/CID10037499
PA166131259,chem/CID100427
PA166131260,chem/CID71712269
PA166131261,chem/CID10068142
PA166131262,chem/CID10219774
PA166131263,chem/CID10255482
PA166131264,chem/CID10265589
PA166131265,chem/CID10403174
PA166131266,chem/CID10415951
PA166131267,chem/CID10443535
PA166131268,chem/CID10444113
PA166131269,chem/CID107735
PA166131269,chem/CID107735
PA166131270,chem/CID107744
PA166131271,chem/CID108051
PA166131272,chem/CID108074
PA166131273,chem/CID108185
PA166131274,chem/CID108214
PA166131275,chem/CID10850461
PA166131276,chem/CID10978907
PA166131277,chem/CID10874382
PA166131278,chem/CID1127
PA166131279,chem/CID135496227
PA166131280,chem/CID11832956
PA166131281,chem/CID119560
PA166131282,chem/CID12000328
PA166131283,chem/CID121249
PA166131284,chem/CID121997
PA166131285,chem/CID124143
PA166131286,chem/CID128908
PA166131287,chem/CID13103864
PA166131288,chem/CID13369
PA166131289,chem/CID134459
PA166131290,chem/CID13748464
PA166131291,chem/CID145900
PA166131292,chem/CID159513
PA166131293,chem/CID162976
PA166131294,chem/CID164695
PA166131295,chem/CID166774
PA166131296,chem/CID16725849
PA166131297,chem/CID17785
PA166131298,chem/CID122068
PA166131299,chem/CID18343
PA166131300,chem/CID18924996
PA166131301,chem/CID189733
PA166131302,chem/CID2734218
PA166131303,chem/CID127462
PA166131304,chem/CID29969962
PA166131305,chem/CID2997
PA166131306,chem/CID29977666
PA166131307,chem/CID300
PA166131308,chem/CID3033896
PA166131309,chem/CID3033897
PA166131310,chem/CID3035848
PA166131311,chem/CID3036172
PA166131312,chem/CID3036580
PA166131313,chem/CID3058751
PA166131314,chem/CID3081342
PA166131315,chem/CID308171
PA166131316,chem/CID3085253
PA166131317,chem/CID31347
PA166131318,chem/CID31515
PA166131319,chem/CID33
PA166131320,chem/CID33676
PA166131321,chem/CID40621976
PA166131322,chem/CID134820024
PA166131323,chem/CID412
PA166131324,chem/CID413
PA166131325,chem/CID443154
PA166131326,chem/CID44630766
PA166131327,chem/CID45117195
PA166131328,chem/CID135499583
PA166131329,chem/CID46173784
PA166131330,chem/CID4644
PA166131331,chem/CID76320713
PA166131332,chem/CID135565291
PA166131333,chem/CID469588
PA166131334,chem/CID487643
PA166131335,chem/CID520217
PA166131336,chem/ParoxetineMGlucuronide
PA166131337,chem/CID5353833
PA166131338,chem/CID5460873
PA166131339,chem/CID54682146
PA166131340,chem/CID5484731
PA166131341,chem/CID5489029
PA166131342,chem/CID5489120
PA166131343,chem/CID135564825
PA166131344,chem/CID56927907
PA166131345,chem/CID6428584
PA166131346,chem/CID57347719
PA166131347,chem/CID61163
PA166131348,chem/CID63060
PA166131349,chem/CID6420157
PA166131350,chem/CID6581
PA166131352,chem/CID69726
PA166131353,chem/CID70346
PA166131354,chem/CID70639
PA166131355,chem/CID70682632
PA166131356,chem/CID71308732
PA166131357,chem/CID71312545
PA166131358,chem/CID71315739
PA166131359,chem/CID71316036
PA166131360,chem/CID71587579
PA166131362,chem/CID131770036
PA166131363,chem/CID71751422
PA166131364,chem/CID71752850
PA166131365,chem/CID73949
PA166131366,chem/CID7847
PA166131367,chem/CID79437
PA166131368,chem/CID80220
PA166131369,chem/CID86278298
PA166131370,chem/CID100995317
PA166131371,chem/CID9033
PA166131372,chem/CID91511538
PA166131373,chem/CID91611
PA166131374,chem/CID91667711
PA166131375,chem/CID9579578
PA166131376,chem/CID96356
PA166131377,chem/CID9797657
PA166131378,chem/CID9815514
PA166131379,chem/CID9838803
PA166131380,chem/CID9859500
PA166131381,chem/CID98612
PA166131382,chem/CID9864316
PA166131383,chem/CID9869737
PA166131384,chem/CID98932
PA166131385,chem/CID9908776
PA166131386,chem/CID9925873
PA166131387,chem/CID99303
PA166131388,chem/CID99735
PA166131389,chem/StatinActiveMetabolitesStatinInactiveMetabolites
PA166131390,chem/PravastatinActiveMetabolitesPravastatinInactiveMetabolites
PA166131391,chem/FluvastatinActiveMetabolitesFluvastatinInactiveMetabolites
PA166131393,chem/CID54731323
PA166131394,chem/CID54750067
PA166131395,chem/CID101987375
PA166131396,chem/CID54744201
PA166131397,chem/CID54732122
PA166131398,chem/CID54684422
PA166131399,chem/CID54692246
PA166131401,chem/CID101592230
PA166131402,chem/CID169703
PA166131403,chem/CID152954
PA166131404,chem/CID131769979
PA166131405,chem/CID131769980
PA166131406,chem/CID68037237
PA166131408,chem/CID131770034
PA166131409,chem/CID131770035
PA166131410,chem/CID131769920
PA166131411,chem/CID131770047
PA166131412,chem/TamoxifenMetaboliteEGlucuronide
PA166131413,chem/TamoxifenMetaboliteESulfate
PA166131414,chem/CID430245
PA166131415,chem/CID13351
PA166131416,chem/CID53882537
PA166131417,chem/CID503023
PA166131418,chem/CID10432343
PA166131419,chem/CID150856
PA166131420,chem/Hydroxytegafur
PA166131421,chem/CID151244
PA166131422,chem/CID25141411
PA166131423,chem/CID156028062
PA166131424,chem/VincristineM
PA166131425,chem/CID11190016
PA166131426,chem/CID11235504
PA166131427,chem/ProtonatedProtonPumpInhibitors
PA166131428,chem/CID10404448
PA166131430,chem/CID29977672
PA166131431,chem/RepaglinideM
PA166131432,chem/RepaglinideM
PA166131433,chem/CID91667679
PA166131434,chem/CID46782457
PA166131435,chem/CID91667688
PA166131437,chem/TaxaneMetabolite
PA166131438,chem/ThienopyridineActiveMetabolite
PA166131439,chem/CID71316864
PA166131440,chem/CID71751199
PA166131441,chem/FluoxetineInactiveMetabolites
PA166131442,chem/HydroxyimatinibMetabolites
PA166131443,chem/CID9802264
PA166131444,chem/LosartanM
PA166131445,chem/CID9867801
PA166131446,chem/LosartanM
PA166131447,chem/CID9911047
PA166131448,chem/CID49849772
PA166131449,chem/CID154699743
PA166131450,chem/CID162180
PA166131451,chem/CID107917
PA166131452,chem/CID162244
PA166131453,chem/CID1963
PA166131454,chem/BenzodiazepineGlucoronidatedMetabolites
PA166131455,chem/ClonazepamAcetylatedMetabolites
PA166131456,chem/CID28648
PA166131457,chem/CID4540
PA166131458,chem/CID131769966
PA166131459,chem/DoxorubicinDeoxyaglycone
PA166131460,chem/DoxorubicinolHydroxyaglycone
PA166131461,chem/CID223
PA166131462,chem/BusulfanGlutathioneConjugate
PA166131463,chem/BusulfanNAcetylatedCysteineConjugate
PA166131464,chem/CID12814879
PA166131465,chem/CID496630
PA166131466,chem/CID71433639
PA166131467,chem/ArtemisininCrystal
PA166131468,chem/HydroxyDesethylamodiaquine
PA166131469,chem/AmodiaquineM
PA166131470,chem/CID181536
PA166131471,chem/CID10047220
PA166131472,chem/CID131769977
PA166131473,chem/CID131769978
PA166131474,chem/CID78069861
PA166131475,chem/CID165361837
PA166131476,chem/POSulfateRosiglitazone
PA166131477,chem/CID131769971
PA166131478,chem/CID131769972
PA166131479,chem/CID131769973
PA166131480,chem/CID10356320
