pharmGKBID,dcid
PA166238901,chem/CID23671798
PA166238881,chem/CID9547222
PA166238883,chem/CID23671797
PA166238882,chem/CID23671799
PA166238921,chem/CID71316159
PA166238884,chem/CID71316160
PA166238961,chem/CID23691039
PA164712302,chem/AminoPhenylethanolDerivatives
PA134967247,chem/CID66414
PA131887008,chem/CID1615
PA165958321,chem/CID178014
PA165858618,chem/CID9571836
PA451993,chem/CID5881
PA166123047,chem/CID164045
PA166305281,chem/CID54085540
PA166305281,chem/CID54085540
PA164712303,chem/OxoandrostenDerivatives
PA166262141,chem/CID9887837
PA166262142,chem/CID446155
PA166122786,chem/CID107731
PA166224244,chem/CID53357352
PA151958637,chem/CID151900
PA154081778,chem/CID5280567
PA164712304,chem/AndrostanonDerivatives
PA151958362,chem/CID6440498
PA130230922,chem/CID444818
PA152530740,chem/CID1329
PA448004,chem/CID441300
PA448004,chem/CID441300
PA448004,chem/CID441300
PA448004,chem/CID441300
PA164754915,chem/CID16131215
PA164747080,chem/Abatacept
PA448006,chem/Abciximab
PA166153471,chem/CID46220502
PA166116241,chem/CID11749858
PA166123407,chem/CID132971
PA166338841,chem/CID72734520
PA166272921,chem/CID78323835
PA166104276,chem/Abt
PA166198581,chem/CID71226662
PA10344,chem/CID71158
PA448010,chem/CID441184
PA166340542,chem/CID68488178
PA448011,chem/CID1978
PA166049185,chem/CID71771
PA164712305,chem/AceInhibitorsAndCalciumChannelBlockers
PA164712306,chem/AceInhibitorsAndDiuretics
PA164712307,chem/AceInhibitorsCombinations
PA164712308,chem/AceInhibitorsPlain
PA166049184,chem/CID1981
PA452632,chem/CID9052
PA164783999,chem/CID6077
PA164743727,chem/CID26035
PA448014,chem/AcetamideMea
PA448015,chem/CID1983
PA166246281,chem/AcetaminophenCaffeineDihydrocodeine
PA166184061,chem/CID163158
PA165290927,chem/CID44150691
PA166184496,chem/AcetaminophenTramadol
PA448016,chem/Acetanilide
PA448018,chem/CID1986
PA448021,chem/CID176
PA448021,chem/CID176
PA164712309,chem/AceticAcidDerivativesAndRelatedSubstances
PA164777011,chem/CID1989
PA164749213,chem/CID1990
PA448025,chem/CID180
PA164781360,chem/CID441185
PA448031,chem/CID187
PA448033,chem/CID12035
PA448033,chem/CID12035
PA448033,chem/CID12035
PA164746246,chem/CID68949
PA164712311,chem/Acidifiers
PA164712310,chem/AcidPreparations
