school_state_code,year,sv_name,observation
02039659_27,2019-20,Percent_Student_AsAFractionOf_Count_Student,8.29
Y2162569_39,2019-20,Percent_Student_AsAFractionOf_Count_Student,13.1
A1904589_51,2019-20,Percent_Student_AsAFractionOf_Count_Student,6.5
BB180782_12,2019-20,Percent_Student_AsAFractionOf_Count_Student,3.45
A1390320_45,2019-20,Percent_Student_AsAFractionOf_Count_Student,1.54
02043767_34,2019-20,Percent_Student_AsAFractionOf_Count_Student,6.5
A1102054_47,2019-20,Percent_Student_AsAFractionOf_Count_Student,7.0
A1904058_47,2019-20,Percent_Student_AsAFractionOf_Count_Student,7.0
A0108235_37,2019-20,Percent_Student_AsAFractionOf_Count_Student,1.01
A0700925_18,2019-20,Percent_Student_AsAFractionOf_Count_Student,10.0
A0106240_33,2019-20,Percent_Student_AsAFractionOf_Count_Student,5.59
A1992001_12,2019-20,Percent_Student_AsAFractionOf_Count_Student,6.0
A1990180_12,2019-20,Percent_Student_AsAFractionOf_Count_Student,4.29
00867797_34,2019-20,Percent_Student_AsAFractionOf_Count_Student,10.93
A1790473_48,2019-20,Percent_Student_AsAFractionOf_Count_Student,1.67
A1904059_47,2019-20,Percent_Student_AsAFractionOf_Count_Student,1.0
A1502784_39,2019-20,Percent_Student_AsAFractionOf_Count_Student,8.0
A1101911_42,2019-20,Percent_Student_AsAFractionOf_Count_Student,9.27
K9305227_42,2019-20,Percent_Student_AsAFractionOf_Count_Student,10.0
A9700074_4,2019-20,Percent_Student_AsAFractionOf_Count_Student,9.63
00928796_36,2019-20,Percent_Student_AsAFractionOf_Count_Student,9.39
A0500119_6,2019-20,Percent_Student_AsAFractionOf_Count_Student,7.5
A0770215_6,2019-20,Percent_Student_AsAFractionOf_Count_Student,10.0
A1100054_6,2019-20,Percent_Student_AsAFractionOf_Count_Student,16.5
A9502733_34,2019-20,Percent_Student_AsAFractionOf_Count_Student,8.0
BB180928_16,2019-20,Percent_Student_AsAFractionOf_Count_Student,5.33
A1702965_42,2019-20,Percent_Student_AsAFractionOf_Count_Student,4.0
BB964072_36,2019-20,Percent_Student_AsAFractionOf_Count_Student,7.44
A9101510_8,2019-20,Percent_Student_AsAFractionOf_Count_Student,10.42
A0790077_18,2019-20,Percent_Student_AsAFractionOf_Count_Student,10.38
AA000003_48,2019-20,Percent_Student_AsAFractionOf_Count_Student,1.5
A1900987_12,2019-20,Percent_Student_AsAFractionOf_Count_Student,4.4
BB140770_36,2019-20,Percent_Student_AsAFractionOf_Count_Student,8.06
A1970313_6,2019-20,Percent_Student_AsAFractionOf_Count_Student,3.5
A0902693_42,2019-20,Percent_Student_AsAFractionOf_Count_Student,5.67
BB061076_36,2019-20,Percent_Student_AsAFractionOf_Count_Student,8.43
A1700697_12,2019-20,Percent_Student_AsAFractionOf_Count_Student,3.0
BB161349_29,2019-20,Percent_Student_AsAFractionOf_Count_Student,0.77
A9502589_29,2019-20,Percent_Student_AsAFractionOf_Count_Student,1.25
A9708049_51,2019-20,Percent_Student_AsAFractionOf_Count_Student,1.25
BB170347_48,2019-20,Percent_Student_AsAFractionOf_Count_Student,9.0
BB000456_17,2019-20,Percent_Student_AsAFractionOf_Count_Student,16.92
A1970230_4,2019-20,Percent_Student_AsAFractionOf_Count_Student,1.63
A9707442_39,2019-20,Percent_Student_AsAFractionOf_Count_Student,9.0
A1990626_41,2019-20,Percent_Student_AsAFractionOf_Count_Student,10.96
A1770719_13,2019-20,Percent_Student_AsAFractionOf_Count_Student,12.5
A1503441_42,2019-20,Percent_Student_AsAFractionOf_Count_Student,3.1
A0301317_17,2019-20,Percent_Student_AsAFractionOf_Count_Student,0.43
A1370047_12,2019-20,Percent_Student_AsAFractionOf_Count_Student,11.0
A1770721_13,2019-20,Percent_Student_AsAFractionOf_Count_Student,2.63
A1990697_48,2019-20,Percent_Student_AsAFractionOf_Count_Student,10.87
A1901622_47,2019-20,Percent_Student_AsAFractionOf_Count_Student,4.38
A0902694_42,2019-20,Percent_Student_AsAFractionOf_Count_Student,2.0
A1902951_36,2019-20,Percent_Student_AsAFractionOf_Count_Student,2.85
A1971095_48,2019-20,Percent_Student_AsAFractionOf_Count_Student,7.5
A1171647_48,2019-20,Percent_Student_AsAFractionOf_Count_Student,14.0
00001026_1,2019-20,Percent_Student_AsAFractionOf_Count_Student,9.11
02068045_55,2019-20,Percent_Student_AsAFractionOf_Count_Student,12.5
BB182783_51,2019-20,Percent_Student_AsAFractionOf_Count_Student,3.13
BB021012_17,2019-20,Percent_Student_AsAFractionOf_Count_Student,1.38
A0307071_6,2019-20,Percent_Student_AsAFractionOf_Count_Student,11.0
A1700702_12,2019-20,Percent_Student_AsAFractionOf_Count_Student,15.0
A1770724_13,2019-20,Percent_Student_AsAFractionOf_Count_Student,2.0
00425908_18,2019-20,Percent_Student_AsAFractionOf_Count_Student,6.02
A9100483_6,2019-20,Percent_Student_AsAFractionOf_Count_Student,12.0
A0300103_6,2019-20,Percent_Student_AsAFractionOf_Count_Student,16.0
A1500127_6,2019-20,Percent_Student_AsAFractionOf_Count_Student,13.0
A9302116_6,2019-20,Percent_Student_AsAFractionOf_Count_Student,12.0
A0902446_37,2019-20,Percent_Student_AsAFractionOf_Count_Student,0.42
00094237_6,2019-20,Percent_Student_AsAFractionOf_Count_Student,15.0
A1700704_12,2019-20,Percent_Student_AsAFractionOf_Count_Student,5.25
BB170337_46,2019-20,Percent_Student_AsAFractionOf_Count_Student,11.47
A1700705_12,2019-20,Percent_Student_AsAFractionOf_Count_Student,7.69
