Year,Geo,StatVar,Quantity
2005-09,geoId/06,Count_MedicalConditionIncident_0To4Years_SummerSeason_Male_ConditionHeatStress_VisitedEmergencyDepartment,55.0
2005-09,geoId/06,Count_MedicalConditionIncident_0To4Years_SummerSeason_Female_ConditionHeatStress_VisitedEmergencyDepartment,42.0
2005-09,geoId/06,Count_MedicalConditionIncident_5To14Years_SummerSeason_Male_ConditionHeatStress_VisitedEmergencyDepartment,141.0
2005-09,geoId/06,Count_MedicalConditionIncident_5To14Years_SummerSeason_Female_ConditionHeatStress_VisitedEmergencyDepartment,123.0
2005-09,geoId/06,Count_MedicalConditionIncident_15To34Years_SummerSeason_Male_ConditionHeatStress_VisitedEmergencyDepartment,777.0
2005-09,geoId/06,Count_MedicalConditionIncident_15To34Years_SummerSeason_Female_ConditionHeatStress_VisitedEmergencyDepartment,353.0
2005-09,geoId/06,Count_MedicalConditionIncident_35To64Years_SummerSeason_Male_ConditionHeatStress_VisitedEmergencyDepartment,894.0
2005-09,geoId/06,Count_MedicalConditionIncident_35To64Years_SummerSeason_Female_ConditionHeatStress_VisitedEmergencyDepartment,443.0
2005-09,geoId/06,Count_MedicalConditionIncident_65OrMoreYears_SummerSeason_Male_ConditionHeatStress_VisitedEmergencyDepartment,282.0
2005-09,geoId/06,Count_MedicalConditionIncident_65OrMoreYears_SummerSeason_Female_ConditionHeatStress_VisitedEmergencyDepartment,249.0
2006-09,geoId/06,Count_MedicalConditionIncident_0To4Years_SummerSeason_Male_ConditionHeatStress_VisitedEmergencyDepartment,88.0
2006-09,geoId/06,Count_MedicalConditionIncident_0To4Years_SummerSeason_Female_ConditionHeatStress_VisitedEmergencyDepartment,65.0
2006-09,geoId/06,Count_MedicalConditionIncident_5To14Years_SummerSeason_Male_ConditionHeatStress_VisitedEmergencyDepartment,171.0
2006-09,geoId/06,Count_MedicalConditionIncident_5To14Years_SummerSeason_Female_ConditionHeatStress_VisitedEmergencyDepartment,138.0
2006-09,geoId/06,Count_MedicalConditionIncident_15To34Years_SummerSeason_Male_ConditionHeatStress_VisitedEmergencyDepartment,1096.0
2006-09,geoId/06,Count_MedicalConditionIncident_15To34Years_SummerSeason_Female_ConditionHeatStress_VisitedEmergencyDepartment,595.0
2006-09,geoId/06,Count_MedicalConditionIncident_35To64Years_SummerSeason_Male_ConditionHeatStress_VisitedEmergencyDepartment,1487.0
2006-09,geoId/06,Count_MedicalConditionIncident_35To64Years_SummerSeason_Female_ConditionHeatStress_VisitedEmergencyDepartment,794.0
2006-09,geoId/06,Count_MedicalConditionIncident_65OrMoreYears_SummerSeason_Male_ConditionHeatStress_VisitedEmergencyDepartment,559.0
2006-09,geoId/06,Count_MedicalConditionIncident_65OrMoreYears_SummerSeason_Female_ConditionHeatStress_VisitedEmergencyDepartment,662.0
