key,prop,val,,,,,,,,
2011-12,observationDate,2012,,,,,,,,
2013-14,observationDate,2014,,,,,,,,
2015-16,observationDate,2016,,,,,,,,
2017-18,observationDate,2018,,,,,,,,
2020-21,observationDate,2021,,,,,,,,
Number and percentage of public school students,populationType,Student,schoolType,PublicSchool,,,,,,
Number and percentage of public school male students,populationType,Student,schoolType,PublicSchool,gender,Male,,,,
Number and percentage of public school female students,populationType,Student,schoolType,PublicSchool,gender,Female,,,,
State,assessmentType,ScholasticAssessmentTest__AmericanCollegeTesting,,,,,,,,
Total Students,value,{Number},populationType,Student,,,,,,
American Indian or Alaska Native,value,{Number},race,AmericanIndianOrAlaskaNative,populationType,Student,value,{Number},#MergedCell,1
Asian,race,Asian,value,{Number},populationType,Student,value,{Number},#MergedCell,1
Hispanic or Latino of any race,value,{Number},race,HispanicOrLatino,populationType,Student,value,{Number},#MergedCell,1
Black or African American,value,{Number},race,BlackOrAfricanAmericanAlone,populationType,Student,value,{Number},#MergedCell,1
White,race,White,value,{Number},populationType,Student,value,{Number},#MergedCell,1
Native Hawaiian or Other Pacific Islander,value,{Number},race,NativeHawaiianOrOtherPacificIslanderAlone,populationType,Student,value,{Number},#MergedCell,1
Two or more races,value,{Number},race,TwoOrMoreRaces,populationType,Student,value,{Number},#MergedCell,1
Students With Disabilities Served Under IDEA,value,{Number},disabilityStatus,WithDisability,populationType,Student,,,,
English Language Learners,value,{Number},languageLearned,EnglishLearner,populationType,Student,,,,
,,,,,,,,,,
,,,,,,,,,,
male,gender,Male,,,,,,,,
female,gender,Female,,,,,,,,
Number,measurementDenominator,"""""",value,{Number},,,,,,
Percent,measurementDenominator,"-race,-languageLearned,-disabilityStatus",unit,Percent,scalingFactor,100,value,{Number},,
Number of Schools,#ignore,ignore,,,,,,,,
Percent of Schools Reporting ,#ignore,ignore,,,,,,,,
,,,,,,,,,,
"50 states, District of Columbia, and Puerto Rico",observationAbout,country/USA,,,,,,,,
United States,observationAbout,country/USA,,,,,,,,
Alabama,observationAbout,geoId/01,,,,,,,,
Alaska,observationAbout,geoId/02,,,,,,,,
Arizona,observationAbout,geoId/04,,,,,,,,
Arkansas,observationAbout,geoId/05,,,,,,,,
California,observationAbout,geoId/06,,,,,,,,
Colorado,observationAbout,geoId/08,,,,,,,,
Connecticut,observationAbout,geoId/09,,,,,,,,
Delaware,observationAbout,geoId/10,,,,,,,,
District of Columbia,observationAbout,geoId/11,,,,,,,,
Florida,observationAbout,geoId/12,,,,,,,,
Georgia,observationAbout,geoId/13,,,,,,,,
Hawaii,observationAbout,geoId/15,,,,,,,,
Idaho,observationAbout,geoId/16,,,,,,,,
Illinois,observationAbout,geoId/17,,,,,,,,
Indiana,observationAbout,geoId/18,,,,,,,,
Iowa,observationAbout,geoId/19,,,,,,,,
Kansas,observationAbout,geoId/20,,,,,,,,
Kentucky,observationAbout,geoId/21,,,,,,,,
Louisiana,observationAbout,geoId/22,,,,,,,,
Maine,observationAbout,geoId/23,,,,,,,,
Maryland,observationAbout,geoId/24,,,,,,,,
Massachusetts,observationAbout,geoId/25,,,,,,,,
Michigan,observationAbout,geoId/26,,,,,,,,
Minnesota,observationAbout,geoId/27,,,,,,,,
Mississippi,observationAbout,geoId/28,,,,,,,,
Missouri,observationAbout,geoId/29,,,,,,,,
Montana,observationAbout,geoId/30,,,,,,,,
Nebraska,observationAbout,geoId/31,,,,,,,,
Nevada,observationAbout,geoId/32,,,,,,,,
New Hampshire,observationAbout,geoId/33,,,,,,,,
New Jersey,observationAbout,geoId/34,,,,,,,,
New Mexico,observationAbout,geoId/35,,,,,,,,
New York,observationAbout,geoId/36,,,,,,,,
North Carolina,observationAbout,geoId/37,,,,,,,,
North Dakota,observationAbout,geoId/38,,,,,,,,
Ohio,observationAbout,geoId/39,,,,,,,,
Oklahoma,observationAbout,geoId/40,,,,,,,,
Oregon,observationAbout,geoId/41,,,,,,,,
Pennsylvania,observationAbout,geoId/42,,,,,,,,
Rhode Island,observationAbout,geoId/44,,,,,,,,
South Carolina,observationAbout,geoId/45,,,,,,,,
South Dakota,observationAbout,geoId/46,,,,,,,,
Tennessee,observationAbout,geoId/47,,,,,,,,
Texas,observationAbout,geoId/48,,,,,,,,
Utah,observationAbout,geoId/49,,,,,,,,
Vermont,observationAbout,geoId/50,,,,,,,,
Virginia,observationAbout,geoId/51,,,,,,,,
Washington,observationAbout,geoId/53,,,,,,,,
West Virginia,observationAbout,geoId/54,,,,,,,,
Wisconsin,observationAbout,geoId/55,,,,,,,,
Wyoming,observationAbout,geoId/56,,,,,,,,
