,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
key,p1,v1,p2,v2,,,,,,,,,,,,,,,,
State,observationAbout,{Data},,,,,,,,,,,,,,,,,,
Year,observationDate,2018-06,,,,,,,,,,,,,,,,,,
Average Medical Expenditure On Account Of Hospitalisation Per Hospitalisation Case (UOM:INR(IndianRupees)),measuredProperty,amount,statType,meanValue,populationType,ExpenditureActivity,expenditureType,Hospitalization,measurementDenominator,",+measuredProperty=count,-statType,+populationType=MedicalConditionIncident,+medicalStatus=PatientHospitalized,-expenditureType",unit,INR,value,{Number},,,,,,
Average Medical Expenditure For Treatment Per Hospitalisation Case During Stay At Hospital (UOM:INR(IndianRupees)),expenditureType,Treatment,statType,meanValue,populationType,ExpenditureActivity,measurementDenominator,",+measuredProperty=count,-statType,+populationType=MedicalConditionIncident,+medicalStatus=PatientHospitalized,-expenditureType",unit,INR,value,{Number},,,,,,,,
Average Of Other Expenses On Account Of Hospitalisation (UOM:INR(IndianRupees)),expenditureType,OtherHospitalExpense,statType,meanValue,populationType,ExpenditureActivity,unit,INR,value,{Number},,,,,,,,,,
Average Medical And Non-Medical Expenditure On Account Of Hospitalisation (UOM:INR(IndianRupees)),expenditureType,MedicalExpense__NonMedicalExpense,statType,meanValue,populationType,ExpenditureActivity,unit,INR,value,{Number},,,,,,,,,,
male,gender,Male,,,,,,,,,,,,,,,,,,
female,gender,Female,,,,,,,,,,,,,,,,,,
Urban,placeOfResidenceClassification,Urban,,,,,,,,,,,,,,,,,,
Rural,placeOfResidenceClassification,Rural,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
State,observationAbout,{Data},populationType,MedicalConditionIncident,statType,measuredValue,,,,,,,,,,,,,,
Year,observationDate,2017-06,,,,,,,,,,,,,,,,,,
Male,gender,Male,,,,,,,,,,,,,,,,,,
Female,gender,Female,,,,,,,,,,,,,,,,,,
Persons In The Population Reported Ailing (%) (UOM:%(Percentage)),measuredProperty,count,populationType,Person,measurementDenominator,Count_Person,value,{Number},medicalCondition,Ailing,unit,Percent,scalingFactor,100,,,,,,
5-14,age,[5 14 Years],,,,,,,,,,,,,,,,,,
0-4,age,[0 4 Years],,,,,,,,,,,,,,,,,,
15-29,age,[15 29 Years],,,,,,,,,,,,,,,,,,
30-44,age,[30 44 Years],,,,,,,,,,,,,,,,,,
45-59,age,[45 59 Years],,,,,,,,,,,,,,,,,,
60+,age,[60 - Years],,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
State,observationAbout,{Data},,,,,,,,,,,,,,,,,,
Year,observationDate,2014-06,,,,,,,,,,,,,,,,,,
