National Center for Education Statistics,,,,,,,,,,,,,,,,
"Table 20. Number of full-time, first-time degree/certificate-seeking undergraduate students in the adjusted cohort, number of completers, and graduation rate within 150 percent of normal program completion time at Title IV institutions, by control of institution, level of institution, and type of aid received: United States, cohort years 2015 and 2018",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Level of institution and type of aid received,,All institutions,,,,Public,,,,Private,,,,,,
,,,,,,,,,,Nonprofit,,,,For-profit,,
,,Adjusted cohort,Completers,Graduation rate,,Adjusted cohort,Completers,Graduation rate,,Adjusted cohort,Completers,Graduation rate,,Adjusted cohort,Completers,Graduation rate
,,,,,,,,,,,,,,,,
All institutions (cohort years 2015   and 2018),,,,,,,,,,,,,,,,
All students,,"2,563,243","1,403,521",54.8,,"1,767,489","890,359",50.4,,"520,408","351,280",67.5,,"275,346","161,882",58.8
Received Pell Grant,,"1,094,890","501,135",45.8,,"734,338","298,259",40.6,,"167,976","92,119",54.8,,"192,576","110,757",57.5
"Received Direct Subsidized Loan, but not a   Pell Grant",,"348,201","219,547",63.1,,"201,847","118,573",58.7,,"118,704","82,349",69.4,,"27,650","18,625",67.4
Received neither a Pell Grant or a Direct   Subsidized Loan,,"1,120,152","682,839",61.0,,"831,304","473,527",57.0,,"233,728","176,812",75.6,,"55,120","32,500",59.0
,,,,,,,,,,,,,,,,
4-year institutions (cohort year 2015),,,,,,,,,,,,,,,,
All students,,"1,740,223","1,060,120",60.9,,"1,178,261","698,550",59.3,,"500,063","338,189",67.6,,"61,899","23,381",37.8
Received Pell Grant,,"625,297","305,004",48.8,,"431,939","207,862",48.1,,"153,554","83,125",54.1,,"39,804","14,017",35.2
"Received Direct Subsidized Loan, but not a   Pell Grant",,"300,071","194,938",65.0,,"175,985","110,047",62.5,,"117,521","81,469",69.3,,"6,565","3,422",52.1
Received neither a Pell Grant or a Direct   Subsidized Loan,,"814,855","560,178",68.7,,"570,337","380,641",66.7,,"228,988","173,595",75.8,,"15,530","5,942",38.3
,,,,,,,,,,,,,,,,
4-year bachelor's cohort (cohort year 2015),,,,,,,,,,,,,,,,
All students,,"1,508,201","979,496",64.9,,"1,007,071","644,473",64.0,,"474,168","326,632",68.9,,"26,962","8,391",31.1
Received Pell Grant,,"499,712","265,047",53.0,,"344,141","183,430",53.3,,"139,664","77,497",55.5,,"15,907","4,120",25.9
"Received Direct Subsidized Loan, but not a   Pell Grant",,"282,690","187,287",66.3,,"166,344","106,715",64.2,,"113,094","79,099",69.9,,"3,252","1,473",45.3
Received neither a Pell Grant or a Direct   Subsidized Loan,,"725,799","527,162",72.6,,"496,586","354,328",71.4,,"221,410","170,036",76.8,,"7,803","2,798",35.9
,,,,,,,,,,,,,,,,
4-year other than bachelor's cohort (cohort    year 2015),,,,,,,,,,,,,,,,
All students,,"232,022","80,624",34.7,,"171,190","54,077",31.6,,"25,895","11,557",44.6,,"34,937","14,990",42.9
Received Pell Grant,,"125,585","39,957",31.8,,"87,798","24,432",27.8,,"13,890","5,628",40.5,,"23,897","9,897",41.4
"Received Direct Subsidized Loan, but not a   Pell Grant",,"17,381","7,651",44.0,,"9,641","3,332",34.6,,"4,427","2,370",53.5,,"3,313","1,949",58.8
Received neither a Pell Grant or a Direct   Subsidized Loan,,"89,056","33,016",37.1,,"73,751","26,313",35.7,,"7,578","3,559",47.0,,"7,727","3,144",40.7
,,,,,,,,,,,,,,,,
2-year institutions (cohort year 2018),,,,,,,,,,,,,,,,
