Detail Data For Electricity Energy Demand & Deficit by State Having Year : ALL Region : ALL State : A & N ISLANDS | ANDHRA PRADESH | ARUNACHAL PRADESH | ASSAM | BIHAR | CENTRAL | CHANDIGARH | CHHATTISGARH | DADRA & NAGAR HAVELI | DELHI | DIU & DAMAN | DVC | EASTERN OFFSHORE | GOA | GUJARAT | GUJARAT OFFSHORE | HARYANA | HIMACHAL PRADESH | JAMMU & KASHMIR | JHARKHAND | KARNATAKA | KERALA | LADAKH | LAKSHADWEEP | MADHYA PRADESH | MAHARASHTRA | MANIPUR | MEGHALAYA | MIZORAM | MULTIPLE STATES | NAGALAND | ODISHA | OFFSHORE | OTHERS | PUDUCHERRY | PUNJAB | RAJASTHAN | SIKKIM | TAMILNADU | TELANGANA | TRIPURA | UNION TERRITORIES | UTTAR PRADESH | UTTARAKHAND | WEST BENGAL | WESTERN OFFSHORE
.
Region,State,YearValue,EnergyRequirement_MU,EnergyAvailability_MU
ER,WEST BENGAL,2008,29020.000,27902.000
ER,WEST BENGAL,2009,31289.000,30290.000
ER,WEST BENGAL,2010,33750.000,32819.000
ER,WEST BENGAL,2011,36481.000,35847.000
ER,WEST BENGAL,2012,38679.000,38281.000
ER,WEST BENGAL,2013,42143.000,41842.000
ER,WEST BENGAL,2014,42891.000,42762.000
ER,WEST BENGAL,2015,47086.000,46827.000
ER,WEST BENGAL,2016,47359.000,47194.000
ER,WEST BENGAL,2017,47948.000,47807.000
ER,WEST BENGAL,2018,50760.000,50569.000
ER,WEST BENGAL,2019,51471.000,51287.000
ER,WEST BENGAL,2020,52948.000,52824.000
ER,JHARKHAND,2008,5139.000,4458.000
ER,JHARKHAND,2009,5361.000,5110.000
ER,JHARKHAND,2010,5867.000,5407.000
ER,JHARKHAND,2011,6195.000,5985.000
ER,JHARKHAND,2012,6280.000,6030.000
ER,JHARKHAND,2013,7042.000,6765.000
ER,JHARKHAND,2014,7143.000,7007.000
ER,JHARKHAND,2015,7599.000,7390.000
ER,JHARKHAND,2016,7735.000,7560.000
ER,JHARKHAND,2017,7960.000,7906.000
ER,JHARKHAND,2018,7907.000,7753.000
ER,JHARKHAND,2019,8737.000,8490.000
ER,JHARKHAND,2020,8941.000,8872.000
ER,BIHAR,2008,9155.000,7933.000
ER,BIHAR,2009,10527.000,8801.000
ER,BIHAR,2010,11587.000,9914.000
ER,BIHAR,2011,12384.000,10772.000
ER,BIHAR,2012,14311.000,11260.000
ER,BIHAR,2013,15409.000,12835.000
ER,BIHAR,2014,15391.000,14759.000
ER,BIHAR,2015,19294.000,18759.000
ER,BIHAR,2016,23960.000,23658.000
ER,BIHAR,2017,25711.000,25130.000
ER,BIHAR,2018,27019.000,26603.000
