Detail Data For Electricity T & D State wise Having Year : ALL Region : ALL State : A & N ISLANDS | ANDHRA PRADESH | ARUNACHAL PRADESH | ASSAM | BIHAR | CENTRAL | CHANDIGARH | CHHATTISGARH | DADRA & NAGAR HAVELI | DELHI | DIU & DAMAN | DVC | EASTERN OFFSHORE | GOA | GUJARAT | GUJARAT OFFSHORE | HARYANA | HIMACHAL PRADESH | JAMMU & KASHMIR | JHARKHAND | KARNATAKA | KERALA | LADAKH | LAKSHADWEEP | MADHYA PRADESH | MAHARASHTRA | MANIPUR | MEGHALAYA | MIZORAM | MULTIPLE STATES | NAGALAND | ODISHA | OFFSHORE | OTHERS | PUDUCHERRY | PUNJAB | RAJASTHAN | SIKKIM | TAMILNADU | TELANGANA | TRIPURA | UNION TERRITORIES | UTTAR PRADESH | UTTARAKHAND | WEST BENGAL | WESTERN OFFSHORE
.
Region,State,YearValue,Availability_GWh,ExBusImport_CPP_Gwh,ExBusImport_Grid_Gwh,OwnExBusGen_Gwh,ToalConsumption_Gwh,TandDLosses_GWh,TandDLoss_Percent
ER,WEST BENGAL,2006,27882.550,96.590,1745.250,26573.940,20957.060,6925.490,0.248
ER,WEST BENGAL,2007,29620.990,185.960,2734.730,27253.830,22618.480,7002.510,0.236
ER,WEST BENGAL,2008,33348.720,0.000,3396.200,29952.520,26247.970,7100.750,0.213
ER,WEST BENGAL,2009,33383.670,143.280,3090.100,30150.290,27779.300,5604.370,0.168
ER,WEST BENGAL,2010,38515.200,9.160,3034.230,35471.810,31455.000,7060.200,0.183
ER,WEST BENGAL,2011,42022.760,331.410,4875.560,36815.790,32609.310,9413.450,0.224
ER,WEST BENGAL,2012,44137.710,113.670,5300.430,38723.610,33903.330,10234.380,0.232
ER,WEST BENGAL,2013,47832.150,111.780,8436.260,39284.110,36320.340,11511.810,0.241
ER,WEST BENGAL,2014,48175.370,136.020,11869.370,36169.980,36591.590,11583.780,0.240
ER,WEST BENGAL,2015,51839.820,75.600,11754.390,40009.830,39058.550,12781.270,0.247
ER,WEST BENGAL,2017,56648.470,164.940,13586.940,42896.590,43945.800,12702.670,0.224
ER,WEST BENGAL,2018,58451.100,227.500,14596.950,43626.650,45477.600,12973.510,0.220
ER,WEST BENGAL,2019,59128.570,195.570,15633.920,43299.080,48289.720,10838.850,0.180
ER,WEST BENGAL,2016,54593.720,117.850,15468.730,39007.140,42496.610,12097.110,0.220
ER,JHARKHAND,2006,12773.890,165.370,1892.810,11718.020,9348.030,3425.860,0.268
ER,JHARKHAND,2007,14704.790,275.700,1151.560,14453.780,10851.320,3853.470,0.262
ER,JHARKHAND,2008,14819.950,442.600,2152.820,12224.530,11387.470,3432.480,0.232
ER,JHARKHAND,2009,16615.420,303.300,2207.740,14104.380,12582.930,4032.490,0.243
ER,JHARKHAND,2010,16824.490,272.660,3570.990,12980.840,13082.670,3741.820,0.222
ER,JHARKHAND,2011,17686.820,272.660,3583.070,13831.090,14666.990,3019.830,0.171
ER,JHARKHAND,2012,18206.015,402.770,3705.065,14098.180,15594.830,2611.185,0.143
ER,JHARKHAND,2013,19755.820,312.000,3430.550,16013.270,17124.360,2631.460,0.133
ER,JHARKHAND,2014,20904.720,368.720,4373.790,16162.210,18174.640,2730.080,0.131
ER,JHARKHAND,2015,19967.620,269.030,4348.870,15349.720,16532.880,3434.740,0.172
ER,JHARKHAND,2017,23361.660,140.270,6272.030,16949.350,19548.790,3812.870,0.163
ER,JHARKHAND,2018,23828.090,136.350,6321.590,17370.150,19950.150,3877.940,0.160
ER,JHARKHAND,2019,25952.160,186.650,6779.850,18985.660,21184.400,4767.760,0.180
ER,JHARKHAND,2016,21131.460,112.290,4580.270,16438.890,17541.570,3589.890,0.170
ER,BIHAR,2006,7178.880,0.000,7012.370,166.510,4022.330,3156.550,0.440
ER,BIHAR,2007,7756.120,0.000,7656.060,100.060,3825.870,3930.250,0.507
ER,BIHAR,2008,8579.860,0.000,8260.660,319.200,4393.790,4186.070,0.488
ER,BIHAR,2009,9294.000,0.000,8805.730,488.270,4984.060,4309.940,0.464
ER,BIHAR,2010,10754.210,0.000,9878.390,875.820,6067.220,4686.990,0.436
ER,BIHAR,2011,11340.660,29.020,10618.140,693.500,5582.890,5757.770,0.508
ER,BIHAR,2012,12592.030,0.000,12018.020,574.010,6183.920,6408.110,0.509
ER,BIHAR,2013,13286.900,0.000,12996.240,290.660,6720.600,6566.300,0.494
ER,BIHAR,2014,15129.890,0.000,14801.670,328.220,7979.710,7150.180,0.473
ER,BIHAR,2015,18253.160,0.000,17924.940,328.220,9807.300,8445.860,0.463
ER,BIHAR,2017,24747.050,0.000,24359.390,387.660,17250.690,7496.360,0.303
ER,BIHAR,2018,26844.290,0.000,26499.220,345.070,18713.220,8131.070,0.300
ER,BIHAR,2019,30903.800,0.000,30415.920,487.880,20856.400,10047.400,0.330
ER,BIHAR,2016,23170.900,0.000,23005.790,165.110,13249.630,9921.270,0.430
WR,MADHYA PRADESH,2006,32322.350,95.290,14968.020,17259.040,19371.410,12950.940,0.401
WR,MADHYA PRADESH,2007,33078.650,152.000,14492.730,18433.920,20099.720,12978.930,0.392
WR,MADHYA PRADESH,2008,36656.930,239.010,15592.890,20825.030,23590.910,13066.020,0.356
WR,MADHYA PRADESH,2009,35223.860,189.920,14411.510,20622.430,21678.050,13545.810,0.385
WR,MADHYA PRADESH,2010,36192.740,66.870,15597.620,20528.250,22323.670,13869.070,0.383
WR,MADHYA PRADESH,2011,40606.200,254.910,19318.320,21032.970,25329.120,15277.080,0.376
WR,MADHYA PRADESH,2012,43556.164,96.890,21275.574,22183.700,28540.780,15015.384,0.345
WR,MADHYA PRADESH,2013,48046.120,139.170,24927.770,22979.180,32935.620,15110.500,0.314
WR,MADHYA PRADESH,2014,53654.700,125.090,26509.320,27020.290,36770.450,16884.250,0.315
WR,MADHYA PRADESH,2015,61646.930,124.660,32798.300,28723.970,41757.010,19889.920,0.323
WR,MADHYA PRADESH,2017,62409.650,15.700,37215.130,25178.820,45681.370,16728.280,0.268
WR,MADHYA PRADESH,2018,71707.170,90.090,42779.950,28837.120,52522.850,19184.310,0.270
WR,MADHYA PRADESH,2019,78743.100,39.480,40252.910,38450.720,56972.240,21770.870,0.280
WR,MADHYA PRADESH,2016,64973.060,258.000,39534.050,25181.010,46384.450,18588.610,0.290
WR,CHHATTISGARH,2006,12746.840,949.140,3342.510,8455.190,8788.040,3958.800,0.311
WR,CHHATTISGARH,2007,13828.620,1544.360,3546.230,8738.030,9443.900,4384.720,0.317
WR,CHHATTISGARH,2008,15116.270,1142.960,3253.080,10720.230,10613.210,4503.060,0.298
WR,CHHATTISGARH,2009,16329.940,934.260,-110.280,15505.960,12021.450,4308.490,0.264
WR,CHHATTISGARH,2010,13898.780,1627.380,-4121.270,16392.670,11311.420,2587.360,0.186
WR,CHHATTISGARH,2011,14368.510,2934.030,-4767.040,16201.520,12205.000,2163.510,0.151
WR,CHHATTISGARH,2012,15773.095,2411.150,1621.055,11740.890,13178.370,2594.725,0.165
WR,CHHATTISGARH,2013,19832.470,3411.700,5550.940,10869.830,14115.150,5717.320,0.288
WR,CHHATTISGARH,2014,20651.660,3128.200,6553.450,10970.010,14791.140,5860.520,0.284
WR,CHHATTISGARH,2015,24157.110,601.270,7264.670,16291.170,17101.550,7055.560,0.292
WR,CHHATTISGARH,2017,25755.340,1577.170,7689.710,16488.460,19159.470,6595.870,0.256
WR,CHHATTISGARH,2018,26782.740,1888.180,6856.790,18037.780,20362.540,6420.210,0.240
WR,CHHATTISGARH,2019,29668.010,5068.850,8704.970,15894.190,22210.210,7457.800,0.250
WR,CHHATTISGARH,2016,27284.530,1657.540,10778.740,14848.240,18886.900,8397.630,0.310
NR,UTTAR PRADESH,2006,45083.140,494.000,23066.670,21522.470,30374.190,14708.950,0.326
NR,UTTAR PRADESH,2007,51937.130,340.160,26830.900,24766.070,34543.730,17393.400,0.335
NR,UTTAR PRADESH,2008,52568.340,153.660,28825.880,23588.800,37531.880,15036.460,0.286
NR,UTTAR PRADESH,2009,57391.300,125.580,29514.990,27750.730,39636.820,17754.480,0.309
NR,UTTAR PRADESH,2010,62264.370,340.920,33767.310,28156.140,41625.100,20639.270,0.331
NR,UTTAR PRADESH,2011,66289.370,199.060,36832.190,29258.120,43742.300,22547.070,0.340
NR,UTTAR PRADESH,2012,74790.254,135.350,42520.756,32134.148,50592.000,24198.254,0.324
NR,UTTAR PRADESH,2013,75970.870,1.960,35444.180,40524.730,55549.550,20421.320,0.269
NR,UTTAR PRADESH,2014,83429.310,51.910,37242.400,46135.000,59176.690,24252.620,0.291
NR,UTTAR PRADESH,2015,88872.810,67.100,40436.530,48369.180,64706.680,24166.130,0.272
NR,UTTAR PRADESH,2017,106056.470,80.660,46218.230,59757.580,81068.210,24988.250,0.236
NR,UTTAR PRADESH,2018,117689.910,102.890,50577.840,67009.170,90395.380,27294.520,0.230
NR,UTTAR PRADESH,2019,115953.750,229.200,52445.070,63279.480,91355.020,24598.730,0.210
NR,UTTAR PRADESH,2016,94003.230,135.400,45589.740,48278.100,70966.900,23036.330,0.250
WR,MAHARASHTRA,2006,85870.390,46.040,23799.630,62024.720,58732.340,27138.050,0.316
WR,MAHARASHTRA,2007,91092.150,46.040,26213.870,64832.240,62267.240,28824.910,0.316
WR,MAHARASHTRA,2008,96758.720,209.300,24370.820,72178.600,67930.960,28827.760,0.298
WR,MAHARASHTRA,2009,95642.100,653.410,24878.390,70110.300,72804.420,22837.680,0.239
WR,MAHARASHTRA,2010,104035.890,462.900,27752.770,75820.220,77860.620,26175.270,0.252
WR,MAHARASHTRA,2011,110347.610,700.890,30402.950,79243.770,87531.810,22815.800,0.207
WR,MAHARASHTRA,2012,120780.814,430.910,35321.164,85028.740,96642.380,24138.434,0.200
WR,MAHARASHTRA,2013,128274.080,821.160,43010.490,84442.430,100285.150,27988.930,0.218
WR,MAHARASHTRA,2014,128962.520,821.390,40571.440,87569.690,100842.250,28120.270,0.218
WR,MAHARASHTRA,2015,136290.390,738.600,42477.570,93074.220,108496.080,27794.310,0.204
WR,MAHARASHTRA,2017,148013.040,609.000,48431.090,98972.960,121050.810,26962.240,0.182
WR,MAHARASHTRA,2018,152065.380,708.220,50213.680,101143.480,124920.730,27144.650,0.180
WR,MAHARASHTRA,2019,164663.060,2699.340,51815.070,110148.650,132618.570,32044.490,0.190
WR,MAHARASHTRA,2016,144004.160,827.960,40776.920,102399.290,115355.690,28648.470,0.200
ER,ODISHA,2006,14885.360,1248.790,2452.550,11184.020,8103.570,6781.790,0.456
ER,ODISHA,2007,16739.270,1510.280,1858.560,13370.430,9483.740,7255.530,0.433
ER,ODISHA,2008,18658.080,1086.280,3810.880,13760.920,11299.130,7358.950,0.394
ER,ODISHA,2009,20459.470,1831.540,6470.390,12157.540,11732.520,8726.950,0.427
ER,ODISHA,2010,19410.380,1230.060,7940.120,10240.200,12227.860,7182.520,0.370
ER,ODISHA,2011,22768.990,3952.470,6593.950,12222.570,13099.200,9669.790,0.425
ER,ODISHA,2012,23576.926,3150.530,7283.526,13142.870,13054.180,10522.746,0.446
ER,ODISHA,2013,22527.550,1769.820,6769.510,13988.220,13552.000,8975.550,0.398
ER,ODISHA,2014,23570.070,1302.500,5012.740,17254.830,14411.460,9158.610,0.389
ER,ODISHA,2015,26603.140,1253.000,7929.160,17420.980,15439.850,11163.290,0.420
ER,ODISHA,2017,27467.630,1854.390,8272.140,17341.100,16987.960,10479.670,0.382
ER,ODISHA,2018,28622.410,1654.550,12046.890,14920.970,17713.750,10908.660,0.380
ER,ODISHA,2019,29778.470,2198.170,14122.580,13457.720,19372.820,10405.650,0.350
ER,ODISHA,2016,26358.610,1695.840,8044.550,16618.230,16053.220,10305.390,0.390
SR,ANDHRA PRADESH,2006,49821.806,86.040,8835.956,40899.810,39828.580,9993.226,0.201
SR,ANDHRA PRADESH,2007,56389.790,147.860,12590.980,43650.950,45872.250,10517.540,0.187
SR,ANDHRA PRADESH,2008,62971.990,1041.310,13807.800,48122.880,48861.100,14110.890,0.224
SR,ANDHRA PRADESH,2009,67427.680,1253.620,18289.610,47884.450,54241.140,13186.540,0.196
SR,ANDHRA PRADESH,2010,73111.320,1418.730,14762.690,56929.900,59677.440,13433.880,0.184
SR,ANDHRA PRADESH,2011,76747.010,1245.990,11828.630,63672.390,64011.300,12735.710,0.166
SR,ANDHRA PRADESH,2012,85313.076,1328.030,17898.178,66086.868,70421.000,14892.076,0.175
SR,ANDHRA PRADESH,2013,84803.820,1583.630,24117.400,59102.790,68439.150,16364.670,0.193
SR,ANDHRA PRADESH,2014,91223.080,2048.530,31737.500,57437.050,72919.240,18303.840,0.201
SR,ANDHRA PRADESH,2015,51078.760,2035.720,14467.410,34575.630,41913.670,9165.090,0.179
SR,ANDHRA PRADESH,2017,56986.870,816.380,6880.150,49290.330,47761.450,9225.420,0.162
SR,ANDHRA PRADESH,2018,60767.750,1780.670,17197.520,41789.560,51000.800,9766.950,0.160
SR,ANDHRA PRADESH,2019,67260.400,1451.620,18975.850,46832.930,55406.790,11853.610,0.180
SR,ANDHRA PRADESH,2016,52899.980,2610.900,8737.320,41551.760,44352.740,8547.240,0.160
SR,TELANGANA,2015,47032.620,1718.810,22253.170,23060.640,39638.880,7393.740,0.157
SR,TELANGANA,2017,54669.660,451.120,29857.540,24361.000,44446.480,10223.180,0.187
SR,TELANGANA,2018,62634.640,1205.240,27776.260,33653.140,51197.640,11437.000,0.180
SR,TELANGANA,2019,68545.670,1286.860,29804.160,37454.640,58365.620,10180.050,0.150
SR,TELANGANA,2016,49435.240,440.630,32620.040,16374.570,41288.970,8146.270,0.160
ER,SIKKIM,2006,233.780,0.000,200.040,33.740,208.670,25.110,0.107
ER,SIKKIM,2007,289.750,0.000,254.770,34.980,211.930,77.820,0.269
ER,SIKKIM,2008,411.790,0.000,272.740,139.050,260.250,151.540,0.368
ER,SIKKIM,2009,453.110,0.000,314.410,138.700,277.310,175.800,0.388
ER,SIKKIM,2010,494.310,0.000,330.870,163.440,301.500,192.810,0.390
ER,SIKKIM,2011,509.020,0.000,377.240,131.780,337.620,171.400,0.337
ER,SIKKIM,2012,538.058,0.000,392.108,145.950,370.620,167.438,0.311
ER,SIKKIM,2013,536.360,0.000,390.470,145.890,385.440,150.920,0.281
ER,SIKKIM,2014,526.380,0.000,407.500,118.880,404.710,121.670,0.231
ER,SIKKIM,2015,539.410,0.000,387.790,151.620,404.710,134.700,0.250
ER,SIKKIM,2017,572.860,0.000,457.020,115.830,436.570,136.290,0.238
ER,SIKKIM,2018,533.190,0.000,502.650,30.540,343.670,189.520,0.360
ER,SIKKIM,2019,565.970,0.000,537.880,28.100,380.810,185.160,0.330
ER,SIKKIM,2016,482.420,0.000,366.180,116.240,354.460,127.960,0.270
NER,ASSAM,2006,3692.370,0.000,2806.440,885.930,2203.000,1489.370,0.403
NER,ASSAM,2007,3883.710,0.000,2948.390,935.320,2575.350,1308.360,0.337
NER,ASSAM,2008,4143.770,0.000,2576.690,1567.080,2544.480,1599.290,0.386
