Detail Data For Electricity Capacity by Energy Source Having Year : ALL Region : ALL State : A & N ISLANDS | ANDHRA PRADESH | ARUNACHAL PRADESH | ASSAM | BIHAR | CENTRAL | CHANDIGARH | CHHATTISGARH | DADRA & NAGAR HAVELI | DELHI | DIU & DAMAN | DVC | EASTERN OFFSHORE | GOA | GUJARAT | GUJARAT OFFSHORE | HARYANA | HIMACHAL PRADESH | JAMMU & KASHMIR | JHARKHAND | KARNATAKA | KERALA | LADAKH | LAKSHADWEEP | MADHYA PRADESH | MAHARASHTRA | MANIPUR | MEGHALAYA | MIZORAM | MULTIPLE STATES | NAGALAND | ODISHA | OFFSHORE | OTHERS | PUDUCHERRY | PUNJAB | RAJASTHAN | SIKKIM | TAMILNADU | TELANGANA | TRIPURA | UNION TERRITORIES | UTTAR PRADESH | UTTARAKHAND | WEST BENGAL | WESTERN OFFSHORE
.
UtilityCaptive,Region,State,District,Sector,Owner,GroupCompany,ProjectName,UnitNo,CommissionDate,Remark,CommissionYear,DeCommissionYear,EnergySource,EnergySourceType,YearValue,Capacity_MW
CAPTIVE,ER,WEST BENGAL,VARIOUS DISTRICTS IN THE STATE,CAPTIVE,MULTIPLE OWNERS,VARIOUS SOURCES,NOT KNOWN,NOT KNOWN,,-,,,COAL,NON-RENEWABLE,2013,441.980
CAPTIVE,ER,WEST BENGAL,VARIOUS DISTRICTS IN THE STATE,CAPTIVE,MULTIPLE OWNERS,VARIOUS SOURCES,NOT KNOWN,NOT KNOWN,,-,,,DIESEL,NON-RENEWABLE,2013,366.130
CAPTIVE,ER,WEST BENGAL,VARIOUS DISTRICTS IN THE STATE,CAPTIVE,MULTIPLE OWNERS,VARIOUS SOURCES,NOT KNOWN,NOT KNOWN,,-,,,NATURAL GAS,NON-RENEWABLE,2013,135.750
UTILITY,ER,WEST BENGAL,VARIOUS DISTRICTS IN THE STATE,STATE,WBSEB,WEST BENGAL STATE,JALDHAKA -I,1,31/03/1967 00:00:00,-,1967,,HYDRO,NON-RENEWABLE,2013,9.000
UTILITY,ER,WEST BENGAL,VARIOUS DISTRICTS IN THE STATE,STATE,WBSEB,WEST BENGAL STATE,JALDHAKA -I,2,03/03/1967 00:00:00,-,1967,,HYDRO,NON-RENEWABLE,2013,9.000
UTILITY,ER,WEST BENGAL,VARIOUS DISTRICTS IN THE STATE,STATE,WBSEB,WEST BENGAL STATE,JALDHAKA -I,3,26/11/1972 00:00:00,-,1973,,HYDRO,NON-RENEWABLE,2013,9.000
UTILITY,ER,WEST BENGAL,VARIOUS DISTRICTS IN THE STATE,STATE,WBSEB,WEST BENGAL STATE,JALDHAKA -II,4,05/08/1983 00:00:00,-,1984,,HYDRO,NON-RENEWABLE,2013,4.000
UTILITY,ER,WEST BENGAL,VARIOUS DISTRICTS IN THE STATE,STATE,WBSEB,WEST BENGAL STATE,JALDHAKA -II,5,05/08/1983 00:00:00,-,1984,,HYDRO,NON-RENEWABLE,2013,4.000
UTILITY,ER,WEST BENGAL,VARIOUS DISTRICTS IN THE STATE,STATE,WBSEB,WEST BENGAL STATE,RAMMAM,1,05/09/1995 00:00:00,-,1996,,HYDRO,NON-RENEWABLE,2013,12.500
UTILITY,ER,WEST BENGAL,VARIOUS DISTRICTS IN THE STATE,STATE,WBSEB,WEST BENGAL STATE,RAMMAM,2,28/09/1995 00:00:00,-,1996,,HYDRO,NON-RENEWABLE,2013,12.500
UTILITY,ER,WEST BENGAL,VARIOUS DISTRICTS IN THE STATE,STATE,WBSEB,WEST BENGAL STATE,RAMMAM,3,13/01/1996 00:00:00,-,1996,,HYDRO,NON-RENEWABLE,2013,12.500
