observationAbout,value,variableMeasured
usc/NewEnglandDivision,0,dcid:Count_MedicalConditionIncident_ConditionAnthraxDisease
geoId/09,0,dcid:Count_MedicalConditionIncident_ConditionAnthraxDisease
geoId/23,0,dcid:Count_MedicalConditionIncident_ConditionAnthraxDisease
geoId/25,0,dcid:Count_MedicalConditionIncident_ConditionAnthraxDisease
geoId/33,0,dcid:Count_MedicalConditionIncident_ConditionAnthraxDisease
geoId/44,0,dcid:Count_MedicalConditionIncident_ConditionAnthraxDisease
geoId/50,0,dcid:Count_MedicalConditionIncident_ConditionAnthraxDisease
usc/MiddleAtlanticDivision,0,dcid:Count_MedicalConditionIncident_ConditionAnthraxDisease
geoId/34,0,dcid:Count_MedicalConditionIncident_ConditionAnthraxDisease
geoId/36,0,dcid:Count_MedicalConditionIncident_ConditionAnthraxDisease
GeoId/3651000,0,dcid:Count_MedicalConditionIncident_ConditionAnthraxDisease
geoId/42,0,dcid:Count_MedicalConditionIncident_ConditionAnthraxDisease
usc/MountainDivision,1,dcid:Count_MedicalConditionIncident_ConditionChikungunya
geoId/04,0,dcid:Count_MedicalConditionIncident_ConditionChikungunya
geoId/08,1,dcid:Count_MedicalConditionIncident_ConditionChikungunya
geoId/16,0,dcid:Count_MedicalConditionIncident_ConditionChikungunya
geoId/30,0,dcid:Count_MedicalConditionIncident_ConditionChikungunya
geoId/32,0,dcid:Count_MedicalConditionIncident_ConditionChikungunya
geoId/35,1,dcid:Count_MedicalConditionIncident_ConditionChikungunya
geoId/49,0,dcid:Count_MedicalConditionIncident_ConditionChikungunya
geoId/56,0,dcid:Count_MedicalConditionIncident_ConditionChikungunya
usc/PacificDivision,2,dcid:Count_MedicalConditionIncident_ConditionChikungunya
geoId/02,0,dcid:Count_MedicalConditionIncident_ConditionChikungunya
