2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
id,id,id,id,id,id,id,id,id,id
Geographic Area Name,Geographic Area Name,Geographic Area Name,Geographic Area Name,Geographic Area Name,Geographic Area Name,Geographic Area Name,Geographic Area Name,Geographic Area Name,Geographic Area Name
Total!!Estimate!!Population 15 to 19 years,Total!!Estimate!!Population 15 to 19 years,Total!!Estimate!!Population 15 to 19 years,Total!!Estimate!!Population 15 to 19 years,Total!!Estimate!!Population 15 to 19 years,Total!!Estimate!!Population 15 to 19 years,Total!!Estimate!!Population 15 to 19 years,Estimate!!Total!!Population 15 to 19 years,Estimate!!Total!!Population 15 to 19 years,Estimate!!Total!!Population 15 to 19 years
Total!!Margin of Error!!Population 15 to 19 years,Total!!Margin of Error!!Population 15 to 19 years,Total!!Margin of Error!!Population 15 to 19 years,Total!!Margin of Error!!Population 15 to 19 years,Total!!Margin of Error!!Population 15 to 19 years,Total!!Margin of Error!!Population 15 to 19 years,Total!!Margin of Error!!Population 15 to 19 years,Margin of Error!!Total MOE!!Population 15 to 19 years,Margin of Error!!Total MOE!!Population 15 to 19 years,Margin of Error!!Total!!Population 15 to 19 years
Total!!Estimate!!SCHOOL ENROLLMENT!!Enrolled in school,Total!!Estimate!!SCHOOL ENROLLMENT!!Enrolled in school,Total!!Estimate!!SCHOOL ENROLLMENT!!Enrolled in school,Total!!Estimate!!SCHOOL ENROLLMENT!!Enrolled in school,Total!!Estimate!!SCHOOL ENROLLMENT!!Enrolled in school,Total!!Estimate!!SCHOOL ENROLLMENT!!Enrolled in school,Total!!Estimate!!SCHOOL ENROLLMENT!!Enrolled in school,Estimate!!Total!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Enrolled in school,Estimate!!Total!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Enrolled in school,Estimate!!Total!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Enrolled in school
Total!!Margin of Error!!SCHOOL ENROLLMENT!!Enrolled in school,Total!!Margin of Error!!SCHOOL ENROLLMENT!!Enrolled in school,Total!!Margin of Error!!SCHOOL ENROLLMENT!!Enrolled in school,Total!!Margin of Error!!SCHOOL ENROLLMENT!!Enrolled in school,Total!!Margin of Error!!SCHOOL ENROLLMENT!!Enrolled in school,Total!!Margin of Error!!SCHOOL ENROLLMENT!!Enrolled in school,Total!!Margin of Error!!SCHOOL ENROLLMENT!!Enrolled in school,Margin of Error!!Total MOE!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Enrolled in school,Margin of Error!!Total MOE!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Enrolled in school,Margin of Error!!Total!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Enrolled in school
Total!!Estimate!!SCHOOL ENROLLMENT!!Enrolled in school!!Public,Total!!Estimate!!SCHOOL ENROLLMENT!!Enrolled in school!!Public,Total!!Estimate!!SCHOOL ENROLLMENT!!Enrolled in school!!Public,Total!!Estimate!!SCHOOL ENROLLMENT!!Enrolled in school!!Public,Total!!Estimate!!SCHOOL ENROLLMENT!!Enrolled in school!!Public,Total!!Estimate!!SCHOOL ENROLLMENT!!Enrolled in school!!Public,Total!!Estimate!!SCHOOL ENROLLMENT!!Enrolled in school!!Public,Estimate!!Total!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Enrolled in school!!Public,Estimate!!Total!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Enrolled in school!!Public,Estimate!!Total!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Enrolled in school!!Public
Total!!Margin of Error!!SCHOOL ENROLLMENT!!Enrolled in school!!Public,Total!!Margin of Error!!SCHOOL ENROLLMENT!!Enrolled in school!!Public,Total!!Margin of Error!!SCHOOL ENROLLMENT!!Enrolled in school!!Public,Total!!Margin of Error!!SCHOOL ENROLLMENT!!Enrolled in school!!Public,Total!!Margin of Error!!SCHOOL ENROLLMENT!!Enrolled in school!!Public,Total!!Margin of Error!!SCHOOL ENROLLMENT!!Enrolled in school!!Public,Total!!Margin of Error!!SCHOOL ENROLLMENT!!Enrolled in school!!Public,Margin of Error!!Total MOE!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Enrolled in school!!Public,Margin of Error!!Total MOE!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Enrolled in school!!Public,Margin of Error!!Total!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Enrolled in school!!Public
Total!!Estimate!!SCHOOL ENROLLMENT!!Enrolled in school!!Private,Total!!Estimate!!SCHOOL ENROLLMENT!!Enrolled in school!!Private,Total!!Estimate!!SCHOOL ENROLLMENT!!Enrolled in school!!Private,Total!!Estimate!!SCHOOL ENROLLMENT!!Enrolled in school!!Private,Total!!Estimate!!SCHOOL ENROLLMENT!!Enrolled in school!!Private,Total!!Estimate!!SCHOOL ENROLLMENT!!Enrolled in school!!Private,Total!!Estimate!!SCHOOL ENROLLMENT!!Enrolled in school!!Private,Estimate!!Total!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Enrolled in school!!Private,Estimate!!Total!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Enrolled in school!!Private,Estimate!!Total!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Enrolled in school!!Private
Total!!Margin of Error!!SCHOOL ENROLLMENT!!Enrolled in school!!Private,Total!!Margin of Error!!SCHOOL ENROLLMENT!!Enrolled in school!!Private,Total!!Margin of Error!!SCHOOL ENROLLMENT!!Enrolled in school!!Private,Total!!Margin of Error!!SCHOOL ENROLLMENT!!Enrolled in school!!Private,Total!!Margin of Error!!SCHOOL ENROLLMENT!!Enrolled in school!!Private,Total!!Margin of Error!!SCHOOL ENROLLMENT!!Enrolled in school!!Private,Total!!Margin of Error!!SCHOOL ENROLLMENT!!Enrolled in school!!Private,Margin of Error!!Total MOE!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Enrolled in school!!Private,Margin of Error!!Total MOE!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Enrolled in school!!Private,Margin of Error!!Total!!Population 15 to 19 years!!SCHOOL ENROLLMENT!!Enrolled in school!!Private
