observationAbout,observationDate,variableMeasured,value,unit,scalingFactor
dcid:country/USA,2021,dcid:SampleSize_Count_Person_YearsUpto18_Male_WithAsthma,26887,,
dcid:country/USA,2021,dcid:Percent_Person_YearsUpto18_Male_WithAsthma,10.9,Percent,
dcid:country/USA,2021,dcid:StdError_Count_Person_YearsUpto18_Male_WithAsthma,0.42,Percent,100
dcid:country/USA,2021,dcid:SampleSize_Count_Person_YearsUpto18_Female_WithAsthma,25058,,
dcid:country/USA,2021,dcid:Percent_Person_YearsUpto18_Female_WithAsthma,9.5,Percent,
dcid:country/USA,2021,dcid:StdError_Count_Person_YearsUpto18_Female_WithAsthma,0.48,Percent,100
dcid:geoId/06,2021,dcid:SampleSize_Count_Person_YearsUpto18_Male_WithAsthma,754,,
dcid:geoId/06,2021,dcid:Percent_Person_YearsUpto18_Male_WithAsthma,8.9,Percent,
dcid:geoId/06,2021,dcid:StdError_Count_Person_YearsUpto18_Male_WithAsthma,1.26,Percent,100
dcid:geoId/06,2021,dcid:SampleSize_Count_Person_YearsUpto18_Female_WithAsthma,666,,
dcid:geoId/06,2021,dcid:Percent_Person_YearsUpto18_Female_WithAsthma,8.2,Percent,
dcid:geoId/06,2021,dcid:StdError_Count_Person_YearsUpto18_Female_WithAsthma,1.56,Percent,100
dcid:geoId/09,2021,dcid:SampleSize_Count_Person_YearsUpto18_Male_WithAsthma,866,,
dcid:geoId/09,2021,dcid:Percent_Person_YearsUpto18_Male_WithAsthma,15,Percent,
dcid:geoId/09,2021,dcid:StdError_Count_Person_YearsUpto18_Male_WithAsthma,2.12,Percent,100
dcid:geoId/09,2021,dcid:SampleSize_Count_Person_YearsUpto18_Female_WithAsthma,847,,
dcid:geoId/09,2021,dcid:Percent_Person_YearsUpto18_Female_WithAsthma,12.2,Percent,
dcid:geoId/09,2021,dcid:StdError_Count_Person_YearsUpto18_Female_WithAsthma,1.62,Percent,100
dcid:geoId/11,2021,dcid:SampleSize_Count_Person_YearsUpto18_Male_WithAsthma,256,,
dcid:geoId/11,2021,dcid:Percent_Person_YearsUpto18_Male_WithAsthma,17.2,Percent,
dcid:geoId/11,2021,dcid:StdError_Count_Person_YearsUpto18_Male_WithAsthma,3.23,Percent,100
dcid:geoId/11,2021,dcid:SampleSize_Count_Person_YearsUpto18_Female_WithAsthma,216,,
dcid:geoId/11,2021,dcid:Percent_Person_YearsUpto18_Female_WithAsthma,15.2,Percent,
dcid:geoId/11,2021,dcid:StdError_Count_Person_YearsUpto18_Female_WithAsthma,3.25,Percent,100
