observationAbout,observationDate,variableMeasured,value,unit,scalingFactor
dcid:country/USA,2021,dcid:SampleSize_Count_Person_WithAsthma_IncomeOfUSDollarUpto14999,20945,,
dcid:country/USA,2021,dcid:Percent_Person_WithAsthma_IncomeOfUSDollarUpto14999,20,Percent,
dcid:country/USA,2021,dcid:StdError_Count_Person_WithAsthma_IncomeOfUSDollarUpto14999,0.59,Percent,100
dcid:country/USA,2021,dcid:SampleSize_Count_Person_WithAsthma_IncomeOfUSDollar15000To24999,34700,,
dcid:country/USA,2021,dcid:Percent_Person_WithAsthma_IncomeOfUSDollar15000To24999,17.7,Percent,
dcid:country/USA,2021,dcid:StdError_Count_Person_WithAsthma_IncomeOfUSDollar15000To24999,0.44,Percent,100
dcid:country/USA,2021,dcid:SampleSize_Count_Person_WithAsthma_IncomeOfUSDollar25000To49999,90337,,
dcid:country/USA,2021,dcid:Percent_Person_WithAsthma_IncomeOfUSDollar25000To49999,15,Percent,
dcid:country/USA,2021,dcid:StdError_Count_Person_WithAsthma_IncomeOfUSDollar25000To49999,0.27,Percent,100
dcid:country/USA,2021,dcid:SampleSize_Count_Person_WithAsthma_IncomeOfUSDollar50000To74999,58679,,
dcid:country/USA,2021,dcid:Percent_Person_WithAsthma_IncomeOfUSDollar50000To74999,13.4,Percent,
dcid:country/USA,2021,dcid:StdError_Count_Person_WithAsthma_IncomeOfUSDollar50000To74999,0.3,Percent,100
dcid:country/USA,2021,dcid:SampleSize_Count_Person_WithAsthma_IncomeOfUSDollar75000Onwards,133014,,
dcid:country/USA,2021,dcid:Percent_Person_WithAsthma_IncomeOfUSDollar75000Onwards,13.1,Percent,
dcid:country/USA,2021,dcid:StdError_Count_Person_WithAsthma_IncomeOfUSDollar75000Onwards,0.21,Percent,100
dcid:geoId/01,2021,dcid:SampleSize_Count_Person_WithAsthma_IncomeOfUSDollarUpto14999,279,,
dcid:geoId/01,2021,dcid:Percent_Person_WithAsthma_IncomeOfUSDollarUpto14999,21.4,Percent,
dcid:geoId/01,2021,dcid:StdError_Count_Person_WithAsthma_IncomeOfUSDollarUpto14999,3.12,Percent,100
dcid:geoId/01,2021,dcid:SampleSize_Count_Person_WithAsthma_IncomeOfUSDollar15000To24999,430,,
dcid:geoId/01,2021,dcid:Percent_Person_WithAsthma_IncomeOfUSDollar15000To24999,17.5,Percent,
dcid:geoId/01,2021,dcid:StdError_Count_Person_WithAsthma_IncomeOfUSDollar15000To24999,2.46,Percent,100
dcid:geoId/01,2021,dcid:SampleSize_Count_Person_WithAsthma_IncomeOfUSDollar25000To49999,1014,,
dcid:geoId/01,2021,dcid:Percent_Person_WithAsthma_IncomeOfUSDollar25000To49999,17.6,Percent,
dcid:geoId/01,2021,dcid:StdError_Count_Person_WithAsthma_IncomeOfUSDollar25000To49999,1.68,Percent,100
dcid:geoId/01,2021,dcid:SampleSize_Count_Person_WithAsthma_IncomeOfUSDollar50000To74999,590,,
dcid:geoId/01,2021,dcid:Percent_Person_WithAsthma_IncomeOfUSDollar50000To74999,12,Percent,
dcid:geoId/01,2021,dcid:StdError_Count_Person_WithAsthma_IncomeOfUSDollar50000To74999,1.81,Percent,100
dcid:geoId/01,2021,dcid:SampleSize_Count_Person_WithAsthma_IncomeOfUSDollar75000Onwards,1149,,
dcid:geoId/01,2021,dcid:Percent_Person_WithAsthma_IncomeOfUSDollar75000Onwards,13,Percent,
dcid:geoId/01,2021,dcid:StdError_Count_Person_WithAsthma_IncomeOfUSDollar75000Onwards,1.43,Percent,100
