observationAbout,observationDate,variableMeasured,value,unit,scalingFactor
dcid:country/USA,2021,dcid:SampleSize_Count_Person_0To4Years_WithAsthma,10645,,
dcid:country/USA,2021,dcid:Percent_Person_0To4Years_WithAsthma,4.9,Percent,
dcid:country/USA,2021,dcid:StdError_Count_Person_0To4Years_WithAsthma,0.52,Percent,100
dcid:country/USA,2021,dcid:SampleSize_Count_Person_5To9Years_WithAsthma,12141,,
dcid:country/USA,2021,dcid:Percent_Person_5To9Years_WithAsthma,9.3,Percent,
dcid:country/USA,2021,dcid:StdError_Count_Person_5To9Years_WithAsthma,0.54,Percent,100
dcid:country/USA,2021,dcid:SampleSize_Count_Person_10To14Years_WithAsthma,18260,,
dcid:country/USA,2021,dcid:Percent_Person_10To14Years_WithAsthma,12.6,Percent,
dcid:country/USA,2021,dcid:StdError_Count_Person_10To14Years_WithAsthma,0.66,Percent,100
dcid:country/USA,2021,dcid:SampleSize_Count_Person_15To17Years_WithAsthma,12038,,
dcid:country/USA,2021,dcid:Percent_Person_15To17Years_WithAsthma,16,Percent,
dcid:country/USA,2021,dcid:StdError_Count_Person_15To17Years_WithAsthma,0.85,Percent,100
dcid:geoId/01,2021,dcid:SampleSize_Count_Person_0To4Years_WithAsthma,169,,
dcid:geoId/01,2021,dcid:Percent_Person_0To4Years_WithAsthma,6.7,Percent,
dcid:geoId/01,2021,dcid:StdError_Count_Person_0To4Years_WithAsthma,2.18,Percent,100
dcid:geoId/01,2021,dcid:SampleSize_Count_Person_5To9Years_WithAsthma,217,,
dcid:geoId/01,2021,dcid:Percent_Person_5To9Years_WithAsthma,13.8,Percent,
dcid:geoId/01,2021,dcid:StdError_Count_Person_5To9Years_WithAsthma,3.09,Percent,100
dcid:geoId/01,2021,dcid:SampleSize_Count_Person_10To14Years_WithAsthma,298,,
dcid:geoId/01,2021,dcid:Percent_Person_10To14Years_WithAsthma,16.1,Percent,
dcid:geoId/01,2021,dcid:StdError_Count_Person_10To14Years_WithAsthma,3.3,Percent,100
dcid:geoId/01,2021,dcid:SampleSize_Count_Person_15To17Years_WithAsthma,206,,
dcid:geoId/01,2021,dcid:Percent_Person_15To17Years_WithAsthma,20.7,Percent,
dcid:geoId/01,2021,dcid:StdError_Count_Person_15To17Years_WithAsthma,3.45,Percent,100
