observationAbout,observationDate,variableMeasured,value,unit,scalingFactor
dcid:country/USA,2020,dcid:SampleSize_Count_Person_NotHispanicOrLatino_WithAsthma_WhiteAlone,30647,,
dcid:country/USA,2020,dcid:Percent_Person_NotHispanicOrLatino_WithAsthma_WhiteAlone,9.5,Percent,
dcid:country/USA,2020,dcid:StdError_Count_Person_NotHispanicOrLatino_WithAsthma_WhiteAlone,0.4,Percent,100
dcid:country/USA,2020,dcid:SampleSize_Count_Person_NotHispanicOrLatino_WithAsthma_BlackOrAfricanAmericanAlone,3886,,
dcid:country/USA,2020,dcid:Percent_Person_NotHispanicOrLatino_WithAsthma_BlackOrAfricanAmericanAlone,19,Percent,
dcid:country/USA,2020,dcid:StdError_Count_Person_NotHispanicOrLatino_WithAsthma_BlackOrAfricanAmericanAlone,1.35,Percent,100
dcid:country/USA,2020,dcid:SampleSize_Count_Person_NotHispanicOrLatino_WithAsthma_OtherRace,5249,,
dcid:country/USA,2020,dcid:Percent_Person_NotHispanicOrLatino_WithAsthma_OtherRace,11,Percent,
dcid:country/USA,2020,dcid:StdError_Count_Person_NotHispanicOrLatino_WithAsthma_OtherRace,1.26,Percent,100
dcid:country/USA,2020,dcid:SampleSize_Count_Person_HispanicOrLatino_WithAsthma,7574,,
dcid:country/USA,2020,dcid:Percent_Person_HispanicOrLatino_WithAsthma,10.6,Percent,
dcid:country/USA,2020,dcid:StdError_Count_Person_HispanicOrLatino_WithAsthma,0.76,Percent,100
dcid:geoId/06,2020,dcid:SampleSize_Count_Person_NotHispanicOrLatino_WithAsthma_WhiteAlone,229,,
dcid:geoId/06,2020,dcid:Percent_Person_NotHispanicOrLatino_WithAsthma_WhiteAlone,8.7,Percent,
dcid:geoId/06,2020,dcid:StdError_Count_Person_NotHispanicOrLatino_WithAsthma_WhiteAlone,2.4,Percent,100
dcid:geoId/06,2020,dcid:SampleSize_Count_Person_NotHispanicOrLatino_WithAsthma_BlackOrAfricanAmericanAlone,43,,
dcid:geoId/06,2020,dcid:Percent_Person_NotHispanicOrLatino_WithAsthma_BlackOrAfricanAmericanAlone,18.6,Percent,
dcid:geoId/06,2020,dcid:StdError_Count_Person_NotHispanicOrLatino_WithAsthma_BlackOrAfricanAmericanAlone,6.36,Percent,100
dcid:geoId/06,2020,dcid:SampleSize_Count_Person_NotHispanicOrLatino_WithAsthma_OtherRace,159,,
dcid:geoId/06,2020,dcid:Percent_Person_NotHispanicOrLatino_WithAsthma_OtherRace,10.9,Percent,
dcid:geoId/06,2020,dcid:StdError_Count_Person_NotHispanicOrLatino_WithAsthma_OtherRace,3.61,Percent,100
dcid:geoId/06,2020,dcid:SampleSize_Count_Person_HispanicOrLatino_WithAsthma,478,,
dcid:geoId/06,2020,dcid:Percent_Person_HispanicOrLatino_WithAsthma,9.5,Percent,
dcid:geoId/06,2020,dcid:StdError_Count_Person_HispanicOrLatino_WithAsthma,1.59,Percent,100
