Year,Place,StatVar,Quantity,Unit,ScalingFactor
2012,geoId/0603666,dcid:Median_Earnings_Person_Male_ForeignBorn_PlaceOfBirthSouthCentralAsia,"250,000+",InflationAdjustedUSD_CurrentYear,
2012,geoId/0670280,dcid:Median_Income_Household_ForeignBorn_PlaceOfBirthSouthCentralAsia,"250,000+",InflationAdjustedUSD_CurrentYear,
2012,geoId/15001,dcid:Median_Earnings_Person_Male_ForeignBorn_PlaceOfBirthWesternAsia,"250,000+",InflationAdjustedUSD_CurrentYear,
2012,geoId/0473000,dcid:Median_Income_Household_ForeignBorn_PlaceOfBirthWesternAsia,"2,500-",InflationAdjustedUSD_CurrentYear,
2012,geoId/08035,dcid:Median_NumberOfRooms_HousingUnit_ForeignBorn_OccupiedHousingUnit_PlaceOfBirthWesternAsia,9.0+,Rooms,
2012,geoId/24021,dcid:Median_NumberOfRooms_HousingUnit_ForeignBorn_OccupiedHousingUnit_PlaceOfBirthWesternAsia,9.0+,Rooms,
2012,geoId/37135,dcid:Median_NumberOfRooms_HousingUnit_ForeignBorn_OccupiedHousingUnit_PlaceOfBirthWesternAsia,9.0+,Rooms,
2012,geoId/0622230,dcid:Median_NumberOfRooms_HousingUnit_ForeignBorn_OccupiedHousingUnit_PlaceOfBirthWesternAsia,9.0+,Rooms,
2012,geoId/1735411,dcid:Median_NumberOfRooms_HousingUnit_ForeignBorn_OccupiedHousingUnit_PlaceOfBirthWesternAsia,9.0+,Rooms,
2012,geoId/4856348,dcid:Median_NumberOfRooms_HousingUnit_ForeignBorn_OccupiedHousingUnit_PlaceOfBirthWesternAsia,9.0+,Rooms,
2013,geoId/0670280,dcid:Median_Income_Household_ForeignBorn_PlaceOfBirthSouthCentralAsia,"250,000+",InflationAdjustedUSD_CurrentYear,
2013,geoId/2509210,dcid:Median_Earnings_Person_Male_ForeignBorn_PlaceOfBirthSouthEasternAsia,"250,000+",InflationAdjustedUSD_CurrentYear,
2013,geoId/2463300,dcid:Median_NumberOfRooms_HousingUnit_ForeignBorn_OccupiedHousingUnit_PlaceOfBirthSouthEasternAsia,9.0+,Rooms,
2013,geoId/2545560,dcid:Median_NumberOfRooms_HousingUnit_ForeignBorn_OccupiedHousingUnit_PlaceOfBirthSouthEasternAsia,9.0+,Rooms,
2013,geoId/2463300,dcid:Median_Earnings_Person_Female_ForeignBorn_PlaceOfBirthWesternAsia,"250,000+",InflationAdjustedUSD_CurrentYear,
2013,geoId/0473000,dcid:Median_Income_Household_ForeignBorn_PlaceOfBirthWesternAsia,"2,500-",InflationAdjustedUSD_CurrentYear,
