GEO_ID,NAME,NAICS2012,TAXSTAT,TYPOP,YEAR,ESTAB,RCPTOT,PAYANN,PAYQTR1,EMP,new_col_0,new_col_1,new_col_2,new_col_3,new_col_4
country/USA,United States,21,0,0,2012,25417,529239818,59461950,N,848189,data.census.gov/table/EC1200A1/variable/ESTAB_naics2012--21&taxstat--0&typop--0,data.census.gov/table/EC1200A1/variable/RCPTOT_naics2012--21&taxstat--0&typop--0,data.census.gov/table/EC1200A1/variable/PAYANN_naics2012--21&taxstat--0&typop--0,data.census.gov/table/EC1200A1/variable/EMP_naics2012--21&taxstat--0&typop--0,data.census.gov/table/EC1200A1/variable/PAYQTR1_naics2012--21&taxstat--0&typop--0
country/USA,United States,22,0,0,2012,17595,531890695,58922951,17463405,651234,data.census.gov/table/EC1200A1/variable/ESTAB_naics2012--22&taxstat--0&typop--0,data.census.gov/table/EC1200A1/variable/RCPTOT_naics2012--22&taxstat--0&typop--0,data.census.gov/table/EC1200A1/variable/PAYANN_naics2012--22&taxstat--0&typop--0,data.census.gov/table/EC1200A1/variable/EMP_naics2012--22&taxstat--0&typop--0,data.census.gov/table/EC1200A1/variable/PAYQTR1_naics2012--22&taxstat--0&typop--0
country/USA,United States,23,0,0,2012,598065,1366427090,272546238,60892595,5669623,data.census.gov/table/EC1200A1/variable/ESTAB_naics2012--23&taxstat--0&typop--0,data.census.gov/table/EC1200A1/variable/RCPTOT_naics2012--23&taxstat--0&typop--0,data.census.gov/table/EC1200A1/variable/PAYANN_naics2012--23&taxstat--0&typop--0,data.census.gov/table/EC1200A1/variable/EMP_naics2012--23&taxstat--0&typop--0,data.census.gov/table/EC1200A1/variable/PAYQTR1_naics2012--23&taxstat--0&typop--0
country/USA,United States,31-33,0,0,2012,297191,5696729632,593397004,N,11214165,data.census.gov/table/EC1200A1/variable/ESTAB_naics2012--31-33&taxstat--0&typop--0,data.census.gov/table/EC1200A1/variable/RCPTOT_naics2012--31-33&taxstat--0&typop--0,data.census.gov/table/EC1200A1/variable/PAYANN_naics2012--31-33&taxstat--0&typop--0,data.census.gov/table/EC1200A1/variable/EMP_naics2012--31-33&taxstat--0&typop--0,data.census.gov/table/EC1200A1/variable/PAYQTR1_naics2012--31-33&taxstat--0&typop--0
country/USA,United States,42,0,0,2012,419464,7899978591,362121460,90683201,5881913,data.census.gov/table/EC1200A1/variable/ESTAB_naics2012--42&taxstat--0&typop--0,data.census.gov/table/EC1200A1/variable/RCPTOT_naics2012--42&taxstat--0&typop--0,data.census.gov/table/EC1200A1/variable/PAYANN_naics2012--42&taxstat--0&typop--0,data.census.gov/table/EC1200A1/variable/EMP_naics2012--42&taxstat--0&typop--0,data.census.gov/table/EC1200A1/variable/PAYQTR1_naics2012--42&taxstat--0&typop--0
country/USA,United States,42,0,10,2012,355983,5208023478,287549597,70704319,4880666,data.census.gov/table/EC1200A1/variable/ESTAB_naics2012--42&taxstat--0&typop--10,data.census.gov/table/EC1200A1/variable/RCPTOT_naics2012--42&taxstat--0&typop--10,data.census.gov/table/EC1200A1/variable/PAYANN_naics2012--42&taxstat--0&typop--10,data.census.gov/table/EC1200A1/variable/EMP_naics2012--42&taxstat--0&typop--10,data.census.gov/table/EC1200A1/variable/PAYQTR1_naics2012--42&taxstat--0&typop--10
country/USA,United States,42,0,20,2012,20048,2052484796,60976137,16826105,718005,data.census.gov/table/EC1200A1/variable/ESTAB_naics2012--42&taxstat--0&typop--20,data.census.gov/table/EC1200A1/variable/RCPTOT_naics2012--42&taxstat--0&typop--20,data.census.gov/table/EC1200A1/variable/PAYANN_naics2012--42&taxstat--0&typop--20,data.census.gov/table/EC1200A1/variable/EMP_naics2012--42&taxstat--0&typop--20,data.census.gov/table/EC1200A1/variable/PAYQTR1_naics2012--42&taxstat--0&typop--20
country/USA,United States,44-45,0,0,2012,1062083,4219821871,369001350,90038805,14703529,data.census.gov/table/EC1200A1/variable/ESTAB_naics2012--44-45&taxstat--0&typop--0,data.census.gov/table/EC1200A1/variable/RCPTOT_naics2012--44-45&taxstat--0&typop--0,data.census.gov/table/EC1200A1/variable/PAYANN_naics2012--44-45&taxstat--0&typop--0,data.census.gov/table/EC1200A1/variable/EMP_naics2012--44-45&taxstat--0&typop--0,data.census.gov/table/EC1200A1/variable/PAYQTR1_naics2012--44-45&taxstat--0&typop--0
country/USA,United States,48-49(104),0,0,2012,213809,730541303,183840920,45286363,4305464,data.census.gov/table/EC1200A1/variable/ESTAB_naics2012--48-49(104)&taxstat--0&typop--0,data.census.gov/table/EC1200A1/variable/RCPTOT_naics2012--48-49(104)&taxstat--0&typop--0,data.census.gov/table/EC1200A1/variable/PAYANN_naics2012--48-49(104)&taxstat--0&typop--0,data.census.gov/table/EC1200A1/variable/EMP_naics2012--48-49(104)&taxstat--0&typop--0,data.census.gov/table/EC1200A1/variable/PAYQTR1_naics2012--48-49(104)&taxstat--0&typop--0
geoId/01,Alabama,21,0,0,2012,244,4722966,593200,N,8492,data.census.gov/table/EC1200A1/variable/ESTAB_naics2012--21&taxstat--0&typop--0,data.census.gov/table/EC1200A1/variable/RCPTOT_naics2012--21&taxstat--0&typop--0,data.census.gov/table/EC1200A1/variable/PAYANN_naics2012--21&taxstat--0&typop--0,data.census.gov/table/EC1200A1/variable/EMP_naics2012--21&taxstat--0&typop--0,data.census.gov/table/EC1200A1/variable/PAYQTR1_naics2012--21&taxstat--0&typop--0
geoId/01,Alabama,22,0,0,2012,424,Q,1361953,454940,15454,data.census.gov/table/EC1200A1/variable/ESTAB_naics2012--22&taxstat--0&typop--0,data.census.gov/table/EC1200A1/variable/RCPTOT_naics2012--22&taxstat--0&typop--0,data.census.gov/table/EC1200A1/variable/PAYANN_naics2012--22&taxstat--0&typop--0,data.census.gov/table/EC1200A1/variable/EMP_naics2012--22&taxstat--0&typop--0,data.census.gov/table/EC1200A1/variable/PAYQTR1_naics2012--22&taxstat--0&typop--0
geoId/01,Alabama,23,0,0,2012,6869,17920322,3313715,782774,78690,data.census.gov/table/EC1200A1/variable/ESTAB_naics2012--23&taxstat--0&typop--0,data.census.gov/table/EC1200A1/variable/RCPTOT_naics2012--23&taxstat--0&typop--0,data.census.gov/table/EC1200A1/variable/PAYANN_naics2012--23&taxstat--0&typop--0,data.census.gov/table/EC1200A1/variable/EMP_naics2012--23&taxstat--0&typop--0,data.census.gov/table/EC1200A1/variable/PAYQTR1_naics2012--23&taxstat--0&typop--0
