key,,,,,,
Data Series,observationAbout,country/SGP,measuredProperty,count,populationType,MortalityEvent,statType,measuredValue
2028,value,{Number},observationDate,2028,,,,
2027,value,{Number},observationDate,2027,,,,
2026,value,{Number},observationDate,2026,,,,
2025,value,{Number},observationDate,2025,,,,
2024,value,{Number},observationDate,2024,,,,
2023,value,{Number},observationDate,2023,,,,
2022,value,{Number},observationDate,2022,,,,
2021,value,{Number},observationDate,2021,,,,
2020,value,{Number},observationDate,2020,,,,
2019,value,{Number},observationDate,2019,,,,
2018,value,{Number},observationDate,2018,,,,
2017,value,{Number},observationDate,2017,,,,
2016,value,{Number},observationDate,2016,,,,
2015,value,{Number},observationDate,2015,,,,
2014,value,{Number},observationDate,2014,,,,
2013,value,{Number},observationDate,2013,,,,
2012,value,{Number},observationDate,2012,,,,
2011,value,{Number},observationDate,2011,,,,
2010,value,{Number},observationDate,2010,,,,
2009,value,{Number},observationDate,2009,,,,
2008,value,{Number},observationDate,2008,,,,
2007,value,{Number},observationDate,2007,,,,
2006,value,{Number},observationDate,2006,,,,
2005,value,{Number},observationDate,2005,,,,
2004,value,{Number},observationDate,2004,,,,
2003,value,{Number},observationDate,2003,,,,
2002,value,{Number},observationDate,2002,,,,
2001,value,{Number},observationDate,2001,,,,
2000,value,{Number},observationDate,2000,,,,
1999,value,{Number},observationDate,1999,,,,
1998,value,{Number},observationDate,1998,,,,
1997,value,{Number},observationDate,1997,,,,
1996,value,{Number},observationDate,1996,,,,
1995,value,{Number},observationDate,1995,,,,
1994,value,{Number},observationDate,1994,,,,
1993,value,{Number},observationDate,1993,,,,
1992,value,{Number},observationDate,1992,,,,
1991,value,{Number},observationDate,1991,,,,
1990,value,{Number},observationDate,1990,,,,
1989,value,{Number},observationDate,1989,,,,
1988,value,{Number},observationDate,1988,,,,
1987,value,{Number},observationDate,1987,,,,
1986,value,{Number},observationDate,1986,,,,
1985,value,{Number},observationDate,1985,,,,
1984,value,{Number},observationDate,1984,,,,
1983,value,{Number},observationDate,1983,,,,
1982,value,{Number},observationDate,1982,,,,
1981,value,{Number},observationDate,1981,,,,
1980,value,{Number},observationDate,1980,,,,
1979,value,{Number},observationDate,1979,,,,
1978,value,{Number},observationDate,1978,,,,
1977,value,{Number},observationDate,1977,,,,
1976,value,{Number},observationDate,1976,,,,
1975,value,{Number},observationDate,1975,,,,
1974,value,{Number},observationDate,1974,,,,
1973,value,{Number},observationDate,1973,,,,
1972,value,{Number},observationDate,1972,,,,
1971,value,{Number},observationDate,1971,,,,
1970,value,{Number},observationDate,1970,,,,
1969,value,{Number},observationDate,1969,,,,
Total Deaths By Causes,populationType,MortalityEvent,measuredProperty,count,statType,measuredValue,,
Infective And Parasitic Diseases,populationType,MortalityEvent,measuredProperty,count,causeOfDeath,ICD10/A00-B99,,
Tuberculosis,populationType,MortalityEvent,measuredProperty,count,causeOfDeath,Tuberculosis,,
Neoplasms,populationType,MortalityEvent,measuredProperty,count,causeOfDeath,Neoplasms,,
Malignant Neoplasms,populationType,MortalityEvent,measuredProperty,count,causeOfDeath,MalignantNeoplasms,,
"Endocrine, Nutritional And Metabolic Diseases",populationType,MortalityEvent,measuredProperty,count,causeOfDeath,ICD10/E00-E88,,
Diabetes,populationType,MortalityEvent,measuredProperty,count,causeOfDeath,Diabetes,,
Diseases Of The Blood And Blood-Forming Organs,populationType,MortalityEvent,measuredProperty,count,causeOfDeath,ICD10/D50-D89,,
Diseases Of The Nervous System And Sense Organs,populationType,MortalityEvent,measuredProperty,count,causeOfDeath,ICD10/G00-G98__SenseOrganDiseases,,
Diseases Of The Circulatory System,populationType,MortalityEvent,measuredProperty,count,causeOfDeath,ICD10/I00-I99,,
Heart And Hypertensive Diseases,populationType,MortalityEvent,measuredProperty,count,causeOfDeath,HypertensiveHeartDisease,,
Cerebrovascular Disease,populationType,MortalityEvent,measuredProperty,count,causeOfDeath,CerebrovascularDiseases,,
Diseases Of The Respiratory System,populationType,MortalityEvent,measuredProperty,count,causeOfDeath,ICD10/J00-J98,,
Pneumonia,populationType,MortalityEvent,measuredProperty,count,causeOfDeath,Pneumonia,,
Diseases Of The Digestive System,populationType,MortalityEvent,measuredProperty,count,causeOfDeath,ICD10/K00-K92,,
Diseases Of The Genito-Urinary System,populationType,MortalityEvent,measuredProperty,count,causeOfDeath,GenitourinaryDiseases,,
Congenital Anomalies,populationType,MortalityEvent,measuredProperty,count,causeOfDeath,CongenitalAnomalies,,
Congenital Anomalies Of Heart,populationType,MortalityEvent,measuredProperty,count,causeOfDeath,CongenitalHeartAnomalies,,
Certain Causes Of Perinatal Mortality,populationType,MortalityEvent,measuredProperty,count,causeOfDeath,PerinatalInfection,,
"Accidents, Poisonings And Violence",populationType,MortalityEvent,measuredProperty,count,causeOfDeath,Accident__Poisonings__Violence,,
Suicides,populationType,MortalityEvent,measuredProperty,count,causeOfDeath,Suicide,,
Transport Accidents,populationType,MortalityEvent,measuredProperty,count,causeOfDeath,TransportAccidents,,
Other Diseases And Causes,populationType,MortalityEvent,measuredProperty,count,causeOfDeath,SGP_OtherDiseasesAndCauses,,
