Disease,Jan.,Feb.,Mar.,Apr.,May,June,July,Aug.,Sept.,Oct.,Nov.,Dec.,Unknown,Total
Anthrax,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Arboviral diseases,,,,,,,,,,,,,,
Chikungunya virus disease,24,27,11,6,11,17,17,34,32,25,25,18,—,247
Eastern equine encephalitis virus disease,,,,,,,,,,,,,,
Neuroinvasive,—,—,—,—,—,—,3,—,2,2,—,—,—,7
Non-neuroinvasive,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Jamestown Canyon virus disease,,,,,,,,,,,,,,
Neuroinvasive,—,—,—,—,—,1,1,2,—,1,2,—,—,7
Non-neuroinvasive,—,—,—,—,—,—,2,3,2,1,—,—,—,8
La Crosse virus disease,,,,,,,,,,,,,,
Neuroinvasive,—,—,—,—,1,1,6,7,10,4,2,—,—,31
Non-neuroinvasive,—,—,—,—,—,—,2,2,—,—,—,—,—,4
Powassan virus disease,,,,,,,,,,,,,,
Neuroinvasive,—,—,—,2,1,2,2,—,1,4,5,4,—,21
Non-neuroinvasive,—,—,—,—,—,—,—,—,1,—,—,—,—,1
St. Louis encephalitis virus disease,,,,,,,,,,,,,,
Neuroinvasive,—,—,—,—,—,1,3,1,2,—,—,—,—,7
Non-neuroinvasive,—,—,—,—,—,—,1,—,—,—,—,—,—,1
West Nile virus disease,,,,,,,,,,,,,,
Neuroinvasive,—,—,—,1,7,22,151,448,383,174,64,58,—,1308
Non-neuroinvasive,1,—,—,1,9,19,139,344,194,78,38,18,—,841
Western equine encephalitis virus disease,,,,,,,,,,,,,,
Neuroinvasive,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Non-neuroinvasive,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Babesiosis,,,,,,,,,,,,,,
Total,18,9,8,28,50,249,686,379,145,117,57,164,—,1910
Confirmed,11,8,4,18,39,210,594,329,119,90,39,124,—,1585
Probable,7,1,4,10,11,39,92,50,26,27,18,40,—,325
Botulism,,,,,,,,,,,,,,
Total,9,9,19,22,8,37,14,12,17,16,17,21,—,201
Foodborne,—,1,—,2,—,19,1,1,3,2,—,2,—,31
Infant,9,6,15,18,5,15,10,11,11,12,15,17,—,144
Other (wound & unspecified),—,2,4,2,3,3,3,—,3,2,2,2,—,26
Brucellosis,5,6,12,14,12,10,4,17,11,12,5,19,—,127
Campylobacteriosis,3289,3104,3053,4559,4615,6018,7983,5907,4885,5665,4097,6945,—,60120
Chancroid,—,1,—,2,—,—,1,—,3,—,—,—,—,7
