Disease,<1 yr,<1 yr,1-4 yrs,1-4 yrs,5-14 yrs,5-14 yrs,15-24 yrs,15-24 yrs,25-39 yrs,25-39 yrs,40-64 yrs,40-64 yrs,≥65 yrs,≥65 yrs,Age not stated,Total
Disease,No.,Rate,No.,Rate,No.,Rate,No.,Rate,No.,Rate,No.,Rate,No.,Rate,No.,No.
Anthrax,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Arboviral diseases,,,,,,,,,,,,,,,,
Chikungunya virus disease,—,—,2,0.01,8,0.02,17,0.04,68,0.10,112,0.11,38,0.08,2,247
Eastern equine encephalitis virus disease,,,,,,,,,,,,,,,,
Neuroinvasive,—,—,—,—,—,—,1,0.00,1,0.00,2,0.00,3,0.01,—,7
Non-neuroinvasive,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Jamestown Canyon virus disease,,,,,,,,,,,,,,,,
Neuroinvasive,—,—,—,—,—,—,—,—,2,0.00,3,0.00,2,0.00,—,7
Non-neuroinvasive,—,—,—,—,—,—,—,—,1,0.00,3,0.00,4,0.01,—,8
La Crosse virus disease,,,,,,,,,,,,,,,,
Neuroinvasive,—,—,6,0.04,19,0.05,—,—,3,0.00,1,0.00,2,0.00,—,31
Non-neuroinvasive,—,—,2,0.01,—,—,1,0.00,1,0.00,—,—,—,—,—,4
Powassan virus disease,,,,,,,,,,,,,,,,
Neuroinvasive,1,0.03,—,—,—,—,—,—,—,—,9,0.01,11,0.02,—,21
Non-neuroinvasive,—,—,—,—,—,—,—,—,—,—,1,0.00,—,—,—,1
St. Louis encephalitis virus disease,,,,,,,,,,,,,,,,
Neuroinvasive,—,—,—,—,—,—,—,—,—,—,3,0.00,4,0.01,—,7
Non-neuroinvasive,—,—,—,—,—,—,—,—,—,—,1,0.00,—,—,—,1
West Nile virus disease,,,,,,,,,,,,,,,,
Neuroinvasive,—,—,4,0.03,19,0.05,45,0.10,145,0.22,581,0.56,514,1.04,—,1308
Non-neuroinvasive,—,—,2,0.01,16,0.04,47,0.11,155,0.24,453,0.44,168,0.34,—,841
Western equine encephalitis virus disease,,,,,,,,,,,,,,,,
Neuroinvasive,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Non-neuroinvasive,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Babesiosis,,,,,,,,,,,,,,,,
Total,—,—,8,0.07,37,0.13,41,0.13,158,0.34,794,1.07,865,2.54,7,1910
Confirmed,—,—,5,0.04,27,0.09,28,0.09,126,0.27,620,0.84,772,2.27,7,1585
Probable,—,—,3,0.03,10,0.03,13,0.04,32,0.07,174,0.24,93,0.27,—,325
Botulism,,,,,,,,,,,,,,,,
Total,140,3.53,1,0.01,—,—,3,0.01,23,0.04,21,0.02,9,0.02,4,201
Foodborne,—,—,1,0.01,—,—,3,0.01,13,0.02,8,0.01,6,0.01,—,31
Infant  *,140,3.53,—,—,—,—,—,—,—,—,—,—,—,—,4,144
Other (wound & unspecified),—,—,—,—,—,—,—,—,10,0.02,13,0.01,3,0.01,—,26
Brucellosis,—,—,2,0.01,10,0.02,3,0.01,29,0.04,59,0.06,23,0.05,1,127
Campylobacteriosis,1762,44.38,5703,35.74,4897,11.93,6809,15.65,10835,16.55,19081,18.36,10922,22.18,111,60120
Chancroid,—,—,—,—,—,—,2,0.00,4,0.01,1,0.00,—,—,—,7
Chlamydia trachomatis  infection,482,12.14,114,0.71,10759,26.21,1008403,2317.58,497907,760.73,74185,71.37,1772,3.60,4732,1598354
Cholera,—,—,—,—,—,—,2,0.00,3,0.00,7,0.01,3,0.01,—,15
Coccidioidomycosis  †,7,0.43,53,0.81,491,2.91,1097,6.15,2320,8.69,4948,11.81,2898,14.69,15,11829
Cryptosporidiosis,,,,,,,,,,,,,,,,
Total,200,5.04,1842,11.54,2212,5.39,1862,4.28,3254,4.97,2797,2.69,1225,2.49,61,13453
Confirmed,131,3.30,1259,7.89,1503,3.66,1205,2.77,2054,3.14,1790,1.72,664,1.35,31,8637
Probable,69,1.74,583,3.65,709,1.73,657,1.51,1200,1.83,1007,0.97,561,1.14,30,4816
Cyclosporiasis,—,—,5,0.03,10,0.03,38,0.10,124,0.21,277,0.29,77,0.17,6,537
Dengue virus infections  §,,,,,,,,,,,,,,,,
Dengue,1,0.03,6,0.04,39,0.10,134,0.31,275,0.42,362,0.35,86,0.17,—,903
Dengue-like illness,—,—,1,0.01,1,0.00,7,0.02,14,0.02,10,0.01,3,0.01,4,40
Severe dengue,—,—,—,—,1,0.00,1,0.00,1,0.00,6,0.01,1,0.00,—,10
Diphtheria,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Ehrlichiosis and Anaplasmosis,,,,,,,,,,,,,,,,
Anaplasma phagocytophilum  infection,1,0.03,18,0.12,107,0.27,147,0.35,361,0.57,1914,1.91,1596,3.35,7,4151
Ehrlichia chaffeensis  infection,1,0.03,6,0.04,46,0.12,87,0.21,153,0.24,610,0.61,466,0.98,8,1377
Ehrlichia ewingii  infection,—,—,—,—,—,—,—,—,2,0.00,9,0.01,11,0.02,—,22
Undetermined ehrlichiosis/anaplasmosis,—,—,3,0.02,15,0.04,15,0.04,36,0.06,76,0.08,54,0.11,1,200
Giardiasis,104,3.40,1607,13.06,1911,6.04,1880,5.54,3461,6.76,5297,6.46,1991,5.03,59,16310
Gonorrhea,95,2.39,92,0.58,2534,6.17,218302,501.72,192987,294.86,51384,49.43,1599,3.25,1521,468514
"Haemophilus influenzae,  invasive disease",,,,,,,,,,,,,,,,
"All ages, all serotypes",351,8.84,221,1.38,128,0.31,120,0.28,315,0.48,1209,1.16,2546,5.17,5,4895
Age <5 years  ¶,,,,,,,,,,,,,,,,
Serotype b,19,0.48,11,0.07,—,—,—,—,—,—,—,—,—,—,—,30
Non-b serotype,78,1.96,81,0.51,—,—,—,—,—,—,—,—,—,—,—,159
Nontypeable,137,3.45,59,0.37,—,—,—,—,—,—,—,—,—,—,—,196
Unknown serotype,117,2.95,70,0.44,—,—,—,—,—,—,—,—,—,—,—,187
Hansen's disease,—,—,—,—,3,0.01,4,0.01,7,0.01,29,0.03,18,0.04,17,78
"Hantavirus infection, non-hantavirus pulmonary syndrome",—,—,—,—,1,0.00,1,0.00,2,0.00,2,0.00,—,—,—,6
Hantavirus pulmonary syndrome,—,—,—,—,2,0.00,4,0.01,7,0.01,12,0.01,6,0.01,—,31
Hemolytic uremic syndrome post-diarrheal,9,0.23,143,0.92,100,0.25,13,0.03,10,0.02,11,0.01,19,0.04,2,307
Hepatitis  **,,,,,,,,,,,,,,,,
"A, acute",1,0.03,18,0.11,59,0.14,265,0.61,618,0.94,738,0.71,301,0.61,7,2007
"B, acute",1,0.03,—,—,4,0.01,107,0.25,1192,1.84,1705,1.65,198,0.40,11,3218
"B, perinatal infection  ††",17,0.43,15,0.38,—,—,—,—,—,—,—,—,—,—,—,32
"C, acute",7,0.19,3,0.02,—,—,531,1.30,1528,2.47,784,0.80,68,0.15,21,2942
Human immunodeficiency virus diagnoses,39,0.98,15,0.09,67,0.16,7243,16.65,15630,23.88,11052,10.63,729,1.48,—,34775
Influenza-associated pediatric mortality  §§,8,0.20,26,0.16,39,0.10,9,0.07,—,—,—,—,—,—,—,82
Invasive pneumococcal disease,,,,,,,,,,,,,,,,
All ages,395,13.42,717,6.05,464,1.52,315,0.97,1425,2.96,7305,9.40,6972,18.68,33,17626
Confirmed,393,13.35,715,6.04,464,1.52,315,0.97,1425,2.96,7299,9.39,6959,18.64,33,17603
Probable,2,0.07,2,0.02,—,—,—,—,—,—,6,0.01,13,0.03,—,23
Age <5 years  ¶,408,12.86,734,5.75,—,—,—,—,—,—,—,—,—,—,—,1142
Confirmed,406,12.80,731,5.72,—,—,—,—,—,—,—,—,—,—,—,1137
Probable,2,0.06,3,0.02,—,—,—,—,—,—,—,—,—,—,—,5
Legionellosis,3,0.08,2,0.01,4,0.01,61,0.14,398,0.61,2927,2.82,2742,5.57,4,6141
Leptospirosis,—,—,—,—,3,0.01,11,0.03,17,0.03,36,0.05,11,0.03,—,78
Listeriosis,34,0.86,1,0.01,5,0.01,20,0.05,61,0.09,183,0.18,480,0.97,2,786
Lyme disease,,,,,,,,,,,,,,,,
Total,21,0.53,1283,8.08,5776,14.13,3495,8.07,4822,7.40,12970,12.53,7360,15.02,702,36429
Confirmed,20,0.51,1074,6.76,4472,10.94,2343,5.41,3311,5.08,9355,9.04,5045,10.30,583,26203
Probable,1,0.03,209,1.32,1304,3.19,1152,2.66,1511,2.32,3615,3.49,2315,4.72,119,10226
Malaria,8,0.20,91,0.57,194,0.47,258,0.59,568,0.87,702,0.68,132,0.27,2,1955
Measles,,,,,,,,,,,,,,,,
Total,5,0.13,9,0.06,14,0.03,16,0.04,26,0.04,15,0.01,—,—,—,85
Indigenous,4,0.10,7,0.04,8,0.02,15,0.03,21,0.03,13,0.01,—,—,—,68
Imported,1,0.03,2,0.01,6,0.01,1,0.00,5,0.01,2,0.00,—,—,—,17
Meningococcal disease,,,,,,,,,,,,,,,,
All serogroups,35,0.88,33,0.21,21,0.05,80,0.18,64,0.10,80,0.08,62,0.13,—,375
Serogroups ACWY,5,0.13,16,0.10,6,0.01,14,0.03,16,0.02,39,0.04,30,0.06,—,126
Serogroup B,18,0.45,10,0.06,6,0.01,25,0.06,11,0.02,8,0.01,8,0.02,—,86
Other serogroups,1,0.03,2,0.01,1,0.00,6,0.01,5,0.01,4,0.00,2,0.00,—,21
Unknown serogroup,11,0.28,5,0.03,8,0.02,35,0.08,32,0.05,29,0.03,22,0.04,—,142
Mumps,16,0.40,192,1.20,1623,3.95,2716,6.24,1125,1.72,626,0.60,62,0.13,9,6369
Novel Influenza A virus infections,1,0.03,6,0.04,9,0.02,2,0.00,—,—,4,0.00,—,—,1,23
Pertussis,2020,50.88,2435,15.26,5833,14.21,3998,9.19,1094,1.67,1905,1.83,657,1.33,30,17972
Plague,—,—,—,—,—,—,2,0.00,—,—,—,—,2,0.00,—,4
"Poliomyelitis, paralytic",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
"Poliovirus infection, nonparalytic",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Psittacosis,—,—,—,—,—,—,2,0.01,3,0.01,5,0.01,2,0.00,—,12
Q fever,,,,,,,,,,,,,,,,
Total,—,—,1,0.01,2,0.00,6,0.01,25,0.04,89,0.09,41,0.08,—,164
Acute,—,—,1,0.01,2,0.00,5,0.01,21,0.03,72,0.07,31,0.06,—,132
Chronic,—,—,—,—,—,—,1,0.00,4,0.01,17,0.02,10,0.02,—,32
Rabies,,,,,,,,,,,,,,,,
Human,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Rubella,—,—,—,—,—,—,—,—,1,0.00,—,—,—,—,—,1
"Rubella, congenital syndrome  *",2,0.05,—,—,—,—,—,—,—,—,—,—,—,—,—,2
Salmonellosis,5126,129.11,7321,45.88,5724,13.94,4989,11.47,7687,11.74,13917,13.39,8562,17.39,524,53850
Severe acute respiratory syndrome-associated coronavirus disease,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
