Disease,Female,Female,Male,Male,Sex not stated,Total
Disease,No.,Rate,No.,Rate,No.,No.
Anthrax,—,—,—,—,—,—
Arboviral diseases,,,,,,
Chikungunya virus disease,134,0.08,113,0.07,—,247
Eastern equine encephalitis virus disease,,,,,,
Neuroinvasive,1,0.00,6,0.00,—,7
Non-neuroinvasive,—,—,—,—,—,—
Jamestown Canyon virus disease,,,,,,
Neuroinvasive,2,0.00,5,0.00,—,7
Non-neuroinvasive,1,0.00,7,0.00,—,8
La Crosse virus disease,,,,,,
Neuroinvasive,10,0.01,21,0.01,—,31
Non-neuroinvasive,—,—,4,0.00,—,4
Powassan virus disease,,,,,,
Neuroinvasive,7,0.00,14,0.01,—,21
Non-neuroinvasive,1,0.00,—,—,—,1
St. Louis encephalitis virus disease,,,,,,
Neuroinvasive,3,0.00,4,0.00,—,7
Non-neuroinvasive,—,—,1,0.00,—,1
West Nile virus disease,,,,,,
Neuroinvasive,463,0.28,845,0.53,—,1308
Non-neuroinvasive,362,0.22,479,0.30,—,841
Western equine encephalitis virus disease,,,,,,
Neuroinvasive,—,—,—,—,—,—
Non-neuroinvasive,—,—,—,—,—,—
Babesiosis,,,,,,
Total,659,0.57,1246,1.10,5,1910
Confirmed,536,0.46,1045,0.92,4,1585
Probable,123,0.11,201,0.18,1,325
Botulism,,,,,,
Total,82,0.05,118,0.07,1,201
Foodborne,7,0.00,24,0.02,—,31
Infant  *,67,3.45,76,3.74,1,144
Other (wound & unspecified),8,0.00,18,0.01,—,26
Brucellosis,49,0.03,77,0.05,1,127
Campylobacteriosis,28398,17.31,31424,19.75,298,60120
Chancroid,1,0.00,6,0.00,—,7
Chlamydia trachomatis  infection,1072719,653.90,522870,328.69,2765,1598354
Cholera,8,0.00,7,0.00,—,15
Coccidioidomycosis  †,5106,7.70,6701,10.33,22,11829
Cryptosporidiosis,,,,,,
Total,6904,4.21,6454,4.06,95,13453
Confirmed,4346,2.65,4254,2.67,37,8637
Probable,2558,1.56,2200,1.38,58,4816
Cyclosporiasis,325,0.22,211,0.15,1,537
Dengue virus infections  §,,,,,,
Dengue,447,0.27,456,0.29,—,903
Dengue-like illness,16,0.01,24,0.02,—,40
Severe dengue,4,0.00,6,0.00,—,10
Diphtheria,—,—,—,—,—,—
Ehrlichiosis and Anaplasmosis,,,,,,
Anaplasma phagocytophilum  infection,1596,1.01,2473,1.61,82,4151
Ehrlichia chaffeensis  infection,529,0.33,846,0.55,2,1377
Ehrlichia ewingii  infection,11,0.01,11,0.01,—,22
Undetermined ehrlichiosis/anaplasmosis,96,0.06,104,0.07,—,200
Giardiasis,6490,5.04,9770,7.82,50,16310
Gonorrhea,197499,120.39,270033,169.75,982,468514
"Haemophilus influenzae,  invasive disease",,,,,,
"All ages, all serotypes",2634,1.61,2233,1.40,28,4895
Age <5 years  ¶,,,,,,
Serotype b,11,0.11,19,0.19,—,30
Non-b serotype,67,0.69,92,0.90,—,159
Nontypeable,89,0.91,106,1.04,1,196
Unknown serotype,83,0.85,103,1.01,1,187
Hansen's disease,17,0.01,46,0.03,15,78
"Hantavirus infection, non-hantavirus pulmonary syndrome",2,0.00,4,0.00,—,6
Hantavirus pulmonary syndrome,13,0.01,18,0.01,—,31
Hemolytic uremic syndrome post-diarrheal,181,0.11,125,0.08,1,307
Hepatitis  **,,,,,,
"A, acute",897,0.55,1107,0.70,3,2007
"B, acute",1252,0.77,1957,1.24,9,3218
"B, perinatal infection  ††",11,0.28,21,0.52,—,32
"C, acute",1310,0.85,1627,1.08,5,2942
Human immunodeficiency virus diagnoses,6631,4.04,28144,17.69,—,34775
Influenza-associated pediatric mortality  §§,48,0.13,34,0.09,—,82
Invasive pneumococcal disease,,,,,,
All ages,8400,6.86,9125,7.71,101,17626
Confirmed,8390,6.85,9112,7.70,101,17603
Probable,10,0.01,13,0.01,—,23
Age <5 years  ¶,484,0.37,652,0.51,6,1142
Confirmed,481,6.17,650,7.98,6,1137
Probable,3,0.04,2,0.02,—,5
Legionellosis,2458,1.50,3679,2.31,4,6141
Leptospirosis,18,0.01,60,0.05,—,78
Listeriosis,401,0.24,383,0.24,2,786
Lyme disease,,,,,,
Total,15307,9.37,20567,12.99,555,36429
Confirmed,10971,6.72,14810,9.35,422,26203
Probable,4336,2.65,5757,3.64,133,10226
Malaria,743,0.45,1194,0.75,18,1955
Measles,,,,,,
Total,24,0.01,61,0.04,—,85
Indigenous,19,0.01,49,0.03,—,68
Imported,5,0.00,12,0.01,—,17
Meningococcal disease,,,,,,
All serogroups,173,0.11,202,0.13,—,375
Serogroups ACWY,62,0.04,64,0.04,—,126
Serogroup B,41,0.02,45,0.03,—,86
Other serogroups,9,0.01,12,0.01,—,21
Unknown serogroup,61,0.04,81,0.05,—,142
Mumps,3147,1.92,3194,2.01,28,6369
Novel Influenza A virus infections,9,0.01,14,0.01,—,23
Pertussis,9900,6.03,8029,5.05,43,17972
Plague,—,—,4,0.00,—,4
"Poliomyelitis, paralytic",—,—,—,—,—,—
"Poliovirus infection, nonparalytic",—,—,—,—,—,—
Psittacosis,8,0.01,4,0.00,—,12
Q fever,,,,,,
Total,34,0.02,130,0.08,—,164
Acute,27,0.02,105,0.07,—,132
Chronic,7,0.00,25,0.02,—,32
Rabies,,,,,,
Human,—,—,—,—,—,—
Rubella,—,—,1,0.00,—,1
"Rubella, congenital syndrome  *",2,0.10,—,—,—,2
Salmonellosis,28379,17.30,25090,15.77,381,53850
Severe acute respiratory syndrome-associated coronavirus disease,—,—,—,—,—,—
Shiga toxin-producing  Escherichia coli  ¶¶,4521,2.76,3614,2.27,34,8169
Shigellosis,10579,6.45,10359,6.51,159,21097
Smallpox,—,—,—,—,—,—
Spotted fever rickettsiosis,,,,,,
Total,1442,0.88,2823,1.79,4,4269
Confirmed,46,0.03,108,0.07,—,154
Probable,1396,0.86,2715,1.72,4,4115
Streptococcal toxic shock syndrome,146,0.14,137,0.13,—,283
Syphilis,,,,,,
"Total, all stages  ***",14848,9.05,72433,45.53,761,88042
Congenital  *,—,—,—,—,628,628
Primary and secondary,3049,1.86,24724,15.54,41,27814
Tetanus,11,0.01,22,0.01,1,34
Toxic shock syndrome (other than Streptococcal),28,0.02,11,0.01,1,40
Trichinellosis,6,0.00,20,0.01,—,26
Tuberculosis,3633,2.21,5639,3.54,—,9272
Tularemia,76,0.05,153,0.10,1,230
Typhoid fever,177,0.11,197,0.12,2,376
Vancomycin-intermediate  Staphylococcus aureus,46,0.04,62,0.05,—,108
Vancomycin-resistant  Staphylococcus aureus,—,—,—,—,—,—
Varicella morbidity,4330,3.28,4581,3.58,42,8953
Varicella mortality,U,U,U,U,U,U
Vibriosis,,,,,,
Total,437,0.27,824,0.53,12,1273
Confirmed,422,0.26,807,0.52,12,1241
Probable,15,0.01,17,0.01,—,32
Viral hemorrhagic fevers,,,,,,
Crimean-Congo hemorrhagic fever virus,—,—,—,—,—,—
Ebola virus,—,—,—,—,—,—
Guanarito virus,—,—,—,—,—,—
Junin virus,—,—,—,—,—,—
Lassa virus,—,—,—,—,—,—
Lujo virus,—,—,—,—,—,—
Machupo virus,—,—,—,—,—,—
Marburg virus,—,—,—,—,—,—
Sabia virus,—,—,—,—,—,—
Yellow fever,—,—,1,0.00,—,1
Zika virus,,,,,,
"Zika virus disease, congenital  *,†††",17,0.88,13,0.64,—,30
"Zika virus disease, non-congenital",3290,2.01,1842,1.16,—,5132
"Zika virus infection, congenital  *,†††",23,1.19,22,1.08,—,45
"Zika virus infection, non-congenital",852,0.52,58,0.04,1,911
