Reporting Area,Arboviral diseases,Arboviral diseases,Arboviral diseases,Arboviral diseases,Arboviral diseases,Arboviral diseases,Arboviral diseases,Arboviral diseases
Reporting Area,La Crosse virus disease,La Crosse virus disease,Powassan virus disease,Powassan virus disease,St. Louis encephalitis virus disease,St. Louis encephalitis virus disease,West Nile virus disease,West Nile virus disease
Reporting Area,Neuroinvasive,Non-neuroinvasive,Neuroinvasive,Non-neuroinvasive,Neuroinvasive,Non-neuroinvasive,Neuroinvasive,Non-neuroinvasive
United States,31,4,21,1,7,1,1308,841
New England,—,—,9,—,—,—,15,7
Connecticut,—,—,1,—,—,—,1,—
Maine,—,—,1,—,—,—,—,—
Massachusetts,—,—,5,—,—,—,10,7
New Hampshire,—,—,1,—,—,—,—,—
Rhode Island,—,—,1,—,—,—,2,—
Vermont,—,—,—,—,—,—,2,—
Middle Atlantic,—,—,1,1,—,—,43,6
New Jersey,—,—,—,—,—,—,11,—
New York (excluding New York City),—,—,1,1,—,—,14,2
New York City,—,—,—,—,—,—,6,—
Pennsylvania,—,—,—,—,—,—,12,4
East North Central,12,1,5,—,1,—,177,69
Illinois,—,—,—,—,1,—,98,57
Indiana,—,—,—,—,—,—,15,3
Michigan,—,—,—,—,—,—,42,1
Ohio,9,—,—,—,—,—,12,5
Wisconsin,3,1,5,—,—,—,10,3
West North Central,3,—,5,—,—,—,175,325
Iowa,—,—,—,—,—,—,16,21
Kansas,—,—,—,—,—,—,18,19
Minnesota,3,—,5,—,—,—,38,45
Missouri,—,—,—,—,—,—,9,2
Nebraska,—,—,—,—,—,—,35,60
North Dakota,—,—,—,—,—,—,24,61
South Dakota,—,—,—,—,—,—,35,117
South Atlantic,13,3,1,—,—,—,31,9
Delaware,—,—,—,—,—,—,—,—
District of Columbia,—,—,—,—,—,—,1,—
Florida,—,—,—,—,—,—,6,2
Georgia,—,—,—,—,—,—,4,2
Maryland,—,—,—,—,—,—,6,—
North Carolina,8,—,1,—,—,—,2,—
South Carolina,—,—,—,—,—,—,6,2
Virginia,—,—,—,—,—,—,6,2
West Virginia,5,3,—,—,—,—,—,1
East South Central,3,—,—,—,—,—,47,29
Alabama,—,—,—,—,—,—,12,6
Kentucky,—,—,—,—,—,—,5,3
Mississippi,—,—,—,—,—,—,27,16
Tennessee,3,—,—,—,—,—,3,4
West South Central,—,—,—,—,—,—,319,154
Arkansas,—,—,—,—,—,—,8,1
Louisiana,—,—,—,—,—,—,38,21
Oklahoma,—,—,—,—,—,—,21,14
Texas,—,—,—,—,—,—,252,118
Mountain,—,—,—,—,3,1,156,132
Arizona,—,—,—,—,—,—,57,21
Colorado,—,—,—,—,—,—,59,90
Idaho,—,—,—,—,—,—,3,6
Montana,—,—,—,—,—,—,3,3
Nevada,—,—,—,—,2,1,13,3
New Mexico,—,—,—,—,—,—,6,—
Utah,—,—,—,—,1,—,7,6
Wyoming,—,—,—,—,—,—,8,3
Pacific,—,—,—,—,3,—,345,110
Alaska,—,—,—,—,—,—,—,—
California,—,—,—,—,3,—,335,107
Hawaii,—,—,—,—,—,—,—,—
Oregon,—,—,—,—,—,—,2,2
Washington,—,—,—,—,—,—,8,1
Territories,—,—,—,—,—,—,—,—
American Samoa,—,—,—,—,—,—,—,—
Commonwealth of Northern Mariana Islands,—,—,—,—,—,—,—,—
Guam,—,—,—,—,—,—,—,—
Puerto Rico,—,—,—,—,—,—,—,—
U.S. Virgin Islands,—,—,—,—,—,—,—,—
