Disease,American Indian or  Alaska Native,American Indian or  Alaska Native,Asian or Pacific  Islander,Asian or Pacific  Islander,Black,Black,White,White,Other Race,Race not stated,Total
Disease,No.,Rate,No.,Rate,No.,Rate,No.,Rate,No.,No.,No.
Anthrax,—,—,—,—,—,—,—,—,—,—,—
Arboviral diseases,,,,,,,,,,,
Chikungunya virus disease,—,—,65,0.32,14,0.03,79,0.03,18,71,247
Eastern equine encephalitis virus disease,,,,,,,,,,,
Neuroinvasive,S,S,S,S,S,S,S,S,S,S,7
Non-neuroinvasive,—,—,—,—,—,—,—,—,—,—,—
Jamestown Canyon virus disease,,,,,,,,,,,
Neuroinvasive,S,S,S,S,S,S,S,S,S,S,7
Non-neuroinvasive,S,S,S,S,S,S,S,S,S,S,8
La Crosse virus disease,,,,,,,,,,,
Neuroinvasive,—,—,—,—,—,—,25,0.01,—,6,31
Non-neuroinvasive,S,S,S,S,S,S,S,S,S,S,4
Powassan virus disease,,,,,,,,,,,
Neuroinvasive,S,S,S,S,S,S,S,S,S,S,21
Non-neuroinvasive,S,S,S,S,S,S,S,S,S,S,1
St. Louis encephalitis virus disease,,,,,,,,,,,
Neuroinvasive,S,S,S,S,S,S,S,S,S,S,7
Non-neuroinvasive,S,S,S,S,S,S,S,S,S,S,1
West Nile virus disease,,,,,,,,,,,
Neuroinvasive,11,0.24,12,0.06,63,0.14,920,0.36,35,267,1308
Non-neuroinvasive,5,0.11,6,0.03,21,0.05,600,0.24,11,198,841
Western equine encephalitis virus disease,,,,,,,,,,,
Neuroinvasive,—,—,—,—,—,—,—,—,—,—,—
Non-neuroinvasive,—,—,—,—,—,—,—,—,—,—,—
Babesiosis,,,,,,,,,,,
Total,7,0.26,44,0.28,41,0.14,1150,0.63,19,649,1910
Confirmed,4,0.15,44,0.28,36,0.12,947,0.52,16,538,1585
Probable,3,0.11,—,—,5,0.02,203,0.11,3,111,325
Botulism,,,,,,,,,,,
Total,5,0.11,9,0.04,19,0.04,123,0.05,3,42,201
Foodborne,3,0.06,2,0.01,12,0.03,9,0.00,—,5,31
Infant  †,1,1.29,7,2.80,5,0.73,96,3.24,3,32,144
Other (wound & unspecified),1,0.02,—,—,2,0.00,18,0.01,—,5,26
Brucellosis,2,0.04,4,0.02,3,0.01,85,0.03,15,18,127
Campylobacteriosis,479,10.35,1582,7.72,2721,6.01,36747,14.54,3189,15402,60120
Chancroid  §,S,S,S,S,S,S,S,S,S,S,7
Chlamydia trachomatis  infection  §,18735,404.63,25594,124.92,452165,998.00,519401,205.54,80410,502049,1598354
Cholera,S,S,S,S,S,S,S,S,S,S,15
Coccidioidomycosis  ¶,167,7.03,332,3.45,431,3.02,3659,3.49,542,6698,11829
Cryptosporidiosis,,,,,,,,,,,
Total,106,2.29,154,0.75,1283,2.83,9052,3.58,471,2387,13453
Confirmed,75,1.62,101,0.49,864,1.91,5663,2.24,306,1628,8637
Probable,31,0.67,53,0.26,419,0.92,3389,1.34,165,759,4816
Cyclosporiasis,1,0.03,14,0.07,14,0.03,370,0.16,28,110,537
Dengue virus infections  **,,,,,,,,,,,
Dengue,1,0.02,161,0.79,60,0.13,396,0.16,57,228,903
Dengue-like illness,—,—,6,0.03,2,0.00,13,0.01,8,11,40
Severe dengue,S,S,S,S,S,S,S,S,S,S,10
Diphtheria,—,—,—,—,—,—,—,—,—,—,—
Ehrlichiosis and Anaplasmosis,,,,,,,,,,,
Anaplasma phagocytophilum  infection,35,0.85,29,0.15,17,0.04,2686,1.10,36,1348,4151
Ehrlichia chaffeensis  infection,8,0.19,4,0.02,24,0.05,963,0.40,18,360,1377
Ehrlichia ewingii  infection,S,S,S,S,S,S,S,S,S,S,22
Undetermined ehrlichiosis/anaplasmosis,2,0.05,2,0.01,1,0.00,131,0.05,7,57,200
Giardiasis,93,2.60,430,2.45,1333,3.89,8049,4.06,728,5677,16310
Gonorrhea  §,6059,130.86,6208,30.30,192977,425.93,144335,57.12,20565,98370,468514
"Haemophilus influenzae,  invasive disease",,,,,,,,,,,
"All ages, all serotypes",62,1.34,75,0.37,671,1.48,3183,1.26,144,760,4895
Age <5 years  ††,,,,,,,,,,,
Serotype b,5,1.30,—,—,1,0.03,19,0.13,1,4,30
Non-b serotype,15,3.89,3,0.23,38,1.11,79,0.53,3,21,159
Nontypeable,4,1.04,4,0.31,36,1.06,111,0.75,9,32,196
Unknown serotype,7,1.81,9,0.70,31,0.91,96,0.65,15,29,187
Hansen's disease,—,—,12,0.06,5,0.01,36,0.02,1,24,78
"Hantavirus infection, non-hantavirus pulmonary syndrome",S,S,S,S,S,S,S,S,S,S,6
