key,p1,v1,p2,v2,p3,v3,p4,v4
Metropolitan France,observationAbout,country/FXX,#Header,observationAbout,,,,
France,observationAbout,country/FRA,#Header,observationAbout,,,,
All,gender,"""""",value,{Number},,,,
Males,gender,Male,value,{Number},,,,
Females,gender,Female,value,{Number},,,,
Age in completed years:0,age,Years0,,,,,,
Age in completed years:1,age,Years1,,,,,,
Age in completed years:2,age,Years2,,,,,,
Age in completed years:3,age,Years3,,,,,,
Age in completed years:4,age,Years4,,,,,,
Age in completed years:5,age,Years5,,,,,,
Age in completed years:6,age,Years6,,,,,,
Age in completed years:7,age,Years7,,,,,,
Age in completed years:8,age,Years8,,,,,,
Age in completed years:9,age,Years9,,,,,,
Age in completed years:10,age,Years10,,,,,,
Age in completed years:11,age,Years11,,,,,,
Age in completed years:12,age,Years12,,,,,,
Age in completed years:13,age,Years13,,,,,,
Age in completed years:14,age,Years14,,,,,,
Age in completed years:15,age,Years15,,,,,,
Age in completed years:16,age,Years16,,,,,,
Age in completed years:17,age,Years17,,,,,,
Age in completed years:18,age,Years18,,,,,,
Age in completed years:19,age,Years19,,,,,,
Age in completed years:20,age,Years20,,,,,,
Age in completed years:21,age,Years21,,,,,,
Age in completed years:22,age,Years22,,,,,,
Age in completed years:23,age,Years23,,,,,,
Age in completed years:24,age,Years24,,,,,,
Age in completed years:25,age,Years25,,,,,,
Age in completed years:26,age,Years26,,,,,,
Age in completed years:27,age,Years27,,,,,,
Age in completed years:28,age,Years28,,,,,,
Age in completed years:29,age,Years29,,,,,,
Age in completed years:30,age,Years30,,,,,,
Age in completed years:31,age,Years31,,,,,,
Age in completed years:32,age,Years32,,,,,,
Age in completed years:33,age,Years33,,,,,,
Age in completed years:34,age,Years34,,,,,,
Age in completed years:35,age,Years35,,,,,,
Age in completed years:36,age,Years36,,,,,,
Age in completed years:37,age,Years37,,,,,,
Age in completed years:38,age,Years38,,,,,,
Age in completed years:39,age,Years39,,,,,,
Age in completed years:40,age,Years40,,,,,,
