observationAbout,observationDate,value,variableMeasured,unit,scalingFactor
dcid:country/UGA,2012,4158000,dcid:Count_Student_Male_PrimaryEducation,,
dcid:country/UGA,2013,4219000,dcid:Count_Student_Male_PrimaryEducation,,
dcid:country/UGA,2014,4377000,dcid:Count_Student_Male_PrimaryEducation,,
dcid:country/UGA,2015,4122000,dcid:Count_Student_Male_PrimaryEducation,,
dcid:country/UGA,2016,4294000,dcid:Count_Student_Male_PrimaryEducation,,
dcid:country/UGA,2012,4171000,dcid:Count_Student_Female_PrimaryEducation,,
dcid:country/UGA,2013,4240000,dcid:Count_Student_Female_PrimaryEducation,,
dcid:country/UGA,2014,4395000,dcid:Count_Student_Female_PrimaryEducation,,
dcid:country/UGA,2015,4142000,dcid:Count_Student_Female_PrimaryEducation,,
dcid:country/UGA,2016,4361000,dcid:Count_Student_Female_PrimaryEducation,,
dcid:country/UGA,2012,17682,dcid:Count_School_PrimaryEducation,,
dcid:country/UGA,2013,18079,dcid:Count_School_PrimaryEducation,,
dcid:country/UGA,2014,18408,dcid:Count_School_PrimaryEducation,,
dcid:country/UGA,2015,18889,dcid:Count_School_PrimaryEducation,,
dcid:country/UGA,2016,19718,dcid:Count_School_PrimaryEducation,,
dcid:country/UGA,2012,171000,dcid:Count_Teacher_PrimaryEducation,,
dcid:country/UGA,2013,185000,dcid:Count_Teacher_PrimaryEducation,,
dcid:country/UGA,2014,191000,dcid:Count_Teacher_PrimaryEducation,,
dcid:country/UGA,2015,193000,dcid:Count_Teacher_PrimaryEducation,,
dcid:country/UGA,2016,203000,dcid:Count_Teacher_PrimaryEducation,,
dcid:country/UGA,2012,145390,dcid:Count_ClassRoom_PrimaryEducation,,
dcid:country/UGA,2013,148711,dcid:Count_ClassRoom_PrimaryEducation,,
dcid:country/UGA,2014,149591,dcid:Count_ClassRoom_PrimaryEducation,,
dcid:country/UGA,2015,131325,dcid:Count_ClassRoom_PrimaryEducation,,
dcid:country/UGA,2016,160381,dcid:Count_ClassRoom_PrimaryEducation,,
dcid:country/UGA,2014,7297,dcid:Count_Student_6To12Years_PrimaryEducation,,
dcid:country/UGA,2015,7463,dcid:Count_Student_6To12Years_PrimaryEducation,,
dcid:country/UGA,2016,7618,dcid:Count_Student_6To12Years_PrimaryEducation,,
dcid:country/UGA,2014,3691,dcid:Count_Student_6To12Years_Male_PrimaryEducation,,
dcid:country/UGA,2015,3790,dcid:Count_Student_6To12Years_Male_PrimaryEducation,,
dcid:country/UGA,2016,3887,dcid:Count_Student_6To12Years_Male_PrimaryEducation,,
dcid:country/UGA,2014,3606,dcid:Count_Student_6To12Years_Female_PrimaryEducation,,
dcid:country/UGA,2015,3673,dcid:Count_Student_6To12Years_Female_PrimaryEducation,,
dcid:country/UGA,2016,3731,dcid:Count_Student_6To12Years_Female_PrimaryEducation,,
dcid:country/UGA,2016,7275,dcid:Count_Teacher_EducationalAttainmentGraduateOrProfessionalDegree_PrimaryEducation,,
dcid:country/UGA,2016,4537,dcid:Count_Teacher_EducationalAttainmentGraduateOrProfessionalDegree_Male_PrimaryEducation,,
dcid:country/UGA,2016,2738,dcid:Count_Teacher_EducationalAttainmentGraduateOrProfessionalDegree_Female_PrimaryEducation,,
dcid:country/UGA,2011,118,dcid:Count_Student_EnrolledInSchool_PrimaryEducation,,
dcid:country/UGA,2012,115,dcid:Count_Student_EnrolledInSchool_PrimaryEducation,,
dcid:country/UGA,2013,113,dcid:Count_Student_EnrolledInSchool_PrimaryEducation,,
dcid:country/UGA,2014,117,dcid:Count_Student_EnrolledInSchool_PrimaryEducation,,
dcid:country/UGA,2015,109,dcid:Count_Student_EnrolledInSchool_PrimaryEducation,,
dcid:country/UGA,2012,48,dcid:Count_Student_PrimaryEducation_AsAFractionOf_Count_Teacher_PrimaryEducation,Percent,100
dcid:country/UGA,2013,46,dcid:Count_Student_PrimaryEducation_AsAFractionOf_Count_Teacher_PrimaryEducation,Percent,100
dcid:country/UGA,2014,46,dcid:Count_Student_PrimaryEducation_AsAFractionOf_Count_Teacher_PrimaryEducation,Percent,100
dcid:country/UGA,2015,43,dcid:Count_Student_PrimaryEducation_AsAFractionOf_Count_Teacher_PrimaryEducation,Percent,100
dcid:country/UGA,2016,43,dcid:Count_Student_PrimaryEducation_AsAFractionOf_Count_Teacher_PrimaryEducation,Percent,100
dcid:country/UGA,2012,57,dcid:Count_Student_PrimaryEducation_AsAFractionOf_Count_ClassRoom_PrimaryEducation,Percent,100
dcid:country/UGA,2013,57,dcid:Count_Student_PrimaryEducation_AsAFractionOf_Count_ClassRoom_PrimaryEducation,Percent,100
dcid:country/UGA,2014,58,dcid:Count_Student_PrimaryEducation_AsAFractionOf_Count_ClassRoom_PrimaryEducation,Percent,100
dcid:country/UGA,2015,63,dcid:Count_Student_PrimaryEducation_AsAFractionOf_Count_ClassRoom_PrimaryEducation,Percent,100
dcid:country/UGA,2016,54,dcid:Count_Student_PrimaryEducation_AsAFractionOf_Count_ClassRoom_PrimaryEducation,Percent,100
dcid:country/UGA,2012,1252000,dcid:Count_Student_SecondaryEducation,,
dcid:country/UGA,2013,1362000,dcid:Count_Student_SecondaryEducation,,
dcid:country/UGA,2016,1457000,dcid:Count_Student_SecondaryEducation,,
dcid:country/UGA,2012,671000,dcid:Count_Student_Male_SecondaryEducation,,
dcid:country/UGA,2013,727000,dcid:Count_Student_Male_SecondaryEducation,,
dcid:country/UGA,2014,738000,dcid:Count_Student_Male_SecondaryEducation,,
dcid:country/UGA,2015,675000,dcid:Count_Student_Male_SecondaryEducation,,
dcid:country/UGA,2016,765000,dcid:Count_Student_Male_SecondaryEducation,,
dcid:country/UGA,2012,581000,dcid:Count_Student_Female_SecondaryEducation,,
dcid:country/UGA,2013,635000,dcid:Count_Student_Female_SecondaryEducation,,
dcid:country/UGA,2014,653000,dcid:Count_Student_Female_SecondaryEducation,,
dcid:country/UGA,2015,609000,dcid:Count_Student_Female_SecondaryEducation,,
dcid:country/UGA,2016,692000,dcid:Count_Student_Female_SecondaryEducation,,
dcid:country/UGA,2012,2612,dcid:Count_School_SecondaryEducation,,
dcid:country/UGA,2013,2838,dcid:Count_School_SecondaryEducation,,
dcid:country/UGA,2014,2950,dcid:Count_School_SecondaryEducation,,
dcid:country/UGA,2015,2695,dcid:Count_School_SecondaryEducation,,
dcid:country/UGA,2016,3070,dcid:Count_School_SecondaryEducation,,
dcid:country/UGA,2012,55270,dcid:Count_Teacher_SecondaryEducation,,
dcid:country/UGA,2013,61505,dcid:Count_Teacher_SecondaryEducation,,
dcid:country/UGA,2014,63957,dcid:Count_Teacher_SecondaryEducation,,
dcid:country/UGA,2015,58051,dcid:Count_Teacher_SecondaryEducation,,
dcid:country/UGA,2016,66542,dcid:Count_Teacher_SecondaryEducation,,
dcid:country/UGA,2012,25076,dcid:Count_ClassRoom_SecondaryEducation,,
dcid:country/UGA,2013,28242,dcid:Count_ClassRoom_SecondaryEducation,,
