key,p1,v1,p2,v2,p3,v3,p4,v4,p5,v5
,,,,,,,,,,
Code,measuredProperty,count,populationType,Person,,,,,,
males,gender,Male,,,,,,,,
females,gender,Female,,,,,,,,
total,,,,,,,,,,
in urban areas,placeOfResidenceClassification,Urban,,,,,,,,
in rural areas,placeOfResidenceClassification,Rural,,,,,,,,

<<<<<<< HEAD
0-2,age,[0 2 Years],,,,,,,,
3-6,age,[3 6 Years],,,,,,,,
7-12,age,[7 12 Years],,,,,,,,
13-15,age,[13 15 Years],,,,,,,,
16-19,age,[16 19 Years],,,,,,,,
20-24,age,[20 24 Years],,,,,,,,
25-34,age,[25 34 Years],,,,,,,,
35-44,age,[35 44 Years],,,,,,,,
45-54,age,[45 54 Years],,,,,,,,
55-64,age,[55 64 Years],,,,,,,,
65 and more,age,[65 - Years],,,,,,,,
=======
0-2,age,Years0To2,,,,,,,,
3-6,age,Years3To6,,,,,,,,
7-12,age,Years7To12,,,,,,,,
13-15,age,Years13To15,,,,,,,,
16-19,age,Years16To19,,,,,,,,
20-24,age,Years20To24,,,,,,,,
25-34,age,Years25To34,,,,,,,,
35-44,age,Years35To44,,,,,,,,
45-54,age,Years45To54,,,,,,,,
55-64,age,Years55To64,,,,,,,,
65 and more,age,Years65Onwards,,,,,,,,
>>>>>>> 55594a09 (Added auto refresh for poland)
,,,,,,,,,,
,,,,,,,,,,
POLAND,observationAbout,country/POL,#Header,observationAbout,,,,,,
DOLNOŚLĄSKIE,observationAbout,wikidataId/Q54150,#Header,observationAbout,,,,,,
KUJAWSKO-POMORSKIE,observationAbout,nuts/PL61,#Header,observationAbout,,,,,,
LUBELSKIE,observationAbout,wikidataId/Q54155,#Header,observationAbout,,,,,,
LUBUSKIE,observationAbout,wikidataId/Q54157,#Header,observationAbout,,,,,,
ŁÓDZKIE,observationAbout,nuts/PL71,#Header,observationAbout,,,,,,
<<<<<<< HEAD
MAŁOPOLSKIE,observationAbout,nuts/PL21,#Header,observationAbout,,,,,,
=======
MAŁOPOLSKIE,observationAbout,nuts/PL213,#Header,observationAbout,,,,,,
>>>>>>> 55594a09 (Added auto refresh for poland)
MAZOWIECKIE,observationAbout,wikidataId/Q54169,#Header,observationAbout,,,,,,
OPOLSKIE,observationAbout,wikidataId/Q54171,#Header,observationAbout,,,,,,
PODKARPACKIE,observationAbout,wikidataId/Q54175,#Header,observationAbout,,,,,,
PODLASKIE,observationAbout,wikidataId/Q54177,#Header,observationAbout,,,,,,
<<<<<<< HEAD
POMORSKIE,observationAbout,wikidataId/Q54180,#Header,observationAbout,,,,,,
ŚLĄSKIE,observationAbout,wikidataId/Q54181,#Header,observationAbout,,,,,,
=======
POMORSKIE,observationAbout,wikidataId/Q1288480,#Header,observationAbout,,,,,,
ŚLĄSKIE,observationAbout,wikidataId/Q588,#Header,observationAbout,,,,,,
>>>>>>> 55594a09 (Added auto refresh for poland)
ŚWIĘTOKRZYSKIE,observationAbout,nuts/PL72,#Header,observationAbout,,,,,,
WARMIŃSKO-MAZURSKIE,observationAbout,wikidataId/Q54184,#Header,observationAbout,,,,,,
WIELKOPOLSKIE,observationAbout,wikidataId/Q54187,#Header,observationAbout,,,,,,
ZACHODNIOPOMORSKIE,observationAbout,wikidataId/Q54188,#Header,observationAbout,,,,,,
,,,,,,,,,,
2003,observationDate,2003,value,{Number},,,,,,
2004,observationDate,2004,value,{Number},,,,,,
2005,observationDate,2005,value,{Number},,,,,,
2006,observationDate,2006,value,{Number},,,,,,
2007,observationDate,2007,value,{Number},,,,,,
2008,observationDate,2008,value,{Number},,,,,,
2009,observationDate,2009,value,{Number},,,,,,
2010,observationDate,2010,value,{Number},,,,,,
2011,observationDate,2011,value,{Number},,,,,,
2012,observationDate,2012,value,{Number},,,,,,
2013,observationDate,2013,value,{Number},,,,,,
2014,observationDate,2014,value,{Number},,,,,,
2015,observationDate,2015,value,{Number},,,,,,
2016,observationDate,2016,value,{Number},,,,,,
2017,observationDate,2017,value,{Number},,,,,,
2018,observationDate,2018,value,{Number},,,,,,
2019,observationDate,2019,value,{Number},,,,,,
2020,observationDate,2020,value,{Number},,,,,,
2021,observationDate,2021,value,{Number},,,,,,
2022,observationDate,2022,value,{Number},,,,,,
2023,observationDate,2023,value,{Number},,,,,,
2024,observationDate,2024,value,{Number},,,,,,
2025,observationDate,2025,value,{Number},,,,,,
2026,observationDate,2026,value,{Number},,,,,,
2027,observationDate,2027,value,{Number},,,,,,
2028,observationDate,2028,value,{Number},,,,,,
2029,observationDate,2029,value,{Number},,,,,,
2030,observationDate,2030,value,{Number},,,,,,
