statvar,dcid
Count_Student_Citizen_ScienceOrEngineeringOrHealth_MastersDegree_NotHispanicOrLatino_Male_NativeHawaiianOrOtherPacificIslanderAlone_AsAFractionOf_Count_Student_ScienceOrEngineeringOrHealth_MastersDegree,Percent_Male_In_Count_Student_Citizen_ScienceOrEngineeringOrHealth_MastersDegree_NotHispanicOrLatino_NativeHawaiianOrOtherPacificIslanderAlone
Count_Student_Citizen_ScienceOrEngineeringOrHealth_DoctorateDegree_NotHispanicOrLatino_Female_TwoOrMoreRaces_AsAFractionOf_Count_Student_ScienceOrEngineeringOrHealth_DoctorateDegree,Percent_Female_In_Count_Student_Citizen_ScienceOrEngineeringOrHealth_DoctorateDegree_NotHispanicOrLatino_TwoOrMoreRaces
Count_Student_Citizen_ScienceOrEngineeringOrHealth_MastersDegreeOrDoctorateDegree_NotHispanicOrLatino_NativeHawaiianOrOtherPacificIslanderAlone_AsAFractionOf_Count_Student_ScienceOrEngineeringOrHealth_MastersDegreeOrDoctorateDegree,Percent_Count_In_Student_Citizen_ScienceOrEngineeringOrHealth_MastersDegreeOrDoctorateDegree_NotHispanicOrLatino_NativeHawaiianOrOtherPacificIslanderAlone
Count_Student_Citizen_ScienceOrEngineeringOrHealth_MastersDegree_NotHispanicOrLatino_NativeHawaiianOrOtherPacificIslanderAlone_AsAFractionOf_Count_Student_ScienceOrEngineeringOrHealth_MastersDegree,Percent_Count_In_Student_Citizen_ScienceOrEngineeringOrHealth_MastersDegree_NotHispanicOrLatino_NativeHawaiianOrOtherPacificIslanderAlone      
Count_Student_Citizen_ScienceOrEngineeringOrHealth_DoctorateDegree_NotHispanicOrLatino_NativeHawaiianOrOtherPacificIslanderAlone_AsAFractionOf_Count_Student_ScienceOrEngineeringOrHealth_DoctorateDegree,Percent_Count_In_Student_Citizen_ScienceOrEngineeringOrHealth_DoctorateDegree_NotHispanicOrLatino_NativeHawaiianOrOtherPacificIslanderAlone
Count_Person_Citizen_EducationalAttainmentDoctorateDegree_ScienceOrEngineeringOrHealth_NotHispanicOrLatino_PostDoctoralAppointeeOccupation_NativeHawaiianOrOtherPacificIslanderAlone_AsAFractionOf_Count_Person_EducationalAttainmentDoctorateDegree_ScienceOrEngineeringOrHealth_PostDoctoralAppointeeOccupation,Percent_Count_In_Person_Citizen_EducationalAttainmentDoctorateDegree_ScienceOrEngineeringOrHealth_NotHispanicOrLatino_PostDoctoralAppointeeOccupation_NativeHawaiianOrOtherPacificIslanderAlone
Count_Student_Citizen_ScienceOrEngineeringOrHealth_MastersDegreeOrDoctorateDegree_NotHispanicOrLatino_WhiteAlone_AsAFractionOf_Count_Student_ScienceOrEngineeringOrHealth_MastersDegreeOrDoctorateDegree,Percent_Count_In_Student_Citizen_ScienceOrEngineeringOrHealth_MastersDegreeOrDoctorateDegree_NotHispanicOrLatino_WhiteAlone
Count_Student_Citizen_ScienceOrEngineeringOrHealth_MastersDegree_NotHispanicOrLatino_WhiteAlone_AsAFractionOf_Count_Student_ScienceOrEngineeringOrHealth_MastersDegree,Percent_Count_In_Student_Citizen_ScienceOrEngineeringOrHealth_MastersDegree_NotHispanicOrLatino_WhiteAlone
Count_Student_Citizen_ScienceOrEngineeringOrHealth_DoctorateDegree_NotHispanicOrLatino_WhiteAlone_AsAFractionOf_Count_Student_ScienceOrEngineeringOrHealth_DoctorateDegree,Percent_Count_In_Student_Citizen_ScienceOrEngineeringOrHealth_DoctorateDegree_NotHispanicOrLatino_WhiteAlone
Count_Person_Citizen_EducationalAttainmentDoctorateDegree_ScienceOrEngineeringOrHealth_NotHispanicOrLatino_PostDoctoralAppointeeOccupation_WhiteAlone_AsAFractionOf_Count_Person_EducationalAttainmentDoctorateDegree_ScienceOrEngineeringOrHealth_PostDoctoralAppointeeOccupation,Percent_Count_In_Person_Citizen_EducationalAttainmentDoctorateDegree_ScienceOrEngineeringOrHealth_NotHispanicOrLatino_PostDoctoralAppointeeOccupation_WhiteAlone
Count_Student_Citizen_ScienceOrEngineeringOrHealth_MastersDegreeOrDoctorateDegree_NotHispanicOrLatino_TwoOrMoreRaces_AsAFractionOf_Count_Student_ScienceOrEngineeringOrHealth_MastersDegreeOrDoctorateDegree,Percent_Count_In_Student_Citizen_ScienceOrEngineeringOrHealth_MastersDegreeOrDoctorateDegree_NotHispanicOrLatino_TwoOrMoreRaces
Count_Student_Citizen_ScienceOrEngineeringOrHealth_MastersDegree_NotHispanicOrLatino_TwoOrMoreRaces_AsAFractionOf_Count_Student_ScienceOrEngineeringOrHealth_MastersDegree,Percent_Count_In_Student_Citizen_ScienceOrEngineeringOrHealth_MastersDegree_NotHispanicOrLatino_TwoOrMoreRaces
Count_Student_Citizen_ScienceOrEngineeringOrHealth_DoctorateDegree_NotHispanicOrLatino_TwoOrMoreRaces_AsAFractionOf_Count_Student_ScienceOrEngineeringOrHealth_DoctorateDegree,Percent_Count_In_Student_Citizen_ScienceOrEngineeringOrHealth_DoctorateDegree_NotHispanicOrLatino_TwoOrMoreRaces
Count_Person_Citizen_EducationalAttainmentDoctorateDegree_ScienceOrEngineeringOrHealth_NotHispanicOrLatino_PostDoctoralAppointeeOccupation_TwoOrMoreRaces_AsAFractionOf_Count_Person_EducationalAttainmentDoctorateDegree_ScienceOrEngineeringOrHealth_PostDoctoralAppointeeOccupation,Percent_Count_In_Person_Citizen_EducationalAttainmentDoctorateDegree_ScienceOrEngineeringOrHealth_NotHispanicOrLatino_PostDoctoralAppointeeOccupation_TwoOrMoreRaces
Count_Student_Citizen_ScienceOrEngineeringOrHealth_MastersDegreeOrDoctorateDegree_UnknownEthnicity_UnknownRace_AsAFractionOf_Count_Student_ScienceOrEngineeringOrHealth_MastersDegreeOrDoctorateDegree,Percent_Count_In_Student_Citizen_ScienceOrEngineeringOrHealth_MastersDegreeOrDoctorateDegree_UnknownEthnicity_UnknownRace
Count_Student_Citizen_ScienceOrEngineeringOrHealth_MastersDegree_UnknownEthnicity_UnknownRace_AsAFractionOf_Count_Student_ScienceOrEngineeringOrHealth_MastersDegree,Percent_Count_In_Student_Citizen_ScienceOrEngineeringOrHealth_MastersDegree_UnknownEthnicity_UnknownRace
Count_Student_Citizen_ScienceOrEngineeringOrHealth_DoctorateDegree_UnknownEthnicity_UnknownRace_AsAFractionOf_Count_Student_ScienceOrEngineeringOrHealth_DoctorateDegree,Percent_Count_In_Student_Citizen_ScienceOrEngineeringOrHealth_DoctorateDegree_UnknownEthnicity_UnknownRace
Count_Person_Citizen_EducationalAttainmentDoctorateDegree_ScienceOrEngineeringOrHealth_UnknownEthnicity_PostDoctoralAppointeeOccupation_UnknownRace_AsAFractionOf_Count_Person_EducationalAttainmentDoctorateDegree_ScienceOrEngineeringOrHealth_PostDoctoralAppointeeOccupation,Percent_Count_In_Person_Citizen_EducationalAttainmentDoctorateDegree_ScienceOrEngineeringOrHealth_UnknownEthnicity_PostDoctoralAppointeeOccupation_UnknownRace
Count_Student_VisaHolder_ScienceOrEngineeringOrHealth_MastersDegreeOrDoctorateDegree_AsAFractionOf_Count_Student_ScienceOrEngineeringOrHealth_MastersDegreeOrDoctorateDegree,Percent_Count_In_Student_VisaHolder_ScienceOrEngineeringOrHealth_MastersDegreeOrDoctorateDegree
Count_Student_VisaHolder_ScienceOrEngineeringOrHealth_MastersDegree_AsAFractionOf_Count_Student_ScienceOrEngineeringOrHealth_MastersDegree,Percent_Count_In_Student_VisaHolder_ScienceOrEngineeringOrHealth_MastersDegree
Count_Student_VisaHolder_ScienceOrEngineeringOrHealth_DoctorateDegree_AsAFractionOf_Count_Student_ScienceOrEngineeringOrHealth_DoctorateDegree,Percent_Count_In_Student_VisaHolder_ScienceOrEngineeringOrHealth_DoctorateDegree
Count_Student_Citizen_ScienceOrEngineeringOrHealth_MastersDegreeOrDoctorateDegree_Male_AsAFractionOf_Count_Student_ScienceOrEngineeringOrHealth_MastersDegreeOrDoctorateDegree,Percent_Male_In_Count_Student_Citizen_ScienceOrEngineeringOrHealth_MastersDegreeOrDoctorateDegree
Count_Student_Citizen_ScienceOrEngineeringOrHealth_MastersDegree_Male_AsAFractionOf_Count_Student_ScienceOrEngineeringOrHealth_MastersDegree,Percent_Male_In_Count_Student_Citizen_ScienceOrEngineeringOrHealth_MastersDegree
Count_Student_Citizen_ScienceOrEngineeringOrHealth_DoctorateDegree_Male_AsAFractionOf_Count_Student_ScienceOrEngineeringOrHealth_DoctorateDegree,Percent_Male_In_Count_Student_Citizen_ScienceOrEngineeringOrHealth_DoctorateDegree
Count_Student_Citizen_ScienceOrEngineeringOrHealth_MastersDegreeOrDoctorateDegree_HispanicOrLatino_Male_AsAFractionOf_Count_Student_ScienceOrEngineeringOrHealth_MastersDegreeOrDoctorateDegree,Percent_Male_In_Count_Student_Citizen_ScienceOrEngineeringOrHealth_MastersDegreeOrDoctorateDegree_HispanicOrLatino
Count_Student_Citizen_ScienceOrEngineeringOrHealth_MastersDegree_HispanicOrLatino_Male_AsAFractionOf_Count_Student_ScienceOrEngineeringOrHealth_MastersDegree,Percent_Male_In_Count_Student_Citizen_ScienceOrEngineeringOrHealth_MastersDegree_HispanicOrLatino
Count_Student_Citizen_ScienceOrEngineeringOrHealth_DoctorateDegree_HispanicOrLatino_Male_AsAFractionOf_Count_Student_ScienceOrEngineeringOrHealth_DoctorateDegree,Percent_Male_In_Count_Student_Citizen_ScienceOrEngineeringOrHealth_DoctorateDegree_HispanicOrLatino
Count_Person_Citizen_EducationalAttainmentDoctorateDegree_ScienceOrEngineeringOrHealth_HispanicOrLatino_Male_PostDoctoralAppointeeOccupation_AsAFractionOf_Count_Person_EducationalAttainmentDoctorateDegree_ScienceOrEngineeringOrHealth_PostDoctoralAppointeeOccupation,Percent_Male_In_Count_Person_Citizen_EducationalAttainmentDoctorateDegree_ScienceOrEngineeringOrHealth_HispanicOrLatino_PostDoctoralAppointeeOccupation
Count_Student_Citizen_ScienceOrEngineeringOrHealth_MastersDegreeOrDoctorateDegree_NotHispanicOrLatino_Male_AmericanIndianOrAlaskaNativeAlone_AsAFractionOf_Count_Student_ScienceOrEngineeringOrHealth_MastersDegreeOrDoctorateDegree,Percent_Male_In_Count_Student_Citizen_ScienceOrEngineeringOrHealth_MastersDegreeOrDoctorateDegree_NotHispanicOrLatino_AmericanIndianOrAlaskaNativeAlone
Count_Student_Citizen_ScienceOrEngineeringOrHealth_MastersDegree_NotHispanicOrLatino_Male_AmericanIndianOrAlaskaNativeAlone_AsAFractionOf_Count_Student_ScienceOrEngineeringOrHealth_MastersDegree,Percent_Male_In_Count_Student_Citizen_ScienceOrEngineeringOrHealth_MastersDegree_NotHispanicOrLatino_AmericanIndianOrAlaskaNativeAlone
Count_Student_Citizen_ScienceOrEngineeringOrHealth_DoctorateDegree_NotHispanicOrLatino_Male_AmericanIndianOrAlaskaNativeAlone_AsAFractionOf_Count_Student_ScienceOrEngineeringOrHealth_DoctorateDegree,Percent_Male_In_Count_Student_Citizen_ScienceOrEngineeringOrHealth_DoctorateDegree_NotHispanicOrLatino_AmericanIndianOrAlaskaNativeAlone
Count_Person_Citizen_EducationalAttainmentDoctorateDegree_ScienceOrEngineeringOrHealth_NotHispanicOrLatino_Male_PostDoctoralAppointeeOccupation_AmericanIndianOrAlaskaNativeAlone_AsAFractionOf_Count_Person_EducationalAttainmentDoctorateDegree_ScienceOrEngineeringOrHealth_PostDoctoralAppointeeOccupation,Percent_Male_In_Count_Person_Citizen_EducationalAttainmentDoctorateDegree_ScienceOrEngineeringOrHealth_NotHispanicOrLatino_PostDoctoralAppointeeOccupation_AmericanIndianOrAlaskaNativeAlone
