observationAbout,observationDate,value,variableMeasured,unit,scalingFactor,#input
dcid:Earth,2009,50826000000,dcid:Annual_Exports_EconomicActivity_Country/USA_NAICS/111,USDollar,,/usr/local/google/home/kuru/DC_July07_2024/data/statvar_imports/testdata/sample_input/US_ITA_data.csv:2:4
dcid:Earth,2010,60246000000,dcid:Annual_Exports_EconomicActivity_Country/USA_NAICS/111,USDollar,,/usr/local/google/home/kuru/DC_July07_2024/data/statvar_imports/testdata/sample_input/US_ITA_data.csv:2:5
dcid:Earth,2011,71989000000,dcid:Annual_Exports_EconomicActivity_Country/USA_NAICS/111,USDollar,,/usr/local/google/home/kuru/DC_July07_2024/data/statvar_imports/testdata/sample_input/US_ITA_data.csv:2:6
dcid:Earth,2012,71078000000,dcid:Annual_Exports_EconomicActivity_Country/USA_NAICS/111,USDollar,,/usr/local/google/home/kuru/DC_July07_2024/data/statvar_imports/testdata/sample_input/US_ITA_data.csv:2:7
dcid:Earth,2013,68935000000,dcid:Annual_Exports_EconomicActivity_Country/USA_NAICS/111,USDollar,,/usr/local/google/home/kuru/DC_July07_2024/data/statvar_imports/testdata/sample_input/US_ITA_data.csv:2:8
dcid:Earth,2014,72929000000,dcid:Annual_Exports_EconomicActivity_Country/USA_NAICS/111,USDollar,,/usr/local/google/home/kuru/DC_July07_2024/data/statvar_imports/testdata/sample_input/US_ITA_data.csv:2:9
dcid:Earth,2015,62912000000,dcid:Annual_Exports_EconomicActivity_Country/USA_NAICS/111,USDollar,,/usr/local/google/home/kuru/DC_July07_2024/data/statvar_imports/testdata/sample_input/US_ITA_data.csv:2:10
dcid:Earth,2016,67578000000,dcid:Annual_Exports_EconomicActivity_Country/USA_NAICS/111,USDollar,,/usr/local/google/home/kuru/DC_July07_2024/data/statvar_imports/testdata/sample_input/US_ITA_data.csv:2:11
dcid:Earth,2017,68726000000,dcid:Annual_Exports_EconomicActivity_Country/USA_NAICS/111,USDollar,,/usr/local/google/home/kuru/DC_July07_2024/data/statvar_imports/testdata/sample_input/US_ITA_data.csv:2:12
dcid:Earth,2018,67116000000,dcid:Annual_Exports_EconomicActivity_Country/USA_NAICS/111,USDollar,,/usr/local/google/home/kuru/DC_July07_2024/data/statvar_imports/testdata/sample_input/US_ITA_data.csv:2:13
dcid:Earth,2019,64409000000,dcid:Annual_Exports_EconomicActivity_Country/USA_NAICS/111,USDollar,,/usr/local/google/home/kuru/DC_July07_2024/data/statvar_imports/testdata/sample_input/US_ITA_data.csv:2:14
dcid:Earth,2020,72733000000,dcid:Annual_Exports_EconomicActivity_Country/USA_NAICS/111,USDollar,,/usr/local/google/home/kuru/DC_July07_2024/data/statvar_imports/testdata/sample_input/US_ITA_data.csv:2:15
