State or otherjurisdiction,1968 (a),1970 (a),1972,1976 (a),1979,1980,1981
Federal (FLSA),$1.15 & $1.60,$1.30 & $1.60,$1.60,$2.20 & $2.30,$2.90,$3.10,$3.35
Alabama,...,...,...,...,...,...,...
Alaska,2.10,2.10,2.10,2.80,3.40,3.60,3.85
Arizona,18.72 - 26.40/wk(b),18.72 - 26.40/wk(b),18.72-26.40/wk(b),...,...,...,...
Arkansas,1.25/day(b),1.10,1.20,1.90,2.30,2.55,2.70
California,1.65(b),1.65(b),1.65(b),2.00,2.90,2.90,3.35
Colorado,1.00 - 1.25(b),1.00 - 1.25(b),1.00 - 1.25(b),1.00 - 1.25(b),1.90,1.90,1.90
Connecticut,1.40,1.60,1.85,2.21 & 2.31,2.91,3.12,3.37
Delaware,1.25,1.25,1.60,2.00,2.00,2.00,2.00
Florida,...,...,...,...,...,...,$12.00
Georgia,...,...,1.25,1.25,1.23,1.25,$5.15
Hawaii,1.25,1.60,1.60,2.40,2.65,2.90,3.10
Idaho,1.15,1.25,1.40,1.60,2.30,2.30,2.30
Illinois,...,...,1.40,2.10,2.30,2.30,2.30
Indiana,1.15,1.25,1.25,1.25,2.00,2.00,2.00
Iowa,...,...,...,...,...,...,...
Kansas,...,...,...,...,1.60,1.60,1.60
Kentucky,.65 - .75(b),.65 - .75(b),.65 - .75(b),1.60,2.00,2.15,2.15
Louisiana,...,...,...,...,...,...,...
Maine,1.40,1.60,1.40 - 1.80,2.30,2.90,3.10,3.35
Maryland,1.00 & 1.15,1.30,1.60,2.20 & 2.30,2.90,3.10,3.35
Massachusetts,1.60,1.60,1.75,2.10,2.90,3.10,3.35
Michigan,1.25,1.25,1.60,2.20,2.90,3.10,3.35
Minnesota,.70 - 1.15(b),.70 - 1.15(b),.75 - 1.60,1.80,2.30,2.90,3.10
Mississippi,...,...,...,...,...,...,...
Missouri,...,...,...,...,...,...,...
Montana,...,...,1.60,1.80,2.00,2.00,2.00
Nebraska,1.00,1.00,1.00,1.60,1.60,1.60,1.60
Nevada,1.25,1.30,1.60,2.20 & 2.30,2.75,2.75,2.75
New Hampshire,1.40,1.45 & 1.60,1.60,2.20 - 2.30,2.90,3.10,3.35
New Jersey,1.40,1.50,1.50,2.20,2.50,3.10,3.35
New Mexico,1.15 - 1.40,1.30 - 1.60,1.30 - 1.60,2.00,2.30,2.65,2.90
New York,1.60,1.60,1.85,2.30,2.90,3.10,3.35
North Carolina,1.00,1.25,1.45,2.00,2.50,2.75,2.90
North Dakota,1.00 - 1.25,1.00 - 1.45,1.00 - 1.45,2.00 - 2.30,2.10 - 2.30,2.60 - 3.10,2.80 - 3.10
Ohio,.75 - 1.25(b),.75 - 1.25(b),.75 - 1.25(b),1.60,2.30,2.30,2.30
Oklahoma,1.00,1.00,1.40,1.80,2.00,2.00,3.10
Oregon,1.25,1.25,1.25`,2.30,2.30,2.90,3.10
Pennsylvania,1.15,1.30,1.60,2.20,2.90,3.10,3.35
Rhode Island,1.40,1.60,1.60,2.30,2.30,2.65,2.90
South Carolina,...,...,...,...,...,...,...
South Dakota,17.00 - 20.00/wk,1.00,1.00,2.00,2.30,2.30,2.30
Tennessee,...,...,...,...,...,...,...
Texas,...,...,1.40,1.40,1.40,1.40,1.40
Utah,1.00 - 1.15(b),1.00 - 1.15(b),1.20 - 1.35(b),1.55 - 1.70(b),2.20 - 2.45(b),2.35 - 2.60(b),2.50 - 2.75(b)
Vermont,1.40,1.60,1.60,2.30,2.90,3.10,3.35
Virginia,...,...,...,2.00,2.35,2.35,2.65
Washington,1.60,1.60,1.60,2.20 - 2.30,2.30,2.30,2.30
West Virginia,1.00,1.00,1.20,2.00,2.20,2.20,2.75
