key,prop,val,,,,,,,,
srcStateName,observationAbout,{Data},,,,,,,,
Ailments reported,populationType,MedicalConditionIncident,measurementDenominator,Count_Person,value,{Number},statType,measuredValue,#Multiply,0.00001
Estimated number,#ignore,estimdated number,value,1,,,,,,
Sample number,#ignore,sample number,value,1,,,,,,
futureYear,observationDate,{Number},,,,,,,,
srcYear,#ignore,considered futureYear has observationDate,value,1,,,,,,
YearCode,#ignore,considered futureYear has observationDate,value,1,,,,,,
Year,#ignore,considered futureYear has observationDate,value,1,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Rural,placeOfResidenceClassification,Rural,,,,,,,,
Urban,placeOfResidenceClassification,Urban,,,,,,,,
Rural + Urban,placeOfResidenceClassification,,,,,,,,,
Female,gender,Female,,,,,,,,
Male,gender,Male,,,,,,,,
Blood diseases,medicalCondition,BloodDisease,,,,,,,,
Cancers,medicalCondition,Cancer,,,,,,,,
Cardio-vascular,medicalCondition,CardiovascularDisease,,,,,,,,
Ear,medicalCondition,EarCondition,,,,,,,,
"Endocrine, metabolic",medicalCondition,EndocrineMetabolicCondition,,,,,,,,
Eye,medicalCondition,EyeCondition,,,,,,,,
Gastro-intestinal,medicalCondition,GastroIntestinalCondition,,,,,,,,
Genito-Urinary,medicalCondition,GenitoUrinaryCondition,,,,,,,,
Infection,medicalCondition,Infection,,,,,,,,
Injuries,medicalCondition,Injury,,,,,,,,
Musculo-skeletal,medicalCondition,MusculoSkeletalCondition,,,,,,,,
Obstetric,medicalCondition,ObstetricCondition,,,,,,,,
Other,medicalCondition,NSSHealthOtherCondition,,,,,,,,
Pshychiatric & Neurological,medicalCondition,PsychiatricNeurologicalCondition,,,,,,,,
Respiratory,medicalCondition,RespiratoryDisease,,,,,,,,
Skin,medicalCondition,SkinDisease,,,,,,,,
,,,,,,,,,,
0-4,age,[0 4 Years],,,,,,,,
15-29,age,[15 29 Years],,,,,,,,,,
30-44,age,[30 44 Years],,,,,,,,,,
45-59,age,[45 59 Years],,,,,,,,,,
5-14,age,[5 14 Years],,,,,,,,,,
,,
60-69,age,[60 69 Years],,,,,,,,,,
70+,age,[70 - Years],,,,,,,,,,
