key,,,,,,,,,,,,
FIPS,#Format,observationAbout=geoId/{Data:0>5},,,,,,,,,,
"Age-Adjusted Death Rate - deaths per 100,000",value,{Number},measuredProperty,count,populationType,MortalityEvent,measurementDenominator,"-populationType, +populationType=Person",measurementQualifier,AgeAdjusted,unit,Per100000Persons
Age-Adjusted Lower 95% Confidence Interval,value,{Number},measuredProperty,confidenceIntervalLowerLimit,populationType,MortalityEvent,measurementDenominator,"-populationType, +populationType=Person",measurementQualifier,AgeAdjusted,unit,Per100000Persons
Age-Adjusted Upper 95% Confidence Interval,value,{Number},measuredProperty,confidenceIntervalUpperLimit,populationType,MortalityEvent,measurementDenominator,"-populationType, +populationType=Person",measurementQualifier,AgeAdjusted,unit,Per100000Persons
Rate Ratio Compared to White (NH),value,{Number},measuredProperty,count,populationType,MortalityEvent,measurementDenominator,",+populationType=Person,+race=White,+ethnicity=NotHispanicOrLatino",#Eval,value=f'{Data}'.strip('*'),#Filter,Allow=value != 'NA'
Rate Ratio Lower 95% Confidence Interval,value,{Number},measuredProperty,confidenceIntervalLowerLimit,populationType,MortalityEvent,measurementDenominator,",+populationType=Person,+race=White,+ethnicity=NotHispanicOrLatino",,,,
Rate Ratio Upper 95% Confidence Interval,value,{Number},measuredProperty,confidenceIntervalUpperLimit,populationType,MortalityEvent,measurementDenominator,",+populationType=Person,+race=White,+ethnicity=NotHispanicOrLatino",,,,
Average Annual Count,value,{Number},measuredProperty,count,populationType,MortalityEvent,measurementQualifier,Annual,statType,meanValue,,
Recent 5-Year Trend in Death Rates,measuredProperty,count,populationType,MortalityEvent,measurementDenominator,"-populationType, +populationType=Person",observationPeriod,P5Y,#Filter,Allow=int{value} >= 0,,
Recent 5-Year Lower 95% Confidence Interval,measuredProperty,confidenceIntervalLowerLimit,populationType,MortalityEvent,measurementDenominator,"-populationType, +populationType=Person",observationPeriod,P5Y,#Filter,Allow=int{value} >= 0,,
Recent 5-Year Upper 95% Confidence Interval,measuredProperty,confidenceIntervalUpperLimit,populationType,MortalityEvent,measurementDenominator,"-populationType, +populationType=Person",observationPeriod,P5Y,#Filter,Allow=int{value} >= 0,,
Period,observationDate,2023,observationPeriod,P4Y,,,,,,,,
Accidents & Adverse Effects,causeOfDeath,AccidentsAndAdverseEffects,,,,,,,,,,
Influenza,causeOfDeath,Influenza,,,,,,,,,,
Alzheimer's Disease,causeOfDeath,Alzheimers,,,,,,,,,,
Cerebrovascular Diseases,causeOfDeath,CerebrovascularDiseases,,,,,,,,,,
Cancer,causeOfDeath,Cancer,,,,,,,,,,
Chronic Lower Respiratory Disease,causeOfDeath,ChronicLowerRespiratoryDisease,,,,,,,,,,
Chronic Liver Disease & Cirrohosis,causeOfDeath,ChronicLiverDiseaseAndCirrhosis,,,,,,,,,,
Diabetes Mellitus,causeOfDeath,DiabetesMellitus,,,,,,,,,,
Heart Disease,causeOfDeath,HeartDisease,,,,,,,,,,
Homicide & Legal Intervention,causeOfDeath,HomicideAndLegalIntervention,,,,,,,,,,
Kidney Disease (Neph. & Nephrosis),causeOfDeath,KidneyDiseaseNephritisAndNephrosis,,,,,,,,,,
Pneumonia,causeOfDeath,Pneumonia,,,,,,,,,,
Septicemia,causeOfDeath,Septicemia,,,,,,,,,,
Suicide & Self-Inflicted Injury,causeOfDeath,SuicideAndSelfInflictedInjury,,,,,,,,,,
Female,gender,Female,,,,,,,,,,
Male,gender,Male,,,,,,,,,,
White (Non-Hispanic/Latino),race,White,ethnicity,NotHispanicOrLatino,,,,,,,,
Black or African American (Non-Hispanic/Latino),race,BlackOrAfricanAmericanAlone,ethnicity,NotHispanicOrLatino,,,,,,,,
American Indian or Alaska Native (Non-Hispanic/Latino),race,AmericanIndianOrAlaskaNative,ethnicity,NotHispanicOrLatino,,,,,,,,
"Asian, Native Hawaiian or Pacific Islander (Non-Hispanic/Latino)",race,AsianAndNativeHawaiianOrOtherPacificIslanderAlone,ethnicity,NotHispanicOrLatino,,,,,,,,
Hispanic or Latino (any race),ethnicity,HispanicOrLatino,,,,,,,,,,
Ages 1-9,age,[1 9 Years],,,,,,,,,,
Ages 1-19,age,[1 19 Years],,,,,,,,,,
Ages 10-19,age,[10 19 Years],,,,,,,,,,
Ages 20-39,age,[20 39 Years],,,,,,,,,,
Ages 40-64,age,[40 64 Years],,,,,,,,,,
Ages 65+,age,[65 - Years],,,,,,,,,,
Ages 65-74,age,[65 74 Years],,,,,,,,,,
Ages 75-84,age,[75 84 Years],,,,,,,,,,
Ages 85+,age,[85 - Years],,,,,,,,,,
Age <1,age,[- 1 Year],,,,,,,,,,
Rural,placeOfResidenceClassification,Rural,,,,,,,,,,
Urban,placeOfResidenceClassification,Urban,,,,,,,,,,
