key,prop,val,p1,v1,Name1,"""""",Name2,"""""",#End,#value
TIME_PERIOD,observationDate,{Number},,,,,,,,
OBS_VALUE,value,{Number},name,"""{Name1} {Name2}""",,,,,,
ID_LOCATION,observationAbout,{Data},,,,,,,,
FREQ:A,observationPeriod,P1Y,,,,,,,,
KN.N2,#ignore,value seem wrong in source,,,,,,,,
KN.N4,populationType,Household,,,,,Name1,Total number of Households,,
KN.N6,#ignore,value seem wrong in source,,,,,,,,
KN.N7,#ignore,value seem wrong in source,,,,,,,,
KN.N8,#ignore,value seem wrong in source,,,,,,,,
KN.N9,populationType,Person,residenceType,Household,,,Name1,Total number of person in household,,
KN.N10,populationType,Person,residenceType,Household,gender,Female,Name1,Total Females in household,,
KN.N11,populationType,Person,residenceType,Household,gender,Male,Name1,Total Males in Household,,
KN.N12,populationType,Person,,,,,Name1,Total population,,
KN.N13,populationType,Person,,,gender,Female,Name1,Total population Females,,
KN.N14,populationType,Person,,,gender,Male,Name1,Total population Males,,
KN.AN1,placeOfResidenceClassification,Urban,,,,,Name2,Urban,,
KN.AN3,placeOfResidenceClassification,Rural,,,,,Name2,Rural,,
KN.AN2,,,,,,,Name2,"""""",,
