State or otherjurisdiction,Federal (FLSA),Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,District of Columbia,Guam,Puerto Rico,U.S. Virgin Islands
1968 (a),$1.15 & $1.60,...,2.10,18.72 - 26.40/wk(b),1.25/day(b),1.65(b),1.00 - 1.25(b),1.40,1.25,...,...,1.25,1.15,...,1.15,...,...,.65 - .75(b),...,1.40,1.00 & 1.15,1.60,1.25,.70 - 1.15(b),...,...,...,1.00,1.25,1.40,1.40,1.15 - 1.40,1.60,1.00,1.00 - 1.25,.75 - 1.25(b),1.00,1.25,1.15,1.40,...,17.00 - 20.00/wk,...,...,1.00 - 1.15(b),1.40,...,1.60,1.00,1.25 (b),1.20,1.25 - 1.40,1.25,.43 - 1.60,NA
1970 (a),$1.30 & $1.60,...,2.10,18.72 - 26.40/wk(b),1.10,1.65(b),1.00 - 1.25(b),1.60,1.25,...,...,1.60,1.25,...,1.25,...,...,.65 - .75(b),...,1.60,1.30,1.60,1.25,.70 - 1.15(b),...,...,...,1.00,1.30,1.45 & 1.60,1.50,1.30 - 1.60,1.60,1.25,1.00 - 1.45,.75 - 1.25(b),1.00,1.25,1.30,1.60,...,1.00,...,...,1.00 - 1.15(b),1.60,...,1.60,1.00,1.30 (b),1.30,1.60 - 2.00,1.60,.43 - 1.60,NA
1972,$1.60,...,2.10,18.72-26.40/wk(b),1.20,1.65(b),1.00 - 1.25(b),1.85,1.60,...,1.25,1.60,1.40,1.40,1.25,...,...,.65 - .75(b),...,1.40 - 1.80,1.60,1.75,1.60,.75 - 1.60,...,...,1.60,1.00,1.60,1.60,1.50,1.30 - 1.60,1.85,1.45,1.00 - 1.45,.75 - 1.25(b),1.40,1.25`,1.60,1.60,...,1.00,...,1.40,1.20 - 1.35(b),1.60,...,1.60,1.20,1.45 (b),1.50,1.60 - 2.25,1.90,.65 - 1.60,NA
1976 (a),$2.20 & $2.30,...,2.80,...,1.90,2.00,1.00 - 1.25(b),2.21 & 2.31,2.00,...,1.25,2.40,1.60,2.10,1.25,...,...,1.60,...,2.30,2.20 & 2.30,2.10,2.20,1.80,...,...,1.80,1.60,2.20 & 2.30,2.20 - 2.30,2.20,2.00,2.30,2.00,2.00 - 2.30,1.60,1.80,2.30,2.20,2.30,...,2.00,...,1.40,1.55 - 1.70(b),2.30,2.00,2.20 - 2.30,2.00,2.10,1.60,2.25 - 2.75,2.30,.76 - 2.50,NA
1979,$2.90,...,3.40,...,2.30,2.90,1.90,2.91,2.00,...,1.23,2.65,2.30,2.30,2.00,...,1.60,2.00,...,2.90,2.90,2.90,2.90,2.30,...,...,2.00,1.60,2.75,2.90,2.50,2.30,2.90,2.50,2.10 - 2.30,2.30,2.00,2.30,2.90,2.30,...,2.30,...,1.40,2.20 - 2.45(b),2.90,2.35,2.30,2.20,2.80,1.60,2.46 - 3.00,2.90,1.20 - 2.50,2.90
1980,$3.10,...,3.60,...,2.55,2.90,1.90,3.12,2.00,...,1.25,2.90,2.30,2.30,2.00,...,1.60,2.15,...,3.10,3.10,3.10,3.10,2.90,...,...,2.00,1.60,2.75,3.10,3.10,2.65,3.10,2.75,2.60 - 3.10,2.30,2.00,2.90,3.10,2.65,...,2.30,...,1.40,2.35 - 2.60(b),3.10,2.35,2.30,2.20,3.00,1.60,2.50 - 3.50,3.10,1.20 - 2.50,3.10
1981,$3.35,...,3.85,...,2.70,3.35,1.90,3.37,2.00,$12.00,$5.15,3.10,2.30,2.30,2.00,...,1.60,2.15,...,3.35,3.35,3.35,3.35,3.10,...,...,2.00,1.60,2.75,3.35,3.35,2.90,3.35,2.90,2.80 - 3.10,2.30,3.10,3.10,3.35,2.90,...,2.30,...,1.40,2.50 - 2.75(b),3.35,2.65,2.30,2.75,3.25,1.60,2.50 - 3.75,3.35,1.20 - 3.10,3.35
1988,$3.35,...,3.85,...,3.25,3.35,3.00,3.75,3.35,...,3.25,3.85,2.30,3.35,2.00,...,1.60,3.35,...,3.65,3.35,3.65,3.35,3.55 & 3.50(f),...,...,3.35,3.35,3.35,3.55,3.35,3.35,3.35,3.35,2.80 - 3.10,2.30,3.35,3.35,3.35,3.65,...,2.80,...,3.35,2.50 - 2.75(b),3.55,2.65,2.30,3.35,3.35,1.60,3.50 - 4.85,3.35,1.20 - 3.35,3.35
1991,$3.80,...,4.30,...,3.35,4.25,3.00,4.25,3.80,...,3.25,3.85,3.80,3.80,3.35,4.25,2.65,3.80,...,3.85,3.80,3.75,3.35,4.25(g),...,3.80,3.80,3.35,3.80,3.85,3.80,3.35,3.80,3.35,3.40,3.80(g),3.80(g),4.75,3.80,4.25,...,3.80,...,3.35,3.80,3.85,2.65,4.25,3.35,3.80,1.60,3.70 - 4.85,3.80,1.20 - 4.25(i),"4..65(g,,j)"
1992,$4.25,...,4.75,...,3.65,4.25,3.00,4.27,4.25,...,3.25,3.85,4.25,4.25,3.35,4.65,2.65,4.25,...,4.25,4.25,4.25,3.35,4.25(g),...,4.25,4.25(g),4.25,4.25,4.25,4.25,3.35,4.25,3.80,4.25,4.25(g),4.25(g),4.75,4.25,4.45,...,4.25,...,3.35,4.25,4.25,3.65,4.25,3.80,3.80,1.60,3.90 - 5.45,4.25,1.20 - 4.25(i),"4..65(g,,j)"
