key,prop,val,p1,v1,,,,,,,,,,,,,,
Referência,observationAbout,country/BRA,observationDate,{Data},,,,,,,,,,,,,,
Quantidade de pessoas do sexo masculino com idade entre 0 e 4 anos BENEFICIÁRIAS do Programa Bolsa Família inscritas no Cadastro Único,measuredProperty,count,populationType,Person,gender,Male,registeredIn,Brazil_SingleRegistry,benefitsStatus,BolsaFamiliaProgram,age,[0 4 Years],name,"""Number of male people aged between 0 and 4 years old beneficiaries of the Bolsa Família Program registered in the Single Registry""",alternateName,"""Quantidade de pessoas do sexo masculino com idade entre 0 e 4 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único@pt""",value,{Number}
Quantidade de pessoas do sexo masculino com idade entre 5 e 6 anos BENEFICIÁRIAS do Programa Bolsa Família inscritas no Cadastro Único,measuredProperty,count,populationType,Person,gender,Male,registeredIn,Brazil_SingleRegistry,benefitsStatus,BolsaFamiliaProgram,age,[5 6 Years],name,"""Number of male people aged between 5 and 6 years beneficiaries of the Bolsa Família Program registered in the Single Registry""",alternateName,"""Quantidade de pessoas do sexo masculino com idade entre 5 e 6 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único@pt""",value,{Number}
Quantidade de pessoas do sexo masculino com idade entre 7 e 15 anos BENEFICIÁRIAS do Programa Bolsa Família inscritas no Cadastro Único,measuredProperty,count,populationType,Person,gender,Male,registeredIn,Brazil_SingleRegistry,benefitsStatus,BolsaFamiliaProgram,age,[7 15 Years],name,"""Number of male people aged between 7 and 15 years beneficiaries of the Bolsa Família Program registered in the Single Registry""",alternateName,"""Quantidade de pessoas do sexo masculino com idade entre 7 e 15 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único@pt""",value,{Number}
Quantidade de pessoas do sexo masculino com idade entre 16 e 17 anos BENEFICIÁRIAS do Programa Bolsa Família inscritas no Cadastro Único,measuredProperty,count,populationType,Person,gender,Male,registeredIn,Brazil_SingleRegistry,benefitsStatus,BolsaFamiliaProgram,age,[16 17 Years],name,"""Number of male people aged between 16 and 17 beneficiaries of the Bolsa Família Program registered in the Single Registry""",alternateName,"""Quantidade de pessoas do sexo masculino com idade entre 16 e 17 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único@pt""",value,{Number}
Quantidade de pessoas do sexo masculino com idade entre 18 e 24 anos BENEFICIÁRIAS do Programa Bolsa Família inscritas no Cadastro Único,measuredProperty,count,populationType,Person,gender,Male,registeredIn,Brazil_SingleRegistry,benefitsStatus,BolsaFamiliaProgram,age,[18 24 Years],name,"""Number of male people aged between 18 and 24 beneficiaries of the Bolsa Família Program registered in the Single Registry""",alternateName,"""Quantidade de pessoas do sexo masculino com idade entre 18 e 24 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único@pt""",value,{Number}
Quantidade de pessoas do sexo masculino com idade entre 25 e 34 anos BENEFICIÁRIAS do Programa Bolsa Família inscritas no Cadastro Único,measuredProperty,count,populationType,Person,gender,Male,registeredIn,Brazil_SingleRegistry,benefitsStatus,BolsaFamiliaProgram,age,[25 34 Years],name,"""Number of male people aged between 25 and 34 beneficiaries of the Bolsa Família Program registered in the Single Registry""",alternateName,"""Quantidade de pessoas do sexo masculino com idade entre 25 e 34 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único@pt""",value,{Number}
Quantidade de pessoas do sexo masculino com idade entre 35 e 39 anos BENEFICIÁRIAS do Programa Bolsa Família inscritas no Cadastro Único,measuredProperty,count,populationType,Person,gender,Male,registeredIn,Brazil_SingleRegistry,benefitsStatus,BolsaFamiliaProgram,age,[35 39 Years],name,"""Number of male people aged between 35 and 39 beneficiaries of the Bolsa Família Program registered in the Single Registry""",alternateName,"""Quantidade de pessoas do sexo masculino com idade entre 35 e 39 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único@pt""",value,{Number}
Quantidade de pessoas do sexo masculino com idade entre 40 e 44 anos BENEFICIÁRIAS do Programa Bolsa Família inscritas no Cadastro Único,measuredProperty,count,populationType,Person,gender,Male,registeredIn,Brazil_SingleRegistry,benefitsStatus,BolsaFamiliaProgram,age,[40 44 Years],name,"""Number of male people aged between 40 and 44 beneficiaries of the Bolsa Família Program registered in the Single Registry""",alternateName,"""Quantidade de pessoas do sexo masculino com idade entre 40 e 44 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único@pt""",value,{Number}
Quantidade de pessoas do sexo masculino com idade entre 45 e 49 anos BENEFICIÁRIAS do Programa Bolsa Família inscritas no Cadastro Único,measuredProperty,count,populationType,Person,gender,Male,registeredIn,Brazil_SingleRegistry,benefitsStatus,BolsaFamiliaProgram,age,[45 49 Years],name,"""Number of male people aged between 45 and 49 years beneficiaries of the Bolsa Família Program registered in the Single Registry""",alternateName,"""Quantidade de pessoas do sexo masculino com idade entre 45 e 49 anos beneficiárias do Programa Bolsa Família inscritas no Cadastro Único@pt""",value,{Number}
