key,prop,val,p1,v1,,,,,,,,,,,,
Referência,observationAbout,country/BRA,observationDate,{Data},,,,,,,,,,,,
Quantidade de famílias NÃO beneficiárias do Programa Bolsa Família formada por 1 integrante,populationType,Household,measuredProperty,count,benefitsStatus,NotBenifitedByBolsaFamiliaProgram,householdMemberCount,[1 Person],value,{Number},alternateName,"""Quantidade de famílias não beneficiárias do Programa Bolsa Família formada por 1 integrante@pt""",name,"""Number of families not beneficiaries of the Bolsa Família Program made up of 1 member""",registeredIn,Brazil_SingleRegistry
Quantidade de famílias NÃO beneficiárias do Programa Bolsa Família formada por 2 integrantes,populationType,Household,measuredProperty,count,benefitsStatus,NotBenifitedByBolsaFamiliaProgram,householdMemberCount,[2 Person],value,{Number},alternateName,"""Quantidade de famílias não beneficiárias do Programa Bolsa Família formada por 2 integrantes@pt""",name,"""Number of families not beneficiaries of the Bolsa Família Program made up of 2 members""",registeredIn,Brazil_SingleRegistry
Quantidade de famílias NÃO beneficiárias do Programa Bolsa Família formada por 3 integrantes,populationType,Household,measuredProperty,count,benefitsStatus,NotBenifitedByBolsaFamiliaProgram,householdMemberCount,[3 Person],value,{Number},alternateName,"""Quantidade de famílias não beneficiárias do Programa Bolsa Família formada por 3 integrantes@pt""",name,"""Number of families not beneficiaries of the Bolsa Família Program made up of 3 members""",registeredIn,Brazil_SingleRegistry
Quantidade de famílias NÃO beneficiárias do Programa Bolsa Família formada por 4 integrantes,populationType,Household,measuredProperty,count,benefitsStatus,NotBenifitedByBolsaFamiliaProgram,householdMemberCount,[4 Person],value,{Number},alternateName,"""Quantidade de famílias não beneficiárias do Programa Bolsa Família formada por 4 integrantes@pt""",name,"""Number of families not beneficiaries of the Bolsa Família Program made up of 4 members""",registeredIn,Brazil_SingleRegistry
Quantidade de famílias NÃO beneficiárias do Programa Bolsa Família formada por 5 integrantes,populationType,Household,measuredProperty,count,benefitsStatus,NotBenifitedByBolsaFamiliaProgram,householdMemberCount,[5 Person],value,{Number},alternateName,"""Quantidade de famílias não beneficiárias do Programa Bolsa Família formada por 5 integrantes@pt""",name,"""Number of families not beneficiaries of the Bolsa Família Program made up of 5 members""",registeredIn,Brazil_SingleRegistry
Quantidade de famílias NÃO beneficiárias do Programa Bolsa Família formada por 6 integrantes,populationType,Household,measuredProperty,count,benefitsStatus,NotBenifitedByBolsaFamiliaProgram,householdMemberCount,[6 Person],value,{Number},alternateName,"""Quantidade de famílias não beneficiárias do Programa Bolsa Família formada por 6 integrantes@pt""",name,"""Number of families not beneficiaries of the Bolsa Família Program made up of 6 members""",registeredIn,Brazil_SingleRegistry
Quantidade de famílias NÃO beneficiárias do Programa Bolsa Família formada por 7 integrantes,populationType,Household,measuredProperty,count,benefitsStatus,NotBenifitedByBolsaFamiliaProgram,householdMemberCount,[7 Person],value,{Number},alternateName,"""Quantidade de famílias não beneficiárias do Programa Bolsa Família formada por 7 integrantes@pt""",name,"""Number of families not beneficiaries of the Bolsa Família Program made up of 7 members""",registeredIn,Brazil_SingleRegistry
Quantidade de famílias NÃO beneficiárias do Programa Bolsa Família formada por 8 ou mais integrantes,populationType,Household,measuredProperty,count,benefitsStatus,NotBenifitedByBolsaFamiliaProgram,householdMemberCount,[8 - Person],value,{Number},alternateName,"""Quantidade de famílias não beneficiárias do Programa Bolsa Família formada por 8 ou mais integrantes@pt""",name,"""Number of families not beneficiaries of the Bolsa Família Program made up of 8 or more members""",registeredIn,Brazil_SingleRegistry
Quantidade de famílias BENEFICIÁRIAS do Programa Bolsa Família formada por 1 integrante,populationType,Household,measuredProperty,count,benefitsStatus,BolsaFamiliaProgram,householdMemberCount,[1 Person],value,{Number},alternateName,"""Quantidade de famílias beneficiárias do Programa Bolsa Família formada por 1 integrante@pt""",name,"""Number of beneficiary families of the Bolsa Família Program made up of 1 member""",registeredIn,Brazil_SingleRegistry
Quantidade de famílias BENEFICIÁRIAS do Programa Bolsa Família formada por 2 integrantes,populationType,Household,measuredProperty,count,benefitsStatus,BolsaFamiliaProgram,householdMemberCount,[2 Person],value,{Number},alternateName,"""Quantidade de famílias beneficiárias do Programa Bolsa Família formada por 2 integrantes@pt""",name,"""Number of beneficiary families of the Bolsa Família Program made up of 2 members""",registeredIn,Brazil_SingleRegistry
Quantidade de famílias BENEFICIÁRIAS do Programa Bolsa Família formada por 3 integrantes,populationType,Household,measuredProperty,count,benefitsStatus,BolsaFamiliaProgram,householdMemberCount,[3 Person],value,{Number},alternateName,"""Quantidade de famílias beneficiárias do Programa Bolsa Família formada por 3 integrantes@pt""",name,"""Number of beneficiary families of the Bolsa Família Program made up of 3 members""",registeredIn,Brazil_SingleRegistry
Quantidade de famílias BENEFICIÁRIAS do Programa Bolsa Família formada por 4 integrantes,populationType,Household,measuredProperty,count,benefitsStatus,BolsaFamiliaProgram,householdMemberCount,[4 Person],value,{Number},alternateName,"""Quantidade de famílias beneficiárias do Programa Bolsa Família formada por 4 integrantes@pt""",name,"""Number of beneficiary families of the Bolsa Família Program made up of 4 members""",registeredIn,Brazil_SingleRegistry
Quantidade de famílias BENEFICIÁRIAS do Programa Bolsa Família formada por 5 integrantes,populationType,Household,measuredProperty,count,benefitsStatus,BolsaFamiliaProgram,householdMemberCount,[5 Person],value,{Number},alternateName,"""Quantidade de famílias beneficiárias do Programa Bolsa Família formada por 5 integrantes@pt""",name,"""Number of beneficiary families of the Bolsa Família Program made up of 5 members""",registeredIn,Brazil_SingleRegistry
Quantidade de famílias BENEFICIÁRIAS do Programa Bolsa Família formada por 6 integrantes,populationType,Household,measuredProperty,count,benefitsStatus,BolsaFamiliaProgram,householdMemberCount,[6 Person],value,{Number},alternateName,"""Quantidade de famílias beneficiárias do Programa Bolsa Família formada por 6 integrantes@pt""",name,"""Number of beneficiary families of the Bolsa Família Program made up of 6 members""",registeredIn,Brazil_SingleRegistry
Quantidade de famílias BENEFICIÁRIAS do Programa Bolsa Família formada por 7 integrantes,populationType,Household,measuredProperty,count,benefitsStatus,BolsaFamiliaProgram,householdMemberCount,[7 Person],value,{Number},alternateName,"""Quantidade de famílias beneficiárias do Programa Bolsa Família formada por 7 integrantes@pt""",name,"""Number of beneficiary families of the Bolsa Família Program made up of 7 members""",registeredIn,Brazil_SingleRegistry
Quantidade de famílias BENEFICIÁRIAS do Programa Bolsa Família formada por 8 ou mais integrantes,populationType,Household,measuredProperty,count,benefitsStatus,BolsaFamiliaProgram,householdMemberCount,[8 - Person],value,{Number},alternateName,"""Quantidade de famílias beneficiárias do Programa Bolsa Família formada por 8 ou mais integrantes@pt""",name,"""Number of beneficiary families of the Bolsa Família Program made up of 8 or more members""",registeredIn,Brazil_SingleRegistry
