key,prop,val,p1,v1,,,,,,,,,,,,
Código,observationAbout,{Data},,,,,,,,,,,,,,
Referência,observationDate,{Data},,,,,,,,,,,,,,
Quantidade de famílias NÃO beneficiárias do Programa Bolsa Família cadastradas em domicílios com escoamento sanitário por rede coletora de esgoto ou pluvial,populationType,Household,measuredProperty,count,benefitsStatus,NotBenifitedByBolsaFamiliaProgram,sanitaryDrainageMethod,SewageOrRainwaterCollectionSystem,value,{Number},alternateName,Quantidade de famílias não beneficiárias do Programa Bolsa Família cadastradas em domicílios com escoamento sanitário por rede coletora de esgoto ou pluvial@pt,name,Number of families not beneficiaries of the Bolsa Família Program registered in households with sanitary drainage through a sewage or rainwater collection system,registeredIn,Brazil_SingleRegistry
Quantidade de famílias NÃO beneficiárias do Programa Bolsa Família cadastradas em domicílios com escoamento sanitário por fossa séptica,populationType,Household,measuredProperty,count,benefitsStatus,NotBenifitedByBolsaFamiliaProgram,sanitaryDrainageMethod,SepticTank,value,{Number},alternateName,Quantidade de famílias não beneficiárias do Programa Bolsa Família cadastradas em domicílios com escoamento sanitário por fossa séptica@pt,name,Number of families not beneficiaries of the Bolsa Família Program registered in households with sanitary drainage via septic tank,registeredIn,Brazil_SingleRegistry
Quantidade de famílias NÃO beneficiárias do Programa Bolsa Família cadastradas em domicílios com escoamento sanitário por fossa rudimentar,populationType,Household,measuredProperty,count,benefitsStatus,NotBenifitedByBolsaFamiliaProgram,sanitaryDrainageMethod,RudimentarySepticTank,value,{Number},alternateName,Quantidade de famílias não beneficiárias do Programa Bolsa Família cadastradas em domicílios com escoamento sanitário por fossa rudimentar@pt,name,Number of families not beneficiaries of the Bolsa Família Program registered in households with sanitary drainage through rudimentary septic tanks,registeredIn,Brazil_SingleRegistry
Quantidade de famílias NÃO beneficiárias do Programa Bolsa Família cadastradas em domicílios com escoamento sanitário por vala a céu aberto,populationType,Household,measuredProperty,count,benefitsStatus,NotBenifitedByBolsaFamiliaProgram,sanitaryDrainageMethod,OpenDitchDrainage,value,{Number},alternateName,Quantidade de famílias não beneficiárias do Programa Bolsa Família cadastradas em domicílios com escoamento sanitário por vala a céu aberto@pt,name,Number of families not beneficiaries of the Bolsa Família Program registered in households with sanitary drainage through an open ditch,registeredIn,Brazil_SingleRegistry
"Quantidade de famílias NÃO beneficiárias do Programa Bolsa Família cadastradas em domicílios com escoamento sanitário direto para rio, lago ou mar",populationType,Household,measuredProperty,count,benefitsStatus,NotBenifitedByBolsaFamiliaProgram,sanitaryDrainageMethod,RiverOrLakeOrSeaDrainage,value,{Number},alternateName,"Quantidade de famílias não beneficiárias do Programa Bolsa Família cadastradas em domicílios com escoamento sanitário direto para rio, lago ou mar@pt",name,"Number of families not beneficiaries of the Bolsa Família Program registered in households with direct sanitary drainage to the river, lake or sea",registeredIn,Brazil_SingleRegistry
Quantidade de famílias NÃO beneficiárias do Programa Bolsa Família cadastradas em domicílios com escoamento sanitário por outras formas,populationType,Household,measuredProperty,count,benefitsStatus,NotBenifitedByBolsaFamiliaProgram,sanitaryDrainageMethod,VISDATA_SanitaryDrainageByOtherMeans,value,{Number},alternateName,Quantidade de famílias não beneficiárias do Programa Bolsa Família cadastradas em domicílios com escoamento sanitário por outras formas@pt,name,Number of families not beneficiaries of the Bolsa Família Program registered in households with sanitary drainage in other ways,registeredIn,Brazil_SingleRegistry
Quantidade de famílias NÃO beneficiárias do Programa Bolsa Família cadastradas em domicílios sem informação sobre a forma de escoamento sanitário,populationType,Household,measuredProperty,count,benefitsStatus,NotBenifitedByBolsaFamiliaProgram,sanitaryDrainageMethod,VISDATA_UnknownSanitaryDrainageMethod,value,{Number},alternateName,Quantidade de famílias não beneficiárias do Programa Bolsa Família cadastradas em domicílios sem informação sobre a forma de escoamento sanitário@pt,name,Number of families not beneficiaries of the Bolsa Família Program registered in households without information on the form of sanitary drainage,registeredIn,Brazil_SingleRegistry
Quantidade de famílias BENEFICIÁRIAS do Programa Bolsa Família cadastradas em domicílios com escoamento sanitário por rede coletora de esgoto ou pluvial,populationType,Household,measuredProperty,count,benefitsStatus,BolsaFamiliaProgram,sanitaryDrainageMethod,SewageOrRainwaterCollectionSystem,value,{Number},alternateName,Quantidade de famílias beneficiárias do Programa Bolsa Família cadastradas em domicílios com escoamento sanitário por rede coletora de esgoto ou pluvial@pt,name,Number of beneficiary families of the Bolsa Família Program registered in households with sanitary drainage through a sewage or rainwater collection system,registeredIn,Brazil_SingleRegistry
