key,p1,v1,p2,v2,p3,v3,p4,v4,p5,v5,p6,v6,CountyCode1,"""""",#End,#Value
state,observationAbout,{Data},,,,,,,,,,,,,,
County Code,#Format,CountyCode1={Number:0>5},observationAbout,geoId/{CountyCode1},,,,,,,,,,,,
Year Code,observationDate,{Number},observationPeriod,P1Y,,,,,,,,,,,,
Deaths,populationType,MortalityEvent,value,{Number},,,,,,,,,,,,
Population,#ignore,ignore,value,{Number},,,,,,,,,,,,
Crude Rate,#ignore,ignore,value,{Number},,,,,,,,,,,,
Single Race 6 Code:2106-3,race,White,Unit,Per100000Persons,,,,,,,,,,,,
Single Race 6 Code:2054-5,race,BlackOrAfricanAmericanAlone,Unit,Per100000Persons,,,,,,,,,,,,
Single Race 6 Code:1002-5,race,AmericanIndianOrAlaskaNative,Unit,Per100000Persons,,,,,,,,,,,,
Single Race 6 Code:A,race,Asian,Unit,Per100000Persons,,,,,,,,,,,,
Single Race 6 Code:M,race,TwoOrMoreRaces,Unit,Per100000Persons,,,,,,,,,,,,
Single Race 6 Code:NHOPI,race,NativeHawaiianOrOtherPacificIslanderAlone,Unit,Per100000Persons,,,,,,,,,,,,
Female,gender,Female,Unit,Per100000Females,,,,,,,,,,,,
Male,gender,Male,Unit,Per100000Males,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
GR113-001,causeOfDeath,SalmonellaInfections,,,,,,,,,,,,,,
GR113-003,causeOfDeath,CertainOtherIntestinalInfections,,,,,,,,,,,,,,
GR113-004,causeOfDeath,Tuberculosis,,,,,,,,,,,,,,
GR113-005,causeOfDeath,RespiratoryTuberculosis,,,,,,,,,,,,,,
GR113-006,causeOfDeath,OtherTuberculosis,,,,,,,,,,,,,,
GR113-009,causeOfDeath,MeningococcalInfection,,,,,,,,,,,,,,
GR113-010,causeOfDeath,Septicemia,,,,,,,,,,,,,,
GR113-015,causeOfDeath,ViralHepatitis,,,,,,,,,,,,,,
GR113-016,causeOfDeath,HumanImmunodeficiencyVirus(Hiv)Disease,,,,,,,,,,,,,,
GR113-018,causeOfDeath,OtherAndUnspecifiedInfectiousAndParasiticDiseasesAndTheirSequelae,,,,,,,,,,,,,,
GR113-019,causeOfDeath,MalignantNeoplasms,,,,,,,,,,,,,,
GR113-020,causeOfDeath,MalignantNeoplasmsOfLip_OralCavityAndPharynx,,,,,,,,,,,,,,
GR113-021,causeOfDeath,MalignantNeoplasmOfEsophagus,,,,,,,,,,,,,,
GR113-022,causeOfDeath,MalignantNeoplasmOfStomach,,,,,,,,,,,,,,
GR113-023,causeOfDeath,MalignantNeoplasmsOfColon_RectumAndAnus,,,,,,,,,,,,,,
GR113-024,causeOfDeath,MalignantNeoplasmsOfLiverAndIntrahepaticBileDucts,,,,,,,,,,,,,,
GR113-025,causeOfDeath,MalignantNeoplasmOfPancreas,,,,,,,,,,,,,,
GR113-026,causeOfDeath,MalignantNeoplasmOfLarynx,,,,,,,,,,,,,,
GR113-027,causeOfDeath,MalignantNeoplasmsOfTrachea_BronchusAndLung,,,,,,,,,,,,,,
GR113-028,causeOfDeath,MalignantMelanomaOfSkin,,,,,,,,,,,,,,
GR113-029,causeOfDeath,MalignantNeoplasmOfBreast,,,,,,,,,,,,,,
GR113-030,causeOfDeath,MalignantNeoplasmOfCervixUteri,,,,,,,,,,,,,,
GR113-031,causeOfDeath,MalignantNeoplasmsOfCorpusUteriAndUterus_PartUnspecified,,,,,,,,,,,,,,
GR113-032,causeOfDeath,MalignantNeoplasmOfOvary,,,,,,,,,,,,,,
GR113-033,causeOfDeath,MalignantNeoplasmOfProstate,,,,,,,,,,,,,,
GR113-034,causeOfDeath,MalignantNeoplasmsOfKidneyAndRenalPelvis,,,,,,,,,,,,,,
GR113-035,causeOfDeath,MalignantNeoplasmOfBladder,,,,,,,,,,,,,,
GR113-036,causeOfDeath,MalignantNeoplasmsOfMeninges_BrainAndOtherPartsOfCentralNervousSystem,,,,,,,,,,,,,,
GR113-037,causeOfDeath,MalignantNeoplasmsOfLymphoid_HematopoieticAndRelatedTissue,,,,,,,,,,,,,,
GR113-038,causeOfDeath,HodgkinsDisease,,,,,,,,,,,,,,
GR113-039,causeOfDeath,Non-HodgkinsLymphoma,,,,,,,,,,,,,,
GR113-040,causeOfDeath,Leukemia,,,,,,,,,,,,,,
GR113-041,causeOfDeath,MultipleMyelomaAndImmunoproliferativeNeoplasms,,,,,,,,,,,,,,
GR113-042,causeOfDeath,OtherAndUnspecifiedMalignantNeoplasmsOfLymphoid_HematopoieticAndRelatedTissue,,,,,,,,,,,,,,
GR113-043,causeOfDeath,AllOtherAndUnspecifiedMalignantNeoplasms,,,,,,,,,,,,,,
GR113-044,causeOfDeath,InSituNeoplasms_BenignNeoplasmsAndNeoplasmsOfUncertainOrUnknownBehavior,,,,,,,,,,,,,,
GR113-045,causeOfDeath,Anemias,,,,,,,,,,,,,,
GR113-046,causeOfDeath,DiabetesMellitus,,,,,,,,,,,,,,
GR113-047,causeOfDeath,NutritionalDeficiencies,,,,,,,,,,,,,,
GR113-048,causeOfDeath,Malnutrition,,,,,,,,,,,,,,
GR113-049,causeOfDeath,OtherNutritionalDeficiencies,,,,,,,,,,,,,,
GR113-050,causeOfDeath,Meningitis,,,,,,,,,,,,,,
GR113-051,causeOfDeath,ParkinsonsDisease,,,,,,,,,,,,,,
GR113-052,causeOfDeath,AlzheimersDisease,,,,,,,,,,,,,,
GR113-053,causeOfDeath,MajorCardiovascularDiseases,,,,,,,,,,,,,,
GR113-054,causeOfDeath,DiseasesOfHeart,,,,,,,,,,,,,,
GR113-055,causeOfDeath,AcuteRheumaticFeverAndChronicRheumaticHeartDiseases,,,,,,,,,,,,,,
