Detail Data For Gas Consumption by Sector Having Year : ALL
.
YearValue,Energy_NonEnergy,ConsumingSector,GasType,QtyMMSCM_Consumption
2006,ENERGY,POWER,NATURAL GAS,11878.000
2008,ENERGY,POWER,NATURAL GAS,12037.000
2009,ENERGY,POWER,NATURAL GAS,12603.000
2010,ENERGY,POWER,NATURAL GAS,21365.000
2011,ENERGY,POWER,NATURAL GAS,25787.000
2012,ENERGY,POWER,NATURAL GAS,22628.000
2013,ENERGY,POWER,NATURAL GAS,16078.000
2014,ENERGY,POWER,NATURAL GAS,11284.000
2015,ENERGY,POWER,NATURAL GAS,10720.000
2016,ENERGY,POWER,NATURAL GAS,10889.200
2017,ENERGY,POWER,NATURAL GAS,11616.260
2018,ENERGY,POWER,NATURAL GAS,12028.290
2019,ENERGY,POWER,NATURAL GAS,12004.700
2020,ENERGY,POWER,NATURAL GAS,11028.890
2006,ENERGY,INDUSTRIAL,NATURAL GAS,3780.000
2007,ENERGY,INDUSTRIAL,NATURAL GAS,3205.000
2008,ENERGY,INDUSTRIAL,NATURAL GAS,3323.000
2009,ENERGY,INDUSTRIAL,NATURAL GAS,2745.752
2010,ENERGY,INDUSTRIAL,NATURAL GAS,1172.446
2011,ENERGY,INDUSTRIAL,NATURAL GAS,1564.631
2012,ENERGY,INDUSTRIAL,NATURAL GAS,2869.544
2013,ENERGY,INDUSTRIAL,NATURAL GAS,2908.244
2014,ENERGY,INDUSTRIAL,NATURAL GAS,2926.032
2015,ENERGY,INDUSTRIAL,NATURAL GAS,3005.306
2016,ENERGY,INDUSTRIAL,NATURAL GAS,3039.924
2017,ENERGY,INDUSTRIAL,NATURAL GAS,688.150
2018,ENERGY,INDUSTRIAL,NATURAL GAS,873.010
2019,ENERGY,INDUSTRIAL,NATURAL GAS,944.260
2020,ENERGY,INDUSTRIAL,NATURAL GAS,568.330
2017,ENERGY,MANUFACTURE,NATURAL GAS,105.500
2018,ENERGY,MANUFACTURE,NATURAL GAS,126.260
2019,ENERGY,MANUFACTURE,NATURAL GAS,141.810
2020,ENERGY,MANUFACTURE,NATURAL GAS,132.260
2017,ENERGY,CITY OR LOCAL NATURAL GAS DISTRIBUTION NETWORK,NATURAL GAS,4237.505
2018,ENERGY,CITY OR LOCAL NATURAL GAS DISTRIBUTION NETWORK,NATURAL GAS,5114.009
2019,ENERGY,CITY OR LOCAL NATURAL GAS DISTRIBUTION NETWORK,NATURAL GAS,5158.987
2020,ENERGY,CITY OR LOCAL NATURAL GAS DISTRIBUTION NETWORK,NATURAL GAS,6610.278
2017,ENERGY,TEA PLANTATION,NATURAL GAS,183.330
2018,ENERGY,TEA PLANTATION,NATURAL GAS,188.560
2019,ENERGY,TEA PLANTATION,NATURAL GAS,192.260
2020,ENERGY,TEA PLANTATION,NATURAL GAS,200.270
2017,ENERGY,INTERNAL CONSUMPTION FOR PIPELINE SYSTEM,NATURAL GAS,471.180
2018,ENERGY,INTERNAL CONSUMPTION FOR PIPELINE SYSTEM,NATURAL GAS,495.620
2019,ENERGY,INTERNAL CONSUMPTION FOR PIPELINE SYSTEM,NATURAL GAS,540.710
2020,ENERGY,INTERNAL CONSUMPTION FOR PIPELINE SYSTEM,NATURAL GAS,525.110
2009,NON-ENERGY,REFINERY,NATURAL GAS,611.000
2010,NON-ENERGY,REFINERY,NATURAL GAS,703.000
2011,NON-ENERGY,REFINERY,NATURAL GAS,1529.000
2017,ENERGY,REFINERY,NATURAL GAS,5374.370
2018,ENERGY,REFINERY,NATURAL GAS,6533.130
2019,ENERGY,REFINERY,NATURAL GAS,7047.310
2020,ENERGY,REFINERY,NATURAL GAS,7785.990
2017,ENERGY,MISCELLANEOUS,NATURAL GAS,3745.960
2018,ENERGY,MISCELLANEOUS,NATURAL GAS,3226.490
2019,ENERGY,MISCELLANEOUS,NATURAL GAS,3392.600
2020,ENERGY,MISCELLANEOUS,NATURAL GAS,4209.000
2006,NON-ENERGY,FERTILIZER INDUSTRY,NATURAL GAS,7762.000
2007,NON-ENERGY,FERTILIZER INDUSTRY,NATURAL GAS,8497.000
2008,NON-ENERGY,FERTILIZER INDUSTRY,NATURAL GAS,9823.000
2009,NON-ENERGY,FERTILIZER INDUSTRY,NATURAL GAS,9082.000
2010,NON-ENERGY,FERTILIZER INDUSTRY,NATURAL GAS,13168.000
2011,NON-ENERGY,FERTILIZER INDUSTRY,NATURAL GAS,11464.000
2012,NON-ENERGY,FERTILIZER INDUSTRY,NATURAL GAS,14003.320
2013,NON-ENERGY,FERTILIZER INDUSTRY,NATURAL GAS,14733.290
2014,NON-ENERGY,FERTILIZER INDUSTRY,NATURAL GAS,15869.370
2015,NON-ENERGY,FERTILIZER INDUSTRY,NATURAL GAS,15190.300
2016,NON-ENERGY,FERTILIZER INDUSTRY,NATURAL GAS,16134.610
2017,NON-ENERGY,FERTILIZER INDUSTRY,NATURAL GAS,15428.570
2018,NON-ENERGY,FERTILIZER INDUSTRY,NATURAL GAS,14675.670
2019,NON-ENERGY,FERTILIZER INDUSTRY,NATURAL GAS,14986.910
2020,NON-ENERGY,FERTILIZER INDUSTRY,NATURAL GAS,16115.240
2017,NON-ENERGY,PETROCHEMICAL,NATURAL GAS,4170.060
2018,NON-ENERGY,PETROCHEMICAL,NATURAL GAS,4024.130
2019,NON-ENERGY,PETROCHEMICAL,NATURAL GAS,3386.090
2020,NON-ENERGY,PETROCHEMICAL,NATURAL GAS,3568.790
2009,NON-ENERGY,SPONGE IRON,NATURAL GAS,1535.000
2010,NON-ENERGY,SPONGE IRON,NATURAL GAS,1838.000
2011,NON-ENERGY,SPONGE IRON,NATURAL GAS,765.000
2012,NON-ENERGY,SPONGE IRON,NATURAL GAS,1333.260
2013,NON-ENERGY,SPONGE IRON,NATURAL GAS,1105.740
2014,NON-ENERGY,SPONGE IRON,NATURAL GAS,274.120
2015,NON-ENERGY,SPONGE IRON,NATURAL GAS,153.590
2016,NON-ENERGY,SPONGE IRON,NATURAL GAS,544.320
2017,NON-ENERGY,SPONGE IRON,NATURAL GAS,885.050
2018,NON-ENERGY,SPONGE IRON,NATURAL GAS,1278.000
2019,NON-ENERGY,SPONGE IRON,NATURAL GAS,1123.710
2020,NON-ENERGY,SPONGE IRON,NATURAL GAS,567.000
2012,NON-ENERGY,LPG SHRINKAGE,NATURAL GAS,1068.370
2013,NON-ENERGY,LPG SHRINKAGE,NATURAL GAS,1027.290
2014,NON-ENERGY,LPG SHRINKAGE,NATURAL GAS,981.850
2015,NON-ENERGY,LPG SHRINKAGE,NATURAL GAS,1005.480
2016,NON-ENERGY,LPG SHRINKAGE,NATURAL GAS,754.190
2017,NON-ENERGY,LPG SHRINKAGE,NATURAL GAS,759.450
2018,NON-ENERGY,LPG SHRINKAGE,NATURAL GAS,797.870
2019,NON-ENERGY,LPG SHRINKAGE,NATURAL GAS,873.520
2020,NON-ENERGY,LPG SHRINKAGE,NATURAL GAS,857.940
2006,ENERGY,RESIDENTIAL,NATURAL GAS,75.000
2007,ENERGY,RESIDENTIAL,NATURAL GAS,443.000
2008,ENERGY,RESIDENTIAL,NATURAL GAS,38.000
2009,ENERGY,RESIDENTIAL,NATURAL GAS,427.249
2010,ENERGY,RESIDENTIAL,NATURAL GAS,182.437
2011,ENERGY,RESIDENTIAL,NATURAL GAS,243.462
2012,ENERGY,RESIDENTIAL,NATURAL GAS,397.752
2013,ENERGY,RESIDENTIAL,NATURAL GAS,410.614
2014,ENERGY,RESIDENTIAL,NATURAL GAS,414.731
2015,ENERGY,RESIDENTIAL,NATURAL GAS,384.730
2016,ENERGY,RESIDENTIAL,NATURAL GAS,388.168
2009,ENERGY,TRANSPORT,NATURAL GAS,2840.999
2010,ENERGY,TRANSPORT,NATURAL GAS,1213.117
2011,ENERGY,TRANSPORT,NATURAL GAS,1618.906
2012,ENERGY,TRANSPORT,NATURAL GAS,2644.855
2013,ENERGY,TRANSPORT,NATURAL GAS,2730.382
2014,ENERGY,TRANSPORT,NATURAL GAS,2824.058
2015,ENERGY,TRANSPORT,NATURAL GAS,2558.284
2016,ENERGY,TRANSPORT,NATURAL GAS,2581.128
2017,ENERGY,TRANSPORT,NATURAL GAS,3112.495
2018,ENERGY,TRANSPORT,NATURAL GAS,3471.361
2019,ENERGY,TRANSPORT,NATURAL GAS,4047.013
2020,ENERGY,TRANSPORT,NATURAL GAS,4272.782
2006,ENERGY,AGRICULTURE,NATURAL GAS,151.000
2007,ENERGY,AGRICULTURE,NATURAL GAS,170.000
2008,ENERGY,AGRICULTURE,NATURAL GAS,160.000
2009,ENERGY,AGRICULTURE,NATURAL GAS,154.000
2010,ENERGY,AGRICULTURE,NATURAL GAS,167.000
2011,ENERGY,AGRICULTURE,NATURAL GAS,193.000
2012,ENERGY,AGRICULTURE,NATURAL GAS,175.000
2013,ENERGY,AGRICULTURE,NATURAL GAS,182.000
2014,ENERGY,AGRICULTURE,NATURAL GAS,195.720
2015,ENERGY,AGRICULTURE,NATURAL GAS,180.480
2016,ENERGY,AGRICULTURE,NATURAL GAS,188.240
2006,ENERGY,OTHERS,NATURAL GAS,6168.000
2006,NON-ENERGY,OTHERS,NATURAL GAS,36.000
2007,ENERGY,OTHERS,NATURAL GAS,5074.000
2007,NON-ENERGY,OTHERS,NATURAL GAS,639.000
2008,ENERGY,OTHERS,NATURAL GAS,3128.000
2008,NON-ENERGY,OTHERS,NATURAL GAS,638.000
2009,ENERGY,OTHERS,NATURAL GAS,3420.000
2010,ENERGY,OTHERS,NATURAL GAS,7272.000
2011,ENERGY,OTHERS,NATURAL GAS,7546.000
2012,ENERGY,OTHERS,NATURAL GAS,13705.740
2013,ENERGY,OTHERS,NATURAL GAS,12253.260
2014,ENERGY,OTHERS,NATURAL GAS,11819.910
2015,ENERGY,OTHERS,NATURAL GAS,10867.000
2016,ENERGY,OTHERS,NATURAL GAS,9596.590
2006,NON-ENERGY,PETRO-CHEMICALS ,NATURAL GAS,1175.000
2007,NON-ENERGY,PETRO-CHEMICALS ,NATURAL GAS,1377.000
2008,NON-ENERGY,PETRO-CHEMICALS ,NATURAL GAS,1432.000
2009,NON-ENERGY,PETRO-CHEMICALS ,NATURAL GAS,1105.000
2010,NON-ENERGY,PETRO-CHEMICALS ,NATURAL GAS,1264.000
2011,NON-ENERGY,PETRO-CHEMICALS ,NATURAL GAS,1309.000
2012,NON-ENERGY,PETRO-CHEMICALS ,NATURAL GAS,1857.690
2013,NON-ENERGY,PETRO-CHEMICALS ,NATURAL GAS,2485.960
2014,NON-ENERGY,PETRO-CHEMICALS ,NATURAL GAS,2404.660
2015,NON-ENERGY,PETRO-CHEMICALS ,NATURAL GAS,2889.670
2016,NON-ENERGY,PETRO-CHEMICALS ,NATURAL GAS,3733.280
2006,ENERGY,LNG IMPORT,NATURAL GAS,6648.840
2007,ENERGY,LNG IMPORT,NATURAL GAS,8948.340
2008,ENERGY,LNG IMPORT,NATURAL GAS,10932.480
2009,ENERGY,LNG IMPORT,NATURAL GAS,10590.840
2010,ENERGY,LNG IMPORT,NATURAL GAS,11599.992
2011,ENERGY,LNG IMPORT,NATURAL GAS,11758.986
