Date,CumulativeCount_MedicalTest_COVID_19,CumulativeCount_MedicalTest_COVID_19_Positive,CumulativeCount_MedicalTest_COVID_19_Negative,Count_MedicalTest_COVID_19_Pending,CumulativeCount_MedicalConditionIncident_COVID_19_PatientRecovered,CumulativeCount_MedicalConditionIncident_COVID_19_PatientDeceased,Count_MedicalConditionIncident_COVID_19_PatientHospitalized,CumulativeCount_MedicalConditionIncident_COVID_19_PatientHospitalized,Count_MedicalConditionIncident_COVID_19_PatientInICU,CumulativeCount_MedicalConditionIncident_COVID_19_PatientInICU,Count_MedicalConditionIncident_COVID_19_PatientOnVentilator,CumulativeCount_MedicalConditionIncident_COVID_19_PatientOnVentilator
2020-05-30,16693892,1773809,14920083,1668,494569,98132,35202,209488,7956,8305,4004,698
2020-05-29,16266108,1749967,14516141,2978,484554,97203,36412,208064,8175,8235,4032,689
2020-05-28,15774604,1726482,14048122,1906,478099,96024,37547,206349,8389,8109,4080,676
2020-05-27,15339355,1703872,13635483,3132,391508,94798,37771,204719,8547,8015,4222,666
2020-05-26,15029139,1684477,13344662,1549,384902,93480,37219,203006,8585,7899,4215,650
2020-05-25,14722425,1667857,13054568,3368,379157,92840,37202,185686,8472,7847,4237,642
2020-05-24,14300657,1649129,12651528,3860,366736,92285,37259,184684,8487,7801,4383,639
2020-05-23,13917424,1628995,12288429,4084,361239,91607,38175,183763,8733,7770,4620,638
2020-05-22,13525856,1607297,11918559,3709,350135,90547,39395,182385,9048,7689,4716,633
2020-05-21,13114648,1582778,11531870,3641,298418,89212,40544,178339,9090,7412,4868,616
2020-05-20,12652098,1556219,11095879,2973,294312,87824,41567,173709,9754,7319,4911,613
2020-05-19,12243369,1534682,10708687,2944,289484,86432,41734,171713,9829,7217,5032,606
2020-05-18,11842261,1513888,10328373,3596,283178,85107,41540,170116,9987,7064,5257,602
2020-05-17,11486140,1492912,9993228,3449,272265,84263,41653,168959,10164,7003,5467,593
2020-05-16,11112578,1472626,9639952,3788,268376,83417,43434,167760,10509,6945,5529,592
2020-05-15,10748972,1447962,9301010,2457,250747,82433,43418,165904,10704,6890,5746,589
2020-05-14,10389204,1423281,8965923,2673,246414,80931,44695,164551,10888,6795,5940,582
2020-05-13,10023606,1396623,8626983,1983,243430,79060,45170,161345,10978,6713,6156,572
2020-05-12,9704002,1375405,8328597,1803,238857,77364,45815,159536,11241,5595,6352,559
2020-05-11,9395310,1352797,8042513,1989,232142,75892,44803,157957,11147,6488,6350,551
2020-05-10,9012502,1334560,7677942,3095,215591,75005,45452,156719,11393,6445,6395,547
2020-05-09,8744462,1312957,7431505,3054,211976,73981,47165,155664,11496,6367,6551,543
2020-05-08,8452856,1288223,7164633,3307,198459,72549,48284,153956,11780,6294,6788,531
2020-05-07,8153980,1260600,6893380,3171,194528,70770,49710,147064,12137,5174,7070,529
2020-05-06,7851591,1233056,6618535,2742,189425,68030,50806,143322,12478,4911,4753,449
2020-05-05,7606099,1208070,6398029,2633,189336,66098,51468,141203,12629,4794,4818,439
2020-05-04,7334611,1185643,6148968,2791,186752,63653,50592,139220,12696,4579,4848,430
2020-05-03,7102806,1163236,5939570,2812,179733,62641,50849,137569,12722,4502,4761,425
2020-05-02,6866084,1137462,5728622,1578,174987,61435,52232,135606,12904,4386,4845,375
2020-05-01,6617204,1108139,5509065,1639,163644,59894,52931,133575,12845,4300,4707,376
2020-04-30,6321585,1075059,5246526,2775,154648,58141,54436,123786,13255,4192,4712,373
2020-04-29,6087698,1045414,5042284,4832,147165,56024,55585,121496,13535,4093,4796,365
2020-04-28,5848645,1018234,4830411,4206,139041,53332,55596,118081,13562,3798,4760,195
2020-04-27,5642336,993136,4649200,4077,121323,51290,55630,116002,13812,3720,4867,195
2020-04-26,5446452,971091,4475361,4445,116529,50053,55662,112926,14099,2571,5121,227
2020-04-25,5239814,943677,4296137,5315,112539,48865,56895,110734,14414,2516,5266,227
2020-04-24,4962124,907651,4054473,4396,101296,47151,56702,108278,14602,2468,5187,227
2020-04-23,4726498,873455,3853043,4258,96921,45286,58433,105940,14744,2428,5464,227
2020-04-22,4533299,841669,3691630,4191,92978,43522,58627,103138,15015,2370,5474,227
2020-04-21,4209698,812761,3396937,3956,72842,41457,59264,100051,14941,2315,5514,214
2020-04-20,4056762,786446,3270316,4037,69493,39028,56236,97369,14489,2193,5567,214
2020-04-19,3910706,760609,3150097,11324,67205,37263,56007,95158,14410,2145,5603,214
2020-04-18,3756943,733204,3023739,9906,62840,35530,57238,92919,14768,2096,5729,205
2020-04-17,3610709,705222,2905487,10889,53533,33693,58532,89356,14890,2052,6096,148
2020-04-16,3451118,673209,2777909,16927,48851,31616,59140,85951,15130,1834,5940,137
2020-04-15,3287635,642369,2645266,16901,43435,29475,59539,82880,14647,1783,6032,223
2020-04-14,3149540,612100,2537440,16615,39268,26989,59222,78446,14039,1715,5975,221
2020-04-13,2997355,586461,2410894,17159,35372,24702,55815,75164,13632,1628,6168,210
2020-04-12,2863901,561204,2302697,16419,34081,23130,55136,70879,13623,1455,5986,160
2020-04-11,2724578,533333,2191245,16593,31567,21500,55229,67591,13280,1405,5978,154
2020-04-10,2585687,502718,2082969,17435,28997,19518,52373,64766,12698,1185,5937,41
2020-04-09,2428185,468483,1959702,17622,24819,17463,50535,59832,12254,924,5794,39
2020-04-08,2258491,434066,1824425,17219,21102,15491,44833,55909,10180,1013,4131,216
2020-04-07,2111023,403585,1707438,16548,18443,13547,43163,51598,9821,889,4076,151
2020-04-06,1956702,372961,1583741,17283,16554,11591,35559,48617,6943,814,2961,147
2020-04-05,1805177,344070,1461107,17303,14513,10337,31593,45671,5677,760,652,147
2020-04-04,1685983,318586,1367397,15569,12816,9052,29749,41768,5383,554,656,147
2020-04-03,1456723,285374,1171349,61976,10861,7612,25234,36682,4811,486,605,147
2020-04-02,1324154,253478,1070676,62097,8586,6353,22538,32128,4410,456,574,140
2020-04-01,1205129,225457,979672,59665,7084,5204,20517,27953,3937,407,561,140
2020-03-31,1096921,199707,897214,59518,5666,4216,17910,23725,3487,236,507,
2020-03-30,984586,174999,809587,65369,4560,3355,15616,19819,3087,187,451,
2020-03-29,865938,153072,712866,65545,4052,2778,13868,17283,2456,156,439,
2020-03-28,778391,133467,644924,65709,3143,2262,12217,14508,2174,140,390,
2020-03-27,671554,113771,557783,60091,2418,1743,10820,12083,1792,124,324,
2020-03-26,568049,94720,473329,60251,97,1342,7651,9520,1299,91,258,
2020-03-25,466418,77072,389346,51235,146,1031,4971,7021,,74,167,
2020-03-24,382155,64219,317936,14433,,799,3828,5117,,,,
2020-03-23,313200,53588,259612,14571,,568,2770,3937,,,,
2020-03-22,255000,42139,212861,2842,,471,2155,3023,,,,
2020-03-21,209728,32888,176840,3468,,328,1436,2020,,,,
2020-03-20,164458,26005,138453,3330,,267,1042,108,,,,
2020-03-19,127846,19753,108093,3016,,199,617,85,,,,
2020-03-18,99906,15088,84818,2526,,153,416,67,,,,
2020-03-17,74817,11918,62899,1687,,122,325,55,,,,
2020-03-16,57564,8314,49250,1691,,100,,42,,,,
2020-03-15,39695,6746,32949,2242,,79,,36,,,,
2020-03-14,32073,5496,26577,1236,,64,,26,,,,
2020-03-13,27487,4575,22912,1130,,55,,22,,,,
2020-03-12,18313,3547,14766,673,,51,,16,,,,
2020-03-11,13048,2873,10175,563,,43,,11,,,,
2020-03-10,9226,2344,6882,469,,37,,8,,,,
2020-03-09,6732,1904,4828,313,,35,,8,,,,
2020-03-08,4975,1538,3437,347,,31,,6,,,,
2020-03-07,4119,1271,2848,602,,27,,6,,,,
2020-03-06,3327,1051,2276,458,,26,,6,,,,
2020-03-05,2551,909,1642,197,,20,,5,,,,
2020-03-04,1933,757,1176,103,,16,,4,,,,
2020-03-03,840,570,270,,,14,,,,,,
2020-03-02,592,469,123,,,11,,,,,,
2020-03-01,399,387,12,,,8,,,,,,
2020-02-29,316,299,17,,,5,,,,,,
2020-02-28,275,275,0,,,4,,,,,,
2020-02-27,235,235,0,,,2,,,,,,
2020-02-26,208,208,0,,,2,,,,,,
2020-02-25,179,179,0,,,,,,,,,
2020-02-24,148,148,0,,,,,,,,,
2020-02-23,122,122,0,,,,,,,,,
2020-02-22,106,106,0,,,,,,,,,
2020-02-21,93,93,0,,,,,,,,,
2020-02-20,82,82,0,,,,,,,,,
2020-02-19,69,69,0,,,,,,,,,
2020-02-18,59,59,0,,,,,,,,,
2020-02-17,50,50,0,,,,,,,,,
2020-02-16,35,35,0,,,,,,,,,
2020-02-15,28,28,0,,,,,,,,,
2020-02-14,21,21,0,,,,,,,,,
2020-02-13,18,18,0,,,,,,,,,
2020-02-12,18,18,0,,,,,,,,,
2020-02-11,17,17,0,,,,,,,,,
2020-02-10,16,16,0,,,,,,,,,
2020-02-09,13,13,0,,,,,,,,,
2020-02-08,13,13,0,,,,,,,,,
2020-02-07,12,12,0,,,,,,,,,
2020-02-06,11,11,0,,,,,,,,,
2020-02-05,8,8,0,,,,,,,,,
2020-02-04,8,8,0,,,,,,,,,
2020-02-03,7,7,0,,,,,,,,,
2020-02-02,6,6,0,,,,,,,,,
2020-02-01,4,4,0,,,,,,,,,
2020-01-31,3,3,0,,,,,,,,,
2020-01-30,3,3,0,,,,,,,,,
2020-01-29,3,3,0,,,,,,,,,
2020-01-28,2,2,0,,,,,,,,,
2020-01-27,2,2,0,,,,,,,,,
2020-01-26,2,2,0,,,,,,,,,
2020-01-25,2,2,0,,,,,,,,,
2020-01-24,2,2,0,,,,,,,,,
2020-01-23,2,2,0,,,,,,,,,
2020-01-22,2,2,0,,,,,,,,,
