census_location_id,TRU,columnName,Value,StatisticalVariable,Year,Region
COI2011-00-000-00000-000000-0000-000000,Total,No_HH_Head,41694863,Count_Household_ScheduleCaste,2011,dcid:country/IND
COI2011-00-000-00000-000000-0000-000000,Rural,No_HH_Head,31803775,Count_Household_ScheduleCaste_Rural,2011,dcid:country/IND
COI2011-00-000-00000-000000-0000-000000,Urban,No_HH_Head,9891088,Count_Household_ScheduleCaste_Urban,2011,dcid:country/IND
COI2011-01-000-00000-000000-0000-000000,Total,No_HH_Head,183020,Count_Household_ScheduleCaste,2011,dcid:wikidataId/Q66278313
COI2011-01-000-00000-000000-0000-000000,Rural,No_HH_Head,149536,Count_Household_ScheduleCaste_Rural,2011,dcid:wikidataId/Q66278313
COI2011-01-000-00000-000000-0000-000000,Urban,No_HH_Head,33484,Count_Household_ScheduleCaste_Urban,2011,dcid:wikidataId/Q66278313
COI2011-00-000-00000-000000-0000-000000,Total,TOT_P,201378372,Count_Person_ScheduleCaste,2011,dcid:country/IND
COI2011-00-000-00000-000000-0000-000000,Rural,TOT_P,153850848,Count_Person_ScheduleCaste_Rural,2011,dcid:country/IND
COI2011-00-000-00000-000000-0000-000000,Urban,TOT_P,47527524,Count_Person_ScheduleCaste_Urban,2011,dcid:country/IND
COI2011-01-000-00000-000000-0000-000000,Total,TOT_P,924991,Count_Person_ScheduleCaste,2011,dcid:wikidataId/Q66278313
COI2011-01-000-00000-000000-0000-000000,Rural,TOT_P,751026,Count_Person_ScheduleCaste_Rural,2011,dcid:wikidataId/Q66278313
COI2011-01-000-00000-000000-0000-000000,Urban,TOT_P,173965,Count_Person_ScheduleCaste_Urban,2011,dcid:wikidataId/Q66278313
COI2011-00-000-00000-000000-0000-000000,Total,TOT_M,103535314,Count_Person_ScheduleCaste_Male,2011,dcid:country/IND
COI2011-00-000-00000-000000-0000-000000,Rural,TOT_M,79118287,Count_Person_ScheduleCaste_Rural_Male,2011,dcid:country/IND
COI2011-00-000-00000-000000-0000-000000,Urban,TOT_M,24417027,Count_Person_ScheduleCaste_Urban_Male,2011,dcid:country/IND
COI2011-01-000-00000-000000-0000-000000,Total,TOT_M,486232,Count_Person_ScheduleCaste_Male,2011,dcid:wikidataId/Q66278313
COI2011-01-000-00000-000000-0000-000000,Rural,TOT_M,392981,Count_Person_ScheduleCaste_Rural_Male,2011,dcid:wikidataId/Q66278313
COI2011-01-000-00000-000000-0000-000000,Urban,TOT_M,93251,Count_Person_ScheduleCaste_Urban_Male,2011,dcid:wikidataId/Q66278313
COI2011-00-000-00000-000000-0000-000000,Total,TOT_F,97843058,Count_Person_ScheduleCaste_Female,2011,dcid:country/IND
COI2011-00-000-00000-000000-0000-000000,Rural,TOT_F,74732561,Count_Person_ScheduleCaste_Rural_Female,2011,dcid:country/IND
COI2011-00-000-00000-000000-0000-000000,Urban,TOT_F,23110497,Count_Person_ScheduleCaste_Urban_Female,2011,dcid:country/IND
COI2011-01-000-00000-000000-0000-000000,Total,TOT_F,438759,Count_Person_ScheduleCaste_Female,2011,dcid:wikidataId/Q66278313
COI2011-01-000-00000-000000-0000-000000,Rural,TOT_F,358045,Count_Person_ScheduleCaste_Rural_Female,2011,dcid:wikidataId/Q66278313
COI2011-01-000-00000-000000-0000-000000,Urban,TOT_F,80714,Count_Person_ScheduleCaste_Urban_Female,2011,dcid:wikidataId/Q66278313
COI2011-00-000-00000-000000-0000-000000,Total,P_06,29200565,Count_Person_ScheduleCaste_YearsUpto6,2011,dcid:country/IND
COI2011-00-000-00000-000000-0000-000000,Rural,P_06,23343585,Count_Person_ScheduleCaste_YearsUpto6_Rural,2011,dcid:country/IND
COI2011-00-000-00000-000000-0000-000000,Urban,P_06,5856980,Count_Person_ScheduleCaste_YearsUpto6_Urban,2011,dcid:country/IND
COI2011-01-000-00000-000000-0000-000000,Total,P_06,126717,Count_Person_ScheduleCaste_YearsUpto6,2011,dcid:wikidataId/Q66278313
COI2011-01-000-00000-000000-0000-000000,Rural,P_06,107719,Count_Person_ScheduleCaste_YearsUpto6_Rural,2011,dcid:wikidataId/Q66278313
COI2011-01-000-00000-000000-0000-000000,Urban,P_06,18998,Count_Person_ScheduleCaste_YearsUpto6_Urban,2011,dcid:wikidataId/Q66278313
COI2011-00-000-00000-000000-0000-000000,Total,M_06,15103366,Count_Person_ScheduleCaste_YearsUpto6_Male,2011,dcid:country/IND
COI2011-00-000-00000-000000-0000-000000,Rural,M_06,12055252,Count_Person_ScheduleCaste_YearsUpto6_Rural_Male,2011,dcid:country/IND
COI2011-00-000-00000-000000-0000-000000,Urban,M_06,3048114,Count_Person_ScheduleCaste_YearsUpto6_Urban_Male,2011,dcid:country/IND
COI2011-01-000-00000-000000-0000-000000,Total,M_06,68075,Count_Person_ScheduleCaste_YearsUpto6_Male,2011,dcid:wikidataId/Q66278313
COI2011-01-000-00000-000000-0000-000000,Rural,M_06,57871,Count_Person_ScheduleCaste_YearsUpto6_Rural_Male,2011,dcid:wikidataId/Q66278313
COI2011-01-000-00000-000000-0000-000000,Urban,M_06,10204,Count_Person_ScheduleCaste_YearsUpto6_Urban_Male,2011,dcid:wikidataId/Q66278313
COI2011-00-000-00000-000000-0000-000000,Total,F_06,14097199,Count_Person_ScheduleCaste_YearsUpto6_Female,2011,dcid:country/IND
COI2011-00-000-00000-000000-0000-000000,Rural,F_06,11288333,Count_Person_ScheduleCaste_YearsUpto6_Rural_Female,2011,dcid:country/IND
COI2011-00-000-00000-000000-0000-000000,Urban,F_06,2808866,Count_Person_ScheduleCaste_YearsUpto6_Urban_Female,2011,dcid:country/IND
COI2011-01-000-00000-000000-0000-000000,Total,F_06,58642,Count_Person_ScheduleCaste_YearsUpto6_Female,2011,dcid:wikidataId/Q66278313
COI2011-01-000-00000-000000-0000-000000,Rural,F_06,49848,Count_Person_ScheduleCaste_YearsUpto6_Rural_Female,2011,dcid:wikidataId/Q66278313
COI2011-01-000-00000-000000-0000-000000,Urban,F_06,8794,Count_Person_ScheduleCaste_YearsUpto6_Urban_Female,2011,dcid:wikidataId/Q66278313
COI2011-00-000-00000-000000-0000-000000,Total,P_LIT,113759997,Count_Person_ScheduleCaste,2011,dcid:country/IND
