key,p1,v1,p2,v2,p3,v3,p4,v4
,,,,,,,,
,,,,,,,,
POPESTIMATE2020,observationDate,2020,value,{Number},,,,
POPESTIMATE2021,observationDate,2021,value,{Number},,,,
POPESTIMATE2022,observationDate,2022,value,{Number},,,,
POPESTIMATE2023,observationDate,2023,value,{Number},,,,
POPESTIMATE2024,observationDate,2024,value,{Number},,,,
POPESTIMATE2025,observationDate,2025,value,{Number},,,,
POPESTIMATE2026,observationDate,2026,value,{Number},,,,
POPESTIMATE2027,observationDate,2027,value,{Number},,,,
POPESTIMATE2028,observationDate,2028,value,{Number},,,,
,,,,,,,,
SEX:0,gender,"""""",,,,,,
SEX:1,gender,Male,,,,,,
SEX:2,gender,Female,,,,,,
,,,,,,,,
ORIGIN:0,ethnicity,"""""",,,,,,
ORIGIN:1,ethnicity,NotHispanicOrLatino,,,,,,
ORIGIN:2,ethnicity,HispanicOrLatino,,,,,,
,,,,,,,,
RACE:1,race,WhiteAlone,,,,,,
RACE:2,race,BlackOrAfricanAmericanAlone,,,,,,
RACE:3,race,AmericanIndianAndAlaskaNativeAlone,,,,,,
RACE:4,race,AsianAlone,,,,,,
RACE:5,race,NativeHawaiianAndOtherPacificIslanderAlone,,,,,,
RACE:6,race,TwoOrMoreRaces,,,,,,
,,,,,,,,
AGE,age,[{Number} Years],,,#Aggregate,sum,,
,,,,,,,,
STATE,#Format,observationAbout=geoId/{Number:02d},populationType,Person,measuredProperty,count,measurementMethod,CensusPEPSurvey_Race2000Onwards
DIVISION,age,"""""",,,,,,
