observationAbout,observationDate,value,variableMeasured,unit,scalingFactor,measurementMethod,observationPeriod
country/USA,2011,63212,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentMastersDegree_Male,,,,
country/USA,2011,1.5,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentBachelorsDegree_Male_TwoOrMoreRaces_AsAFractionOf_Count_Person_EducationalAttainmentBachelorsDegree_Male,Percent,100,,
country/USA,2011,656,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainment9ThTo12ThGradeNoDiploma_Female_AsianOrPacificIslander,,,,
country/USA,2011,1173,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentCollegeGraduate_Female_AmericanIndianOrAlaskaNativeAlone,,,,
country/USA,2011,12.8,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentDoctorateDegree_Asian_AsAFractionOf_Count_Person_EducationalAttainmentDoctorateDegree,Percent,100,,
country/USA,2011,9665,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainment9ThTo12ThGradeNoDiploma_Black,,,,
country/USA,2011,11067,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentDoctorateDegree_WhiteAlone,,,,
country/USA,2011,5.3,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainment9ThTo12ThGradeNoDiploma_Female_Asian_AsAFractionOf_Count_Person_EducationalAttainment9ThTo12ThGradeNoDiploma_Female,Percent,100,,
country/USA,2011,254,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentAssociatesDegree_Female_AmericanIndianOrAlaskaNativeAlone,,,,
country/USA,2011,1.3,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainment9ThTo12ThGradeNoDiploma_Male_AmericanIndianOrAlaskaNativeAlone_AsAFractionOf_Count_Person_EducationalAttainment9ThTo12ThGradeNoDiploma_Male,Percent,100,,
country/USA,2011,33,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentDoctorateDegree_Male_AmericanIndianOrAlaskaNativeAlone,,,,
country/USA,2011,34932,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentBachelorsDegree_Asian,,,,
country/USA,2011,70.8,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentMastersDegree_Male_WhiteAlone_AsAFractionOf_Count_Person_EducationalAttainmentMastersDegree_Male,Percent,100,,
country/USA,2011,12.8,Count_Person_BachelorOfScienceOrTechnologyOrEngineeringOrMathematics_EducationalAttainmentBachelorsDegree_Asian_AsAFractionOf_Count_Person_EducationalAttainmentBachelorsDegree,Percent,100,,
