key,,,,,,,,
Level of institution and type of aid received,populationType,Student,observationAbout,country/USA,observationDate,2021,,
,,,,,,,,
All institutions,institutionControl,InstitutionAll,#Header,institutionControl,,,,
Public,institutionControl,InstitutionControlPublic,#Header,institutionControl,,,,
Nonprofit,institutionControl,InstitutionControlPrivateNonProfit,#Header,institutionControl,,,,
For-profit,institutionControl,InstitutionControlPrivateForProfit,#Header,institutionControl,,,,
,,,,,,,,
All institutions (cohort years 2018 and,institutionLevel,AllInstitution,#Header,institutionLevel,,,,
4-year institutions,institutionLevel,FourYearInstitution,#Header,institutionLevel,,,,
4-year bachelor's cohort,institutionLevel,FourYearBachelorsCohort,#Header,institutionLevel,,,,
4-year other than bachelor's cohort,institutionLevel,FourYearOtherThanBachelorsCohort,#Header,institutionLevel,,,,
2-year institutions,institutionLevel,TwoYearInstitution,#Header,institutionLevel,,,,
Less-than-2-year institutions,institutionLevel,LessThanTwoYearInstitution,#Header,institutionLevel,,,,
,,,,,,,,
All students,educationAid,AllStudents,,,,,,
Received Pell Grant,educationAid,PellGrant,,,,,,
Received Direct Subsidized Loan,educationAid,SubsidizedLoan,,,,,,
Received neither a Pell Grant nor a Direct Subsidized Loan,educationAid,NoGrant,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Received an award,measuredProperty,count,statType,measuredValue,value,{Number},institutionType,Received
Graduation rate,measuredProperty,percent,statType,measuredValue,value,{Number},institutionType,Graduation
Adjusted cohort,measuredProperty,count,statType,measuredValue,value,{Number},institutionType,Adjusted
