National Center for Education Statistics,,,,,,,,,,,,,,,,
Table 2.,"Number of full-time, first-time degree/certificate-seeking undergraduate students in the adjusted cohort, number receiving an award, and graduation rate within 150 percent of normal program completion time at Title IV institutions, by control of institution, level of institution, and type of aid received: United States, cohort years 2018 and 2021",,,,,,,,,,,,,,,
Level of institution and type of aid received,,,,,,,,,,Private,,,,,,
,,All institutions,,,,Public,,,,Nonprofit,,,,For-profit,,
,,"Adjusted 
cohort",Received an award,"Graduation 
rate",,"Adjusted 
cohort",Received an award,"Graduation 
rate",,"Adjusted 
cohort",Received an award,"Graduation 
rate",,"Adjusted 
cohort",Received an award,"Graduation 
rate"
,,,,,,,,,,,,,,,,
"All institutions (cohort years 2018 and 
     2021)",,,,,,,,,,,,,,,,
All students,,"2,509,637","1,444,019",57.5,,"1,710,439","915,701",53.5,,"533,997","360,401",67.5,,"265,201","167,917",63.3
Received Pell Grant,,"1,039,731","507,709",48.8,,"685,578","300,548",43.8,,"173,831","95,910",55.2,,"180,322","111,251",61.7
"Received Direct Subsidized Loan, but not a 
     Pell Grant",,"343,849","221,424",64.4,,"198,005","119,468",60.3,,"117,680","81,368",69.1,,"28,164","20,588",73.1
"Received neither a Pell Grant nor a Direct 
     Subsidized Loan",,"1,126,057","714,886",63.5,,"826,856","495,685",59.9,,"242,486","183,123",75.5,,"56,715","36,078",63.6
,,,,,,,,,,,,,,,,
4-year institutions (cohort year 2018),,,,,,,,,,,,,,,,
All students,,"1,825,647","1,112,922",61.0,,"1,266,427","746,339",58.9,,"510,260","345,569",67.7,,"48,960","21,014",42.9
Received Pell Grant,,"661,340","324,890",49.1,,"472,609","226,470",47.9,,"156,784","85,335",54.4,,"31,947","13,085",41.0
"Received Direct Subsidized Loan, but not a 
     Pell Grant",,"300,337","195,050",64.9,,"179,468","112,190",62.5,,"116,034","80,188",69.1,,"4,835","2,672",55.3
"Received neither a Pell Grant nor a Direct 
     Subsidized Loan",,"863,970","592,982",68.6,,"614,350","407,679",66.4,,"237,442","180,046",75.8,,"12,178","5,257",43.2
,,,,,,,,,,,,,,,,
"4-year bachelor's cohort (cohort year 
     2018)",,,,,,,,,,,,,,,,
All students,,"1,565,532","1,020,639",65.2,,"1,052,238","676,100",64.3,,"490,683","336,515",68.6,,"22,611","8,024",35.5
Received Pell Grant,,"524,234","279,710",53.4,,"364,638","194,572",53.4,,"146,424","81,118",55.4,,"13,172","4,020",30.5
"Received Direct Subsidized Loan, but not a 
     Pell Grant",,"283,949","187,914",66.2,,"168,573","108,392",64.3,,"112,960","78,386",69.4,,"2,416","1,136",47.0
"Received neither a Pell Grant nor a Direct 
     Subsidized Loan",,"757,349","553,015",73.0,,"519,027","373,136",71.9,,"231,299","177,011",76.5,,"7,023","2,868",40.8
,,,,,,,,,,,,,,,,
"4-year other than bachelor's cohort (cohort
     year 2018)",,,,,,,,,,,,,,,,
All students,,"260,115","92,283",35.5,,"214,189","70,239",32.8,,"19,577","9,054",46.2,,"26,349","12,990",49.3
Received Pell Grant,,"137,106","45,180",33.0,,"107,971","31,898",29.5,,"10,360","4,217",40.7,,"18,775","9,065",48.3
"Received Direct Subsidized Loan, but not a 
     Pell Grant",,"16,388","7,136",43.5,,"10,895","3,798",34.9,,"3,074","1,802",58.6,,"2,419","1,536",63.5
"Received neither a Pell Grant nor a Direct 
     Subsidized Loan",,"106,621","39,967",37.5,,"95,323","34,543",36.2,,"6,143","3,035",49.4,,"5,155","2,389",46.3
,,,,,,,,,,,,,,,,
2-year institutions (cohort year 2021),,,,,,,,,,,,,,,,
All students,,"546,417","233,174",42.7,,"426,093","156,443",36.7,,"19,178","11,368",59.3,,"101,146","65,363",64.6
Received Pell Grant,,"288,623","119,979",41.6,,"205,180","68,030",33.2,,"14,521","8,721",60.1,,"68,922","43,228",62.7
"Received Direct Subsidized Loan, but not a 
     Pell Grant",,"30,828","16,354",53.0,,"17,594","6,556",37.3,,"1,352",940,69.5,,"11,882","8,858",74.5
"Received neither a Pell Grant nor a Direct 
     Subsidized Loan",,"226,966","96,841",42.7,,"203,319","81,857",40.3,,"3,305","1,707",51.6,,"20,342","13,277",65.3
,,,,,,,,,,,,,,,,
"Less-than-2-year institutions (cohort year 
     2021)",,,,,,,,,,,,,,,,
All students,,"137,573","97,923",71.2,,"17,919","12,919",72.1,,"4,559","3,464",76.0,,"115,095","81,540",70.8
Received Pell Grant,,"89,768","62,840",70.0,,"7,789","6,048",77.6,,"2,526","1,854",73.4,,"79,453","54,938",69.1
"Received Direct Subsidized Loan, but not a 
     Pell Grant",,"12,684","10,020",79.0,,943,722,76.6,,294,240,81.6,,"11,447","9,058",79.1
"Received neither a Pell Grant nor a Direct 
     Subsidized Loan",,"35,121","25,063",71.4,,"9,187","6,149",66.9,,"1,739","1,370",78.8,,"24,195","17,544",72.5
"NOTE: Title IV institutions are those with a written agreement with the U.S. Department of Education that allows the institution to participate in any of the Title IV federal student financial assistance programs. United States includes the 50 states and the District of Columbia. The U.S. Naval Academy, the U.S. Military Academy, the U.S. Coast Guard Academy, and the U.S. Air Force Academy are not Title IV eligible but are included in the Integrated Postsecondary Education Data System (IPEDS) universe because they are federally funded and open to the public; they are included in this table. The U.S. Merchant Marine Academy is Title IV eligible and is also included in this table. The graduation rate was calculated as required for disclosure and reporting purposes under the Student Right-to-Know Act. This rate was calculated no later than August 31, 2024 as the total number of completers within 150 percent of normal time (e.g., ""normal"" program completion time for a bachelor's degree would be 4 years) at the same institution where the student started divided by the adjusted cohort (revised cohort minus any allowable exclusions). For institutions following a semester, trimester, 4-1-4, or other academic year calendar system, the revised cohort is the number of students entering the institution as full-time, first-time degree- or certificate-seeking undergraduates in the fall of the cohort year. For institutions following calendars that differ by program or allow continuous enrollment, the revised cohort is the number of students entering the institution as full-time, first-time degree- or certificate-seeking undergraduates from September 1 of the cohort year through August 31 of the following year. Allowable exclusions include those students who died or were totally and permanently disabled; students who left school to serve in the armed forces (or have been called up to active duty); those who left to serve with a foreign aid service of the federal government, such as the Peace Corps; and those who left to serve on official church missions. Definitions for terms used in IPEDS may be found in the online glossary located at https://surveys.nces.ed.gov/ipeds/public/glossary. The glossary is primarily focused on terms used in the current IPEDS collection and may not reflect the definitions in effect when the data in this table were collected.",,,,,,,,,,,,,,,,
"SOURCE: U.S. Department of Education, National Center for Education Statistics, IPEDS, Winter 2024–25, Graduation Rates component (provisional data).",,,,,,,,,,,,,,,,
