MI:0004: AffinityChromatographyTechnology
MI:0006: AntiBaitCoimmunoprecipitation
MI:0007: AntiTagCoimmunoprecipitation
MI:0008: ArrayTechnology
MI:0009: BacterialDisplay
MI:0010: BetaGalactosidaseComplementation
MI:0011: BetaLactamaseComplementation
MI:0012: BioluminescenceResonanceEnergyTransfer
MI:0013: Biophysical
MI:0014: AdenylateCyclaseComplementation
MI:0016: CircularDichroism
MI:0017: ClassicalFluorescenceSpectroscopy
MI:0018: TwoHybrid
MI:0019: Coimmunoprecipitation
MI:0020: TransmissionElectronMicroscopy
MI:0024: ConfirmationalTextMining
MI:0026: CorrelatedMutations
MI:0027: Cosedimentation
MI:0028: CosedimentationInSolution
MI:0029: CosedimentationThroughDensityGradient
MI:0030: CrossLinkingStudy
MI:0031: ProteinCrossLinkingWithABifunctionalReagent
MI:0034: DisplayTechnology
MI:0035: Docking
MI:0036: DomainFusion
MI:0037: DomainProfilePairs
MI:0038: DynamicLightScattering
MI:0040: ElectronMicroscopy
MI:0041: ElectronNuclearDoubleResonance
MI:0042: ElectronParamagneticResonance
MI:0043: ElectronResonance
MI:0045: ExperimentalInteractionDetection
MI:0046: ExperimentalKnowledgeBased
MI:0047: FarWesternBlotting
MI:0048: FilamentousPhageDisplay
MI:0049: FilterBinding
MI:0051: FluorescenceTechnology
MI:0052: FluorescenceCorrelationSpectroscopy
MI:0053: FluorescencePolarizationSpectroscopy
MI:0054: FluorescenceActivatedCellSorting
MI:0055: FluorescentResonanceEnergyTransfer
MI:0057: GeneNeighbourhood
MI:0058: GenomeBasedPrediction
MI:0063: InteractionPrediction
MI:0064: InterologsMapping
MI:0065: IsothermalTitrationCalorimetry
MI:0066: LambdaPhageDisplay
MI:0067: LightScattering
MI:0069: MassSpectrometryStudiesOfComplexes
MI:0071: MolecularSieving
MI:0073: MrnaDisplay
MI:0077: NuclearMagneticResonance
MI:0081: PeptideArray
MI:0084: PhageDisplay
MI:0085: PhylogeneticProfile
MI:0087: PredictiveTextMining
MI:0089: ProteinArray
MI:0090: ProteinComplementationAssay
MI:0091: ChromatographyTechnology
MI:0092: ProteinInSituArray
MI:0095: ProteinchipROnASurfaceEnhancedLaserDesorptionIonization
MI:0096: PullDown
MI:0097: ReverseRasRecruitmentSystem
MI:0098: RibosomeDisplay
MI:0099: ScintillationProximityAssay
MI:0100: SequenceBasedPhylogeneticProfile
MI:0101: SequenceBasedPrediction
MI:0104: StaticLightScattering
MI:0105: StructureBasedPrediction
MI:0107: SurfacePlasmonResonance
MI:0108: T7PhageDisplay
MI:0110: TextMining
MI:0111: DihydrofolateReductaseReconstruction
MI:0112: UbiquitinReconstruction
MI:0114: XRayCrystallography
MI:0115: YeastDisplay
MI:0192: AcetylationReaction
MI:0193: AmidationReaction
MI:0194: CleavageReaction
MI:0195: CovalentBinding
MI:0197: DeacetylationReaction
MI:0198: DefarnesylationReaction
MI:0199: DeformylationReaction
MI:0200: DegeranylationReaction
MI:0201: DemyristoylationReaction
MI:0202: DepalmitoylationReaction
MI:0203: DephosphorylationReaction
MI:0204: DeubiquitinationReaction
MI:0206: FarnesylationReaction
MI:0207: FormylationReaction
MI:0208: GeneticInteraction
MI:0209: GeranylgeranylationReaction
MI:0210: HydroxylationReaction
MI:0211: LipidAddition
MI:0212: LipoproteinCleavageReaction
MI:0213: MethylationReaction
MI:0214: MyristoylationReaction
MI:0216: PalmitoylationReaction
MI:0217: PhosphorylationReaction
MI:0220: UbiquitinationReaction
MI:0225: ChromatinImmunoprecipitationArray
MI:0226: IonExchangeChromatography
MI:0227: ReversePhaseChromatography
MI:0231: MammalianProteinProteinInteractionTrap
MI:0232: TranscriptionalComplementationAssay
MI:0246: Cabri
MI:0248: Resid
MI:0249: Huge
MI:0254: GeneticInterference
MI:0255: PostTranscriptionalInterference
MI:0256: RnaInterference
MI:0257: AntisenseRna
MI:0276: BlueNativePage
MI:0362: Inference
MI:0363: InferredByAuthor
MI:0364: InferredByCurator
MI:0369: LexADimerizationAssay
MI:0370: ToxRDimerizationAssay
MI:0397: TwoHybridArray
MI:0398: TwoHybridPoolingApproach
MI:0399: TwoHybridFragmentPoolingApproach
MI:0400: AffinityTechnology
MI:0401: Biochemical
MI:0402: ChromatinImmunoprecipitationAssay
MI:0403: Colocalization
MI:0404: ComigrationInNonDenaturingGelElectrophoresis
MI:0405: CompetitionBinding
MI:0406: DeacetylaseAssay
MI:0407: DirectInteraction
MI:0408: DisulfideBond
MI:0410: 3DElectronMicroscopy
MI:0411: EnzymeLinkedImmunosorbentAssay
MI:0412: ElectrophoreticMobilitySupershiftAssay
MI:0413: ElectrophoreticMobilityShiftAssay
MI:0414: EnzymaticReaction
MI:0415: EnzymaticStudy
MI:0416: FluorescenceMicroscopy
MI:0417: Footprinting
MI:0419: GtpaseAssay
MI:0420: KinaseHomogeneousTimeResolvedFluorescence
MI:0423: InGelKinaseAssay
MI:0424: ProteinKinaseAssay
MI:0425: KinaseScintillationProximityAssay
MI:0426: LightMicroscopy
MI:0428: ImagingTechnique
MI:0430: NucleicAcidUvCrossLinkingAssay
MI:0432: OneHybrid
MI:0434: PhosphataseAssay
MI:0435: ProteaseAssay
MI:0437: ProteinThreeHybrid
MI:0438: RnaThreeHybrid
MI:0439: RandomSporeAnalysis
MI:0440: SaturationBinding
MI:0441: SyntheticGeneticAnalysis
MI:0445: LiteratureDatabase
MI:0446: Pubmed
MI:0447: FeatureDatabase
MI:0448: GeneOntology
MI:0449: Interpro
MI:0450: Cdd
MI:0451: Pfam
MI:0452: Pirsf
MI:0453: Prints
MI:0454: Prodom
MI:0455: Prosite
MI:0456: ScopSuperfamily
MI:0457: Smart
MI:0458: Tigrfams
MI:0459: Mmdb
MI:0460: RcsbPdb
MI:0461: InteractionDatabase
MI:0462: Bind
MI:0463: Biogrid
MI:0464: Cygd
MI:0465: Dip
MI:0466: Ecocyc
MI:0467: Reactome
MI:0468: Hprd
MI:0469: Intact
MI:0470: Kegg
MI:0471: Mint
MI:0472: Pdbe
MI:0473: ParticipantDatabase
MI:0474: Chebi
MI:0475: DdbjEmblGenbank
MI:0476: Ensembl
MI:0477: EntrezGeneLocuslink
MI:0478: Flybase
MI:0479: MgdMgi
MI:0480: Omim
MI:0481: Refseq
MI:0482: Rfam
MI:0483: Rgd
MI:0484: Sgd
MI:0485: Uniparc
MI:0486: UniprotKnowledgeBase
MI:0487: Wormbase
MI:0488: PsiMi
MI:0489: SourceDatabase
MI:0508: DeacetylaseRadiometricAssay
MI:0509: PhosphataseHomogeneousTimeResolvedFluorescence
MI:0510: HomogeneousTimeResolvedFluorescence
MI:0511: ProteaseHomogeneousTimeResolvedFluorescence
MI:0512: Zymography
MI:0513: CollagenFilmAssay
MI:0514: InGelPhosphataseAssay
MI:0515: MethyltransferaseAssay
MI:0516: MethyltransferaseRadiometricAssay
MI:0556: TransglutaminationReaction
MI:0557: AdpRibosylationReaction
MI:0558: DeglycosylationReaction
MI:0559: GlycosylationReaction
MI:0566: SumoylationReaction
MI:0567: NeddylationReaction
MI:0568: DesumoylationReaction
MI:0569: DeneddylationReaction
MI:0570: ProteinCleavage
MI:0571: MrnaCleavage
MI:0572: DnaCleavage
MI:0574: DigitalObjectIdentifier
MI:0575: AllianceForCellularSignaling
MI:0585: Intenz
MI:0588: ThreeHybrid
