key,prop,val,,,,
Year,observationDate,{Number},populationType,MedicalConditionIncident

Sex Code:1,gender,Female,observationAbout,country/USA
Sex Code:2,gender,Male,observationAbout,country/USA
Sex Code:99,gender,CDC_GenderUnknownOrNotStated,observationAbout,country/USA
Race Code:1,race,AmericanIndianAndAlaskaNativeAlone,observationAbout,country/USA
Race Code:2,race,AsianOrPacificIslander,observationAbout,country/USA
Race Code:3,race,BlackOrAfricanAmericanAlone,observationAbout,country/USA
Race Code:4,race,WhiteAlone,observationAbout,country/USA
Race Code:5,race,CDC_OtherRace,observationAbout,country/USA
Race Code:99,race,CDC_RaceUnknownOrNotStated,observationAbout,country/USA
Race Code:98,#ignore,suppressed data,,

Ethnicity Code:1,ethnicity,HispanicOrLatino,observationAbout,country/USA
Ethnicity Code:non-,ethnicity,NotHispanicOrLatino,observationAbout,country/USA
Ethnicity Code:99,ethnicity,CDC_EthnicityUnknownOrNotStated,observationAbout,country/USA
Ethnicity Code:98,#ignore,suppressed data
Regions Code:U.S.,residentStatus,USResident,observationAbout,country/USA
Regions Code:REGION1,#ignore,unsupported place grouping,
Regions Code:REGION2,#ignore,unsupported place grouping,
Regions Code:REGION3,#ignore,unsupported place grouping,
Regions Code:REGION4,#ignore,unsupported place grouping,
Regions Code:REGION5,#ignore,unsupported place grouping,
Regions Code:REGION6,#ignore,unsupported place grouping,
Regions Code:REGION7,#ignore,unsupported place grouping,
Regions Code:REGION8,#ignore,unsupported place grouping,
Regions Code:REGION9,#ignore,unsupported place grouping,
Regions Code:REGION10,#ignore,unsupported place grouping,
Regions Code:REGION11,residentStatus,NonUSResident,observationAbout,country/USA

Case Count,value,{Number},measurementMethod,CDC_NNDSS_Diseases_AnnualTables,observationPeriod,P1Y
Disease Code:10591,medicalCondition,HaemophilusInfluenzae__InvasiveDisease,age,YearsUpto5,serotype,SerotypeB
Disease Code:10593,medicalCondition,HaemophilusInfluenzae__InvasiveDisease,age,YearsUpto5,serotype,NonSerotypeB
Disease Code:10592,medicalCondition,HaemophilusInfluenzae__InvasiveDisease,age,YearsUpto5,serogroup,OtherSerogroups
Disease Code:10597,medicalCondition,HaemophilusInfluenzae__InvasiveDisease,age,YearsUpto5,serotype,UnknownSerotype
Disease Code:11722,medicalCondition,StreptococcusPneumonia,age,YearsUpto5,,
Disease Code:50232,medicalCondition,StreptococcusPneumonia,medicalStatus,ConfirmedCase,age,YearsUpto5
Disease Code:50233,medicalCondition,StreptococcusPneumonia,medicalStatus,ProbableCase,age,YearsUpto5

"Ala.",observationAbout,"geoId/01",
"Alabama",observationAbout,"geoId/01",
"Alaska",observationAbout,"geoId/02",
"Amer. Samoa",observationAbout,"geoId/60",
"American Samoa",observationAbout,"geoId/60",
"Ariz.",observationAbout,"geoId/04",
"Arizona",observationAbout,"geoId/04",
"Ark.",observationAbout,"geoId/05",
"Arkansas",observationAbout,"geoId/05",
"C.N.M.I.",observationAbout,"geoId/69",
"Calif.",observationAbout,"geoId/06",
"California",observationAbout,"geoId/06",
"Colo.",observationAbout,"geoId/08",
"Colorado",observationAbout,"geoId/08",
"Commonwealth of Northern Mariana Islands",observationAbout,"geoId/69",
"Commonwealth of the Northern Mariana Islands",observationAbout,"geoId/69",
"Conn.",observationAbout,"geoId/09",
"Connecticut",observationAbout,"geoId/09",
"D.C.",observationAbout,"geoId/11",
"Del.",observationAbout,"geoId/10",
"Delaware",observationAbout,"geoId/10",
"District of Columbia",observationAbout,"geoId/11",
"E.N. CENTRAL",observationAbout,"usc/EastNorthCentralDivision",
"E.S. CENTRAL",observationAbout,"usc/EastSouthCentralDivision",
"East North Central",observationAbout,"usc/EastNorthCentralDivision",
"East South Central",observationAbout,"usc/EastSouthCentralDivision",
"Fla.",observationAbout,"geoId/12",
"Florida",observationAbout,"geoId/12",
"Ga.",observationAbout,"geoId/13",
"Georgia",observationAbout,"geoId/13",
"Guam",observationAbout,"geoId/66",
"Hawaii",observationAbout,"geoId/15",
"Idaho",observationAbout,"geoId/16",
"Ill.",observationAbout,"geoId/17",
"Illinois",observationAbout,"geoId/17",
"Ind.",observationAbout,"geoId/18",
"Indiana",observationAbout,"geoId/18",
"Iowa",observationAbout,"geoId/19",
"Kans.",observationAbout,"geoId/20",
"Kansas",observationAbout,"geoId/20",
"Kentucky",observationAbout,"geoId/21",
"Ky.",observationAbout,"geoId/21",
"La.",observationAbout,"geoId/22",
"Louisiana",observationAbout,"geoId/22",
"MID. ATLANTIC",observationAbout,"usc/MiddleAtlanticDivision",
"MOUNTAIN",observationAbout,"usc/MountainDivision",
"Maine",observationAbout,"geoId/23",
"Maryland",observationAbout,"geoId/24",
"Mass.",observationAbout,"geoId/25",
"Massachusetts",observationAbout,"geoId/25",
"Md.",observationAbout,"geoId/24",
"Mich.",observationAbout,"geoId/26",
"Michigan",observationAbout,"geoId/26",
"Middle Atlantic",observationAbout,"usc/MiddleAtlanticDivision",
"Minn.",observationAbout,"geoId/27",
"Minnesota",observationAbout,"geoId/27",
"Miss.",observationAbout,"geoId/28",
"Mississippi",observationAbout,"geoId/28",
"Missouri",observationAbout,"geoId/29",
"Mo.",observationAbout,"geoId/29",
"Mont.",observationAbout,"geoId/30",
"Montana",observationAbout,"geoId/30",
"Mountain",observationAbout,"usc/MountainDivision",
"N. Dak.",observationAbout,"geoId/38",
"N. Mex.",observationAbout,"geoId/35",
"N.C.",observationAbout,"geoId/37",
"N.H.",observationAbout,"geoId/33",
"N.J.",observationAbout,"geoId/34",
"NEW ENGLAND",observationAbout,"usc/NewEnglandDivision",
"Nebr.",observationAbout,"geoId/31",
"Nebraska",observationAbout,"geoId/31",
"Nev.",observationAbout,"geoId/32",
"Nevada",observationAbout,"geoId/32",
"New England",observationAbout,"usc/NewEnglandDivision",
"New Hampshire",observationAbout,"geoId/33",
"New Jersey",observationAbout,"geoId/34",
"New Mexico",observationAbout,"geoId/35",
"New York",observationAbout,"geoId/36",
"Non-U.S. Residents",#ignore,unsupported place grouping,
"North Carolina",observationAbout,"geoId/37",
"North Dakota",observationAbout,"geoId/38",
"Ohio",observationAbout,"geoId/39",
"Okla.",observationAbout,"geoId/40",
"Oklahoma",observationAbout,"geoId/40",
"Oreg.",observationAbout,"geoId/41",
"Oregon",observationAbout,"geoId/41",
"P.R.",observationAbout,"geoId/72",
"PACIFIC",observationAbout,"usc/PacificDivision",
"Pa.",observationAbout,"geoId/42",
"Pacific",observationAbout,"usc/PacificDivision",
"Pennsylvania",observationAbout,"geoId/42",
"Puerto Rico",observationAbout,"geoId/72",
"R.I.",observationAbout,"geoId/44",
"Republic of Palau",observationAbout,"country/PLW",
"Republic of the Marshall Islands",observationAbout,"country/MHL",
"Rhode Island",observationAbout,"geoId/44",
"S. ATLANTIC",observationAbout,"usc/SouthAtlanticDivision",
"S. Dak.",observationAbout,"geoId/46",
"S.C.",observationAbout,"geoId/45",
"South Atlantic",observationAbout,"usc/SouthAtlanticDivision",
"South Carolina",observationAbout,"geoId/45",
"South Dakota",observationAbout,"geoId/46",
"Tenn.",observationAbout,"geoId/47",
"Tennessee",observationAbout,"geoId/47",
"Tex.",observationAbout,"geoId/48",
"Texas",observationAbout,"geoId/48",
"U.S. Residents",#ignore,unsupported place grouping,
"U.S. Residents, excluding U.S. Territories",#ignore,unsupported place grouping,,
"U.S. Territories",#ignore,unsupported place grouping,
"U.S. Virgin Islands",observationAbout,"geoId/78",,
"US Virgin Islands",observationAbout,"geoId/78",
"United States",observationAbout,"country/USA",
"Utah",observationAbout,"geoId/49",
"V.I.",observationAbout,"geoId/78",
"Va.",observationAbout,"geoId/51",
"Vermont",observationAbout,"geoId/50",
"Virginia",observationAbout,"geoId/51",
"Vt.",observationAbout,"geoId/50",
"W. Va.",observationAbout,"geoId/54",
"W.N. CENTRAL",observationAbout,"usc/WestNorthCentralDivision",
"W.S. CENTRAL",observationAbout,"usc/WestSouthCentralDivision",
"Wash.",observationAbout,"geoId/53",
"Washington",observationAbout,"geoId/53",
"Washington DC",observationAbout,"geoId/11001",
"West North Central",observationAbout,"usc/WestNorthCentralDivision",
"West South Central",observationAbout,"usc/WestSouthCentralDivision",
"West Virginia",observationAbout,"geoId/54",
"Wis.",observationAbout,"geoId/55",
"Wisconsin",observationAbout,"geoId/55",
"Wyo.",observationAbout,"geoId/56",
"Wyoming",observationAbout,"geoId/56"
"New York (excluding New York City)",#ignore,unsupported place
"New York City",#ignore,unsupported place
