key,p1,v1,p2,v2,p3,v3,p4,v4,p5,v5
By Notifiable Disease Group(2),observationAbout,country/KOR,populationType,MedicalConditionIncident,measuredProperty,count,,,,
Male,gender,Male,,,,,,,,
Female,gender,Female,,,,,,,,
Total,populationType,MedicalConditionIncident,,,,,,,,
0-9 Years Old,age,[0 9 Years],,,,,,,,
10~19,age,[10 19 Years],,,,,,,,
20~29,age,[20 29 Years],,,,,,,,
30-39,age,[30 39 Years],,,,,,,,
40-49,age,[40 49 Years],,,,,,,,
50-59,age,[50 59 Years],,,,,,,,
60-69,age,[60 69 Years],,,,,,,,
70 Years and Over,age,[70 - Years],,,,,,,,
Cholera,medicalCondition,Cholera,,,,,,,,
Typhoid Fever,medicalCondition,TyphoidFever,,,,,,,,
Paratyphoid Fever,medicalCondition,ParatyphoidFever,,,,,,,,
Shigellosis,medicalCondition,Shigellosis,,,,,,,,
Enterohemorrhagic Escherichia Coli Infection,medicalCondition,EnterohemorrhagicEscherichiaColiInfection,,,,,,,,
Hepatitis A,medicalCondition,HepatitisA,,,,,,,,
Diphtheria,medicalCondition,Diphtheria,,,,,,,,
Pertussis,medicalCondition,Pertussis,,,,,,,,
Tetanus,medicalCondition,Tetanus,,,,,,,,
Measles,medicalCondition,Measles,,,,,,,,
Mumps,medicalCondition,Mumps,,,,,,,,
Rubella,medicalCondition,Rubella,,,,,,,,
Poliomyelitis,medicalCondition,Poliomyelitis,,,,,,,,
Hepatitis B (Acute),medicalCondition,HepatitisBAcute,,,,,,,,
Hepatitis B (HBsAg positive maternity),populationType,PregnantWoman,medicalCondition,HepatitisB,,,,,,
Hepatitis B (Perinatal),medicalCondition,HepatitisBPerinatal,,,,,,,,
Japanese Encephaltis,medicalCondition,JapaneseEncephalitis,,,,,,,,
Varicella,medicalCondition,Varicella,,,,,,,,
Haemophilus influenzae type b,medicalCondition,HaemophilusInfluenzaeTypeB,,,,,,,,
Streptococcus pneumoniae,medicalCondition,StreptococcusPneumoniae,,,,,,,,
Malaria,medicalCondition,Malaria,,,,,,,,
