National Center for Education Statistics,,,,,,,,,,,,,,,,
"Table 20. Number of full-time, first-time degree/certificate-seeking undergraduate students in the adjusted cohort, number of completers, and graduation rate within 150 percent of normal program completion time at Title IV institutions, by control of institution, level of institution, and type of aid received: United States, cohort years 2012 and 2015",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Level of institution and type of aid received,,,,,,,,,,Private,,,,,,
,,All institutions,,,,Public,,,,Nonprofit,,,,For-profit,,
,,Adjusted cohort,Completers,Graduation rate,,Adjusted cohort,Completers,Graduation rate,,Adjusted cohort,Completers,Graduation rate,,Adjusted cohort,Completers,Graduation rate
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
All students,,"147,190","101,390",68.9,,"16,587","11,858",71.5,,"6,322","4,693",74.2,,"124,281","84,839",68.3
Received Pell Grant,,"101,577","70,065",69,,"8,531","6,446",75.6,,"4,453","3,370",75.7,,"88,593","60,249",68
"Received Direct Subsidized Loan, but not a     Pell Grant",,"13,269","9,898",74.6,,860,700,81.4,,355,272,76.6,,"12,054","8,926",74.1
Received neither a Pell Grant or a Direct     Subsidized Loan,,"32,344","21,427",66.2,,"7,196","4,712",65.5,,"1,514","1,051",69.4,,"23,634","15,664",66.3
"NOTE: Title IV institutions are those with a written agreement with the U.S. Department of Education that allows the institution to participate in any of the Title IV federal student financial assistance programs. United States includes the 50 states and the District of Columbia. The four U.S. service academies that are not Title IV eligible are included in the Integrated Postsecondary Education Data System (IPEDS) universe because they are federally funded and open to the public and are included in this table. The graduation rate was calculated as required for disclosure and reporting purposes under the Student Right-to-Know Act. This rate was calculated as the total number of completers within 150 percent of normal time (e.g. ""normal"" program completion time for a bachelor's degree would be 4 years) at the same institution where the student started divided by the adjusted cohort (revised cohort minus any allowable exclusions). The revised cohort is the number of students entering the institution as full-time, first-time degree- or certificate-seeking undergraduates in the reference year. Allowable exclusions include those students who died or were totally and permanently disabled; students who left school to serve in the armed forces (or have been called up to active duty); those who left to serve with a foreign aid service of the federal government, such as the Peace Corps; and those who left to serve on official church missions. Definitions for terms used in this table may be found in the collection year’s archived downloadable glossary located at https://nces.ed.gov/ipeds/use-the-data/annual-survey-forms-packages-archived?year=2018.",,,,,,,,,,,,,,,,
"SOURCE: U.S. Department of Education, National Center for Education Statistics, IPEDS, Winter 2018–19, Graduation Rates component (final data).",,,,,,,,,,,,,,,,
