key,p1,v1,p2,v2,p3,v3,,
Level of institution and type of aid received,populationType,Student,observationAbout,country/USA,observationDate,2015,,
,,,,,,,,
All institutions,institutionControl,InstitutionAll,#Header,institutionControl,,,,
Public,institutionControl,InstitutionControlPublic,#Header,institutionControl,,,,
Nonprofit,institutionControl,InstitutionControlPrivateNonProfit,#Header,institutionControl,,,,
For-profit,institutionControl,InstitutionControlPrivateForProfit,#Header,institutionControl,,,,
,,,,,,,,
All students,educationAid,AllStudents,,,,,,
Received Pell Grant,educationAid,PellGrant,,,,,,
Received Direct Subsidized Loan,educationAid,SubsidizedLoan,,,,,,
Received neither a Pell Grant nor a Direct Subsidized Loan,educationAid,NoGrant,,,,,,
,,,,,,,,
Completers,measuredProperty,count,statType,measuredValue,value,{Number},institutionType,Received
Graduation rate,measuredProperty,percent,statType,measuredValue,value,{Number},institutionType,GraduationRate
Adjusted cohort,measuredProperty,count,statType,measuredValue,value,{Number},institutionType,AdjustedChort
