observationAbout,observationDate,value,variableMeasured,observationPeriod,unit
dcid:wikidataId/Q953086,2014-08,0,dcid:Count_Person_BrazilRuralDevelopmentProgram_IndigenousFamily,,
dcid:wikidataId/Q953086,2014-08,0,dcid:Count_Person_BrazilRuralDevelopmentProgram_QuilombolaFamily,,
dcid:wikidataId/Q953086,2014-08,1,dcid:Count_Person_BrazilRuralDevelopmentProgram_FarmingFamily,,
dcid:wikidataId/Q953086,2014-08,0,dcid:Count_Person_BrazilRuralDevelopmentProgram_ExtractiveFamily,,
dcid:wikidataId/Q953086,2014-08,0,dcid:Count_Person_BrazilRuralDevelopmentProgram_FishingFamily,,
dcid:wikidataId/Q953086,2014-08,0,dcid:Count_Person_BrazilRuralDevelopmentProgram_RiversideFamily,,
dcid:wikidataId/Q953086,2014-08,0,dcid:Count_Person_BrazilRuralDevelopmentProgram_AgrarianReformFamily,,
dcid:wikidataId/Q953086,2014-08,0,dcid:Count_Person_BrazilRuralDevelopmentProgram_CampFamily,,
dcid:wikidataId/Q953086,2014-08,0,dcid:Count_Person_BrazilRuralDevelopmentProgram_BrazilNationalLandCreditProgram,,
dcid:wikidataId/Q953086,2014-08,0,dcid:Count_Person_InfrastructureProject_BrazilRuralDevelopmentProgram,,
dcid:wikidataId/Q953086,2014-08,0,dcid:Count_Person_BrazilRuralDevelopmentProgram_PrisonersInPrisonSystem,,
dcid:wikidataId/Q953086,2014-08,0,dcid:Count_Person_BrazilRuralDevelopmentProgram_RecyclableMaterialCollectorsFamily,,
dcid:wikidataId/Q953086,2014-08,0,dcid:Count_Person_BrazilRuralDevelopmentProgram_GypsyFamily,,
dcid:wikidataId/Q953086,2014-08,0,dcid:Count_Person_BrazilRuralDevelopmentProgram_TerreiroCommunity,,
dcid:wikidataId/Q953086,2014-06,0,dcid:Count_Person_BrazilRuralDevelopmentProgram_IndigenousFamily,,
dcid:wikidataId/Q953086,2014-06,0,dcid:Count_Person_BrazilRuralDevelopmentProgram_QuilombolaFamily,,
dcid:wikidataId/Q953086,2014-06,5,dcid:Count_Person_BrazilRuralDevelopmentProgram_FarmingFamily,,
dcid:wikidataId/Q953086,2014-06,0,dcid:Count_Person_BrazilRuralDevelopmentProgram_ExtractiveFamily,,
dcid:wikidataId/Q953086,2014-06,0,dcid:Count_Person_BrazilRuralDevelopmentProgram_FishingFamily,,
dcid:wikidataId/Q953086,2014-06,0,dcid:Count_Person_BrazilRuralDevelopmentProgram_RiversideFamily,,
dcid:wikidataId/Q953086,2014-06,0,dcid:Count_Person_BrazilRuralDevelopmentProgram_AgrarianReformFamily,,
dcid:wikidataId/Q953086,2014-06,0,dcid:Count_Person_BrazilRuralDevelopmentProgram_CampFamily,,
dcid:wikidataId/Q953086,2014-06,0,dcid:Count_Person_BrazilRuralDevelopmentProgram_BrazilNationalLandCreditProgram,,
dcid:wikidataId/Q953086,2014-06,0,dcid:Count_Person_InfrastructureProject_BrazilRuralDevelopmentProgram,,
dcid:wikidataId/Q953086,2014-06,0,dcid:Count_Person_BrazilRuralDevelopmentProgram_PrisonersInPrisonSystem,,
dcid:wikidataId/Q953086,2014-06,0,dcid:Count_Person_BrazilRuralDevelopmentProgram_RecyclableMaterialCollectorsFamily,,
dcid:wikidataId/Q953086,2014-06,0,dcid:Count_Person_BrazilRuralDevelopmentProgram_GypsyFamily,,
dcid:wikidataId/Q953086,2014-06,0,dcid:Count_Person_BrazilRuralDevelopmentProgram_TerreiroCommunity,,
dcid:wikidataId/Q1754403,2014-03,0,dcid:Count_Person_BrazilRuralDevelopmentProgram_IndigenousFamily,,
dcid:wikidataId/Q1754403,2014-03,0,dcid:Count_Person_BrazilRuralDevelopmentProgram_QuilombolaFamily,,
dcid:wikidataId/Q1754403,2014-03,5,dcid:Count_Person_BrazilRuralDevelopmentProgram_FarmingFamily,,
dcid:wikidataId/Q1754403,2014-03,0,dcid:Count_Person_BrazilRuralDevelopmentProgram_ExtractiveFamily,,
dcid:wikidataId/Q1754403,2014-03,0,dcid:Count_Person_BrazilRuralDevelopmentProgram_FishingFamily,,
dcid:wikidataId/Q1754403,2014-03,0,dcid:Count_Person_BrazilRuralDevelopmentProgram_RiversideFamily,,
