key,p1,v1,p2,v2,p3,v3
COU,observationAbout,country/{Data},populationType,LandCover,measuredProperty,landArea
Square kilometers (000's),unit,SquareKilometer,#Multiply,1000,,
Percent of total country area,measurementDenominator,landArea,unit,Percent,,
Tree cover,landCoverType,TreeCover,,,,
Grassland,landCoverType,GrassLand,,,,
Sparse vegetation,landCoverType,SparseVegetation,,,,
Cropland,landCoverType,Cropland,,,,
Artificial surfaces,landCoverType,ArtificialSurfaces,,,,
Inland water,landCoverType,InlandWater,,,,
Shrubland,landCoverType,Shrubland,,,,
Bare area,landCoverType,BareArea,,,,
Wetland,landCoverType,Wetland,,,,
Year,observationDate,{Number},,,,
Value,value,{Number},,,,
G20,#ignore,ignore values,,,,
BRIICS,#ignore,ignore values,,,,
EU28,#ignore,ignore values,,,,
OECD,#ignore,ignore values,,,,
OECDE,#ignore,ignore values,,,,
OECDAO,#ignore,ignore values,,,,
OECDAM,#ignore,ignore values,,,,
