pharmGKBID,dcid
PA164747739,chem/CID1110
PA164924487,chem/CID5839
PA165110775,chem/CID104842
PA165291922,chem/CID83970
PA165291923,chem/doxorubicin_semiquinone_radical
PA165291924,chem/CID83958
PA165291925,chem/CID161952
PA165291926,chem/doxorubicin_hydroxyaglycone
PA165817196,chem/CID2555
PA165817197,chem/CID135290
PA165817198,chem/CID83852
PA165817199,chem/CID83870
PA165817200,chem/CID129274
PA165820585,chem/CID4687
PA165823907,chem/CID17732
PA165823908,chem/CID135250
PA165946719,chem/CID6420504
PA165946746,chem/CID160755
PA165946747,chem/CID6420900
PA165983954,chem/CID39763
PA165983955,chem/CID83944
PA165983956,chem/CID83939
PA165983957,chem/CID135828
PA166109554,chem/CID65143
PA166109574,chem/CID439201
PA166109575,chem/CID3081372
PA166114414,chem/CID854019
PA166123346,chem/CID5280352
PA166127651,chem/CID3032890
PA166127652,chem/CID449459
PA166129446,chem/CID64718
PA166129559,chem/hdl_cholesterol
PA166131238,chem/CID10709035
PA166131239,chem/910dihydrodeoxyartemisinin
PA166131240,chem/CID83997
PA166131241,chem/4hydroxyndesmethyltamoxifen
PA166131242,chem/CID53477725
PA166131243,chem/CID9815515
PA166131245,chem/4ene_valproic_acid
PA166131246,chem/2ene_valproic_acid
PA166131247,chem/CID453338
PA166131248,chem/CID10755325
PA166131249,chem/CID131769925
PA166131250,chem/2ene_valproic_acidcoenzyme_A
PA166131251,chem/CID71748973
PA166131252,chem/CID131769937
PA166131253,chem/CID131769929
PA166131254,chem/4ene_valproic_acidcoenzyme_A
PA166131255,chem/CID25879063
PA166131256,chem/alphahydroxytamoxifen_oglucuronide
PA166131257,chem/CID131770041
PA166131258,chem/CID10037499
PA166131259,chem/CID100427
PA166131260,chem/CID71712269
PA166131261,chem/CID10068142
PA166131262,chem/CID10219774
PA166131263,chem/CID10255482
PA166131264,chem/CID10265589
PA166131265,chem/CID10403174
PA166131266,chem/CID10415951
PA166131267,chem/CID10443535
PA166131268,chem/CID10444113
PA166131269,chem/CID107735
PA166131269,chem/CID107735
PA166131270,chem/CID107744
PA166131271,chem/CID108051
PA166131272,chem/CID108074
PA166131273,chem/CID108185
PA166131274,chem/CID108214
PA166131275,chem/CID10850461
PA166131276,chem/CID10978907
PA166131277,chem/CID10874382
PA166131278,chem/CID1127
PA166131279,chem/CID135496227
PA166131280,chem/CID11832956
PA166131281,chem/CID119560
PA166131282,chem/CID12000328
PA166131283,chem/CID121249
PA166131284,chem/CID121997
PA166131285,chem/CID124143
PA166131286,chem/CID128908
PA166131287,chem/CID13103864
PA166131288,chem/CID13369
PA166131289,chem/CID134459
PA166131290,chem/CID13748464
PA166131291,chem/CID145900
PA166131292,chem/CID159513
PA166131293,chem/CID162976
PA166131294,chem/CID164695
PA166131295,chem/CID166774
