pharmGKBID,dcid
PA1000,chem/CID8249
PA10004,chem/L04AB04
PA10005,chem/CID60871
PA10015,chem/CID137
PA10026,chem/CID60795
PA10032,chem/CID16129704
PA10034,chem/CID104865
PA10035,chem/CID2441
PA10040,chem/L01XC06
PA10049,chem/CID5284537
PA10054,chem/CID4158
PA10066,chem/CID60835
PA10068,chem/electrolytes
PA10069,chem/CID60877
PA10072,chem/epoetin_alfa
PA10074,chem/CID146570
PA10074,chem/CID146570
PA10075,chem/CID4594
PA10075,chem/CID4594
PA10079,chem/CID3343
PA10084,chem/CID131536
PA10088,chem/CID5464436
PA10090,chem/CID5961
PA10116,chem/iobenguane_131i
PA10136,chem/melarsoprol
PA10140,chem/CID51634
PA10158,chem/CID62867
PA10159,chem/CID4848
PA10162,chem/podophyllum
PA10176,chem/M04AX01
PA10196,chem/technetium_99mtc_mertiatide
PA10202,chem/CID5462516
PA10204,chem/CID464205
PA10209,chem/thioacetazone_and_isoniazid
PA10211,chem/H01AB
PA10226,chem/CID119607
PA10227,chem/CID64147
PA10229,chem/CID110634
PA10231,chem/CID5665
PA10232,chem/CID40839
PA10233,chem/CID71616
PA10233,chem/CID71616
PA10233,chem/CID71616
PA10235,chem/CID68740
PA10236,chem/CID5735
PA10238,chem/pancreozymin_cholecystokinin
PA10239,chem/CID25419
PA10240,chem/haemophilus_b_conjugate_vaccine_prpddiphtheria_toxoid_conjugate
PA10242,chem/CID4506
PA10246,chem/CID123606
PA10247,chem/aminobenzoic_acid
PA10251,chem/CID148192
PA10252,chem/CID93860
PA10253,chem/buserelin
PA10268,chem/CID17012
PA10270,chem/CID60852
PA10284,chem/CID4631
PA10292,chem/CID5361
PA10305,chem/lanthanum_carbonate
PA10308,chem/alpha1proteinase_inhibitor
PA10309,chem/CID2179
PA10318,chem/dornase_alfa
PA10323,chem/CID6305
PA10323,chem/CID6305
PA10333,chem/CID110635
PA10335,chem/technetium_99mtc_sulfur_colloid
PA10339,chem/J07AG
PA10344,chem/CID71158
PA10352,chem/CID148211
PA10364,chem/CID4054
PA10366,chem/protamine
PA10367,chem/rabies_immunoglobulin
PA10373,chem/calcium_phosphate
PA10381,chem/G03EA
PA10384,chem/M01A
PA10387,chem/N03AB
PA10389,chem/N06AA
PA10390,chem/A10BB
PA10393,chem/S01E
PA10402,chem/N03AE
PA10405,chem/R03A
PA10407,chem/C08
PA10410,chem/S01EC
PA10420,chem/L03AA
PA10432,chem/C02DA
PA10457,chem/A07BC02
PA10472,chem/C01DA
PA10478,chem/N05AA
PA10479,chem/phosphates
PA10481,chem/pyrethrins_and_piperonyl_butoxide
PA10489,chem/selenium_supplements
PA10492,chem/J01EE
PA10499,chem/N05AF
PA10500,chem/H03AA
PA10505,chem/A11EA
PA10715,chem/sulfamethoxazole__trimethoprim
PA10733,chem/D11AE
PA10741,chem/C03BA
PA10772,chem/A07AB
PA10799,chem/L04AC03
PA10804,chem/CID5291
PA10810,chem/CID60843
PA10813,chem/CID5479
PA10815,chem/nadroparin
PA10816,chem/CID150311
PA10819,chem/CID3037032
PA10827,chem/N01AF
PA10832,chem/A01AC
PA10888,chem/CID2789
PA10892,chem/CID3475
PA1102,chem/X.04
PA127840611,chem/CID202225
PA128406956,chem/CID3385
PA128406956,chem/CID3385
PA128406956,chem/CID3385
PA128406956,chem/CID3385
PA128406980,chem/CID6468
PA128406983,chem/V07A.06
PA129945760,chem/NGmonomethyllarginine
PA130150436,chem/CID4746
PA130230921,chem/CID6029
PA130230922,chem/CID444818
PA130231310,chem/CID5335
PA130232992,chem/L01XC07
PA130413154,chem/CID5487301
PA130619705,chem/orbofiban
PA130620649,chem/granulocyte_colonystimulating_factor
PA130620651,chem/L01DB
PA131053734,chem/ketanserin
PA131285527,chem/CID6857599
PA131301952,chem/CID123631
PA131548935,chem/drotrecogin_alfa
PA131550706,chem/echinacea
PA131625240,chem/CID104758
PA131887008,chem/CID1615
PA131887911,chem/semaxanib
PA131889722,chem/telcyta
PA131890620,chem/V07A.04
PA131890625,chem/CID5312154
PA131890628,chem/tranilast
PA132595336,chem/calcein
PA133822447,chem/C01CA.01
PA133888888,chem/almokalant
PA133888889,chem/hydroquinidine
PA133888890,chem/sematilide
PA133950441,chem/C10AA
PA134308647,chem/CID6439133
PA134521193,chem/coumarin
PA134653756,chem/diflomotecan
PA134687812,chem/benzydamine
PA134687887,chem/R03AA
PA134687907,chem/CID3410
PA134687923,chem/GW2016
PA134687924,chem/CID176870
PA134687925,chem/canertinib
PA134687926,chem/EKB569
PA134687937,chem/CID4184
PA134687941,chem/desmethylcitalopram
PA134687942,chem/levomepromazine
PA134687947,chem/CID77993
PA134688071,chem/CID54841
PA134688071,chem/CID54841
PA134698661,chem/CID115100
PA134711056,chem/CID3151
PA134711723,chem/CID2148
PA134711724,chem/ochratoxin_A
PA134852920,chem/benzbromarone
PA134967247,chem/CID66414
PA135057240,chem/CID2474
PA136437519,chem/Lorenzos_oil
PA137179528,chem/CID4495
PA137867605,chem/O64Bromothenylguanine
PA140222717,chem/CID903
PA140222718,chem/hydroxytryptamine
PA140222719,chem/CID6018
PA140222720,chem/MPP
PA140222783,chem/glycylsarcosine
