key,prop,val,p1,v1,p2,v2,p3,v3,p4,v4,p5,v5
Referência,observationDate,{Data},observationAbout,country/BRA,populationType,FoodBasket,measuredProperty,cumulativeCount,,,,
Agro Fraterno/Confederação Nacional da Agricultura/SENAR,value,{Number},brazilAidDistributionPartner,NationalConfederationOfAgricultureSENAR,name,"""Accumulated food baskets delivered by Agro Fraterno/National Confederation of Agriculture/SENAR""",alternateName,"""Cestas entregues acumuladas por Agro Fraterno/Confederação Nacional da Agricultura/SENAR@pt""",,,,
Agro Fraterno/ Organização da Cooperativas do Brasil,value,{Number},brazilAidDistributionPartner,OrganizationOfCooperativesOfBrazil,name,"""Accumulated food baskets delivered by Agro Fraterno/ Organization of Cooperatives of Brazil""",alternateName,"""Cestas entregues acumuladas por Agro Fraterno/ Organização da Cooperativas do Brasil@pt""",,,,
Associação Nacional dos Produtores de Alho/ Associação Nacional de Produtores de Cebola,value,{Number},brazilAidDistributionPartner,NationalAssociationOfGarlicOrOnionProducers,name,"""Accumulated food baskets delivered by National Association of Garlic Producers/ National Association of Onion Producers""",alternateName,"""Cestas entregues acumuladas por Associação Nacional dos Produtores de Alho/ Associação Nacional de Produtores de Cebola@pt""",,,,
Confederação Nacional do Comercio/SESC/Federações do Comércio regionais,value,{Number},brazilAidDistributionPartner,NationalConfederationOfCommerceSESC,name,"""Accumulated food baskets delivered by National Confederation of Commerce/SESC/Regional Commerce Federations""",alternateName,"""Cestas entregues acumuladas por Confederação Nacional do Comercio/SESC/Federações do Comércio regionais@pt""",,,,
Confederação Nacional da Indústria/SESI/Federações da Industria regionais,value,{Number},brazilAidDistributionPartner,NationalConfederationOfIndustrySESI,name,"""Accumulated food baskets delivered by National Confederation of Industry/SESI/Regional Industry Federations""",alternateName,"""Cestas entregues acumuladas por Confederação Nacional da Indústria/SESI/Federações da Industria regionais@pt""",,,,
Fundação Banco do Brasil,value,{Number},brazilAidDistributionPartner,BancoDoBrasilFoundation,name,"""Accumulated food baskets delivered by Banco do Brasil Foundation""",alternateName,"""Cestas entregues acumuladas por Fundação Banco do Brasil@pt""",,,,
Corteva Agriscience,value,{Number},brazilAidDistributionPartner,CortevaAgriscience,name,"""Accumulated food baskets delivered by Corteva Agriscience""",alternateName,"""Cestas entregues acumuladas por Corteva Agriscience@pt""",,,,
Nutrelli Alimentos e Congelattos,value,{Number},brazilAidDistributionPartner,NutrelliAlimentosECongelattos,name,"""Accumulated food baskets delivered by Nutrelli Alimentos e Congelattos""",alternateName,"""Cestas entregues acumuladas por Nutrelli Alimentos e Congelattos@pt""",,,,
Companhia de Entrepostos e Armazéns de São Paulo -CEAGESP,value,{Number},brazilAidDistributionPartner,SaoPauloWarehouseAndWarehouseCompanyCEAGESP,name,"""Accumulated food baskets delivered by São Paulo Warehouse and Warehouse Company -CEAGESP""",alternateName,"""Cestas entregues acumuladas por Companhia de Entrepostos e Armazéns de São Paulo -CEAGESP@pt""",,,,
Divino Caldo Brasil,value,{Number},brazilAidDistributionPartner,DivineCaldoBrazil,name,"""Accumulated food baskets delivered by Divine Caldo Brazil""",alternateName,"""Cestas entregues acumuladas por Divino Caldo Brasil@pt""",,,,
