Year,Place,StatVar,Quantity,Unit,ScalingFactor
2012,geoId/48157,dcid:Median_NumberOfRooms_HousingUnit_ForeignBorn_OccupiedHousingUnit_PlaceOfBirthNorthamerica,9.0+,Rooms,
2012,geoId/44007,dcid:Median_Income_Household_ForeignBorn_PlaceOfBirthOceania,"250,000+",InflationAdjustedUSD_CurrentYear,
2012,geoId/51510,dcid:Median_Income_Household_ForeignBorn_PlaceOfBirthOceania,"250,000+",InflationAdjustedUSD_CurrentYear,
2012,geoId/5101000,dcid:Median_Income_Household_ForeignBorn_PlaceOfBirthOceania,"250,000+",InflationAdjustedUSD_CurrentYear,
2012,geoId/13067,dcid:Median_NumberOfRooms_HousingUnit_ForeignBorn_OccupiedHousingUnit_PlaceOfBirthOceania,9.0+,Rooms,
2012,geoId/24005,dcid:Median_NumberOfRooms_HousingUnit_ForeignBorn_OccupiedHousingUnit_PlaceOfBirthOceania,9.0+,Rooms,
2012,geoId/25027,dcid:Median_NumberOfRooms_HousingUnit_ForeignBorn_OccupiedHousingUnit_PlaceOfBirthOceania,9.0+,Rooms,
2012,geoId/34013,dcid:Median_NumberOfRooms_HousingUnit_ForeignBorn_OccupiedHousingUnit_PlaceOfBirthOceania,9.0+,Rooms,
2012,geoId/51059,dcid:Median_NumberOfRooms_HousingUnit_ForeignBorn_OccupiedHousingUnit_PlaceOfBirthOceania,9.0+,Rooms,
2013,geoId/48157,dcid:Median_NumberOfRooms_HousingUnit_ForeignBorn_OccupiedHousingUnit_PlaceOfBirthNorthamerica,9.0+,Rooms,
2013,geoId/44007,dcid:Median_Income_Household_ForeignBorn_PlaceOfBirthOceania,"250,000+",InflationAdjustedUSD_CurrentYear,
2013,geoId/51510,dcid:Median_Income_Household_ForeignBorn_PlaceOfBirthOceania,"250,000+",InflationAdjustedUSD_CurrentYear,
2013,geoId/5101000,dcid:Median_Income_Household_ForeignBorn_PlaceOfBirthOceania,"250,000+",InflationAdjustedUSD_CurrentYear,
2013,geoId/13067,dcid:Median_NumberOfRooms_HousingUnit_ForeignBorn_OccupiedHousingUnit_PlaceOfBirthOceania,9.0+,Rooms,
2013,geoId/24005,dcid:Median_NumberOfRooms_HousingUnit_ForeignBorn_OccupiedHousingUnit_PlaceOfBirthOceania,9.0+,Rooms,
2013,geoId/25027,dcid:Median_NumberOfRooms_HousingUnit_ForeignBorn_OccupiedHousingUnit_PlaceOfBirthOceania,9.0+,Rooms,
2013,geoId/34013,dcid:Median_NumberOfRooms_HousingUnit_ForeignBorn_OccupiedHousingUnit_PlaceOfBirthOceania,9.0+,Rooms,
2013,geoId/36119,dcid:Median_NumberOfRooms_HousingUnit_ForeignBorn_OccupiedHousingUnit_PlaceOfBirthOceania,9.0+,Rooms,
2013,geoId/48085,dcid:Median_NumberOfRooms_HousingUnit_ForeignBorn_OccupiedHousingUnit_PlaceOfBirthOceania,9.0+,Rooms,
2013,geoId/51059,dcid:Median_NumberOfRooms_HousingUnit_ForeignBorn_OccupiedHousingUnit_PlaceOfBirthOceania,9.0+,Rooms,
2014,geoId/48157,dcid:Median_NumberOfRooms_HousingUnit_ForeignBorn_OccupiedHousingUnit_PlaceOfBirthNorthamerica,9.0+,Rooms,
2014,geoId/44,dcid:Median_Income_Household_ForeignBorn_PlaceOfBirthOceania,"250,000+",InflationAdjustedUSD_CurrentYear,
2014,geoId/34013,dcid:Median_Income_Household_ForeignBorn_PlaceOfBirthOceania,"250,000+",InflationAdjustedUSD_CurrentYear,
2014,geoId/44007,dcid:Median_Income_Household_ForeignBorn_PlaceOfBirthOceania,"250,000+",InflationAdjustedUSD_CurrentYear,
2014,geoId/13067,dcid:Median_NumberOfRooms_HousingUnit_ForeignBorn_OccupiedHousingUnit_PlaceOfBirthOceania,9.0+,Rooms,
2014,geoId/24005,dcid:Median_NumberOfRooms_HousingUnit_ForeignBorn_OccupiedHousingUnit_PlaceOfBirthOceania,9.0+,Rooms,
2014,geoId/34013,dcid:Median_NumberOfRooms_HousingUnit_ForeignBorn_OccupiedHousingUnit_PlaceOfBirthOceania,9.0+,Rooms,
2014,geoId/36119,dcid:Median_NumberOfRooms_HousingUnit_ForeignBorn_OccupiedHousingUnit_PlaceOfBirthOceania,9.0+,Rooms,
2014,geoId/39061,dcid:Median_NumberOfRooms_HousingUnit_ForeignBorn_OccupiedHousingUnit_PlaceOfBirthOceania,9.0+,Rooms,
2014,geoId/51059,dcid:Median_NumberOfRooms_HousingUnit_ForeignBorn_OccupiedHousingUnit_PlaceOfBirthOceania,9.0+,Rooms,
