observationAbout,observationDate,value,variableMeasured,unit,scalingFactor,input
country/NGA,2007,207,dcid:Count_Person_Nigerian_Male,,,
country/NGA,2008,195,dcid:Count_Person_Nigerian_Male,,,
country/NGA,2009,79,dcid:Count_Person_Nigerian_Male,,,
country/NGA,2010,343,dcid:Count_Person_Nigerian_Male,,,
country/NGA,2011,231,dcid:Count_Person_Nigerian_Male,,,
country/NGA,2007,1,dcid:Count_Person_NonNigerian_Male,,,
country/NGA,2009,1,dcid:Count_Person_NonNigerian_Male,,,
country/NGA,2010,1,dcid:Count_Person_NonNigerian_Male,,,
country/NGA,2011,1,dcid:Count_Person_NonNigerian_Male,,,
country/NGA,2007,9350,dcid:Count_Person_Nigerian_Male_MedicalPractitionerOccupation,,,
country/NGA,2008,9875,dcid:Count_Person_Nigerian_Male_MedicalPractitionerOccupation,,,
country/NGA,2009,11789,dcid:Count_Person_Nigerian_Male_MedicalPractitionerOccupation,,,
country/NGA,2010,15632,dcid:Count_Person_Nigerian_Male_MedicalPractitionerOccupation,,,
country/NGA,2011,18536,dcid:Count_Person_Nigerian_Male_MedicalPractitionerOccupation,,,
country/NGA,2012,13254,dcid:Count_Person_Nigerian_Male_MedicalPractitionerOccupation,,,
country/NGA,2007,624,dcid:Count_Person_Nigerian_Male_DentistOccupation,,,
country/NGA,2008,816,dcid:Count_Person_Nigerian_Male_DentistOccupation,,,
country/NGA,2009,859,dcid:Count_Person_Nigerian_Male_DentistOccupation,,,
country/NGA,2010,1153,dcid:Count_Person_Nigerian_Male_DentistOccupation,,,
country/NGA,2011,1367,dcid:Count_Person_Nigerian_Male_DentistOccupation,,,
country/NGA,2012,978,dcid:Count_Person_Nigerian_Male_DentistOccupation,,,
country/NGA,2007,28,dcid:Count_Person_NonNigerian_Male_MedicalPractitionerOccupation,,,
country/NGA,2008,34,dcid:Count_Person_NonNigerian_Male_MedicalPractitionerOccupation,,,
country/NGA,2009,40,dcid:Count_Person_NonNigerian_Male_MedicalPractitionerOccupation,,,
country/NGA,2010,42,dcid:Count_Person_NonNigerian_Male_MedicalPractitionerOccupation,,,
country/NGA,2011,82,dcid:Count_Person_NonNigerian_Male_MedicalPractitionerOccupation,,,
country/NGA,2012,104,dcid:Count_Person_NonNigerian_Male_MedicalPractitionerOccupation,,,
country/NGA,2007,2,dcid:Count_Person_NonNigerian_Male_DentistOccupation,,,
country/NGA,2008,5,dcid:Count_Person_NonNigerian_Male_DentistOccupation,,,
country/NGA,2009,4,dcid:Count_Person_NonNigerian_Male_DentistOccupation,,,
country/NGA,2010,3,dcid:Count_Person_NonNigerian_Male_DentistOccupation,,,
country/NGA,2011,4,dcid:Count_Person_NonNigerian_Male_DentistOccupation,,,
country/NGA,2007,769,dcid:Count_Person_Male_NurseOccupation_GeneralNurse,,,
country/NGA,2008,738,dcid:Count_Person_Male_NurseOccupation_GeneralNurse,,,
country/NGA,2009,720,dcid:Count_Person_Male_NurseOccupation_GeneralNurse,,,
country/NGA,2010,624,dcid:Count_Person_Male_NurseOccupation_GeneralNurse,,,
country/NGA,2011,654,dcid:Count_Person_Male_NurseOccupation_GeneralNurse,,,
country/NGA,2007,51,dcid:Count_Person_Male_NurseOccupation_Midwives,,,
country/NGA,2008,10,dcid:Count_Person_Male_NurseOccupation_Midwives,,,
country/NGA,2009,8,dcid:Count_Person_Male_NurseOccupation_Midwives,,,
country/NGA,2010,6,dcid:Count_Person_Male_NurseOccupation_Midwives,,,
country/NGA,2011,16,dcid:Count_Person_Male_NurseOccupation_Midwives,,,
country/NGA,2007,59,dcid:Count_Person_Male_NurseOccupation_Perioperative,,,
country/NGA,2008,64,dcid:Count_Person_Male_NurseOccupation_Perioperative,,,
country/NGA,2009,39,dcid:Count_Person_Male_NurseOccupation_Perioperative,,,
country/NGA,2010,54,dcid:Count_Person_Male_NurseOccupation_Perioperative,,,
country/NGA,2011,55,dcid:Count_Person_Male_NurseOccupation_Perioperative,,,
country/NGA,2008,3,dcid:Count_Person_Male_NurseOccupation_CardioThoracicNurses,,,
country/NGA,2009,1,dcid:Count_Person_Male_NurseOccupation_CardioThoracicNurses,,,
country/NGA,2010,5,dcid:Count_Person_Male_NurseOccupation_CardioThoracicNurses,,,
country/NGA,2011,7,dcid:Count_Person_Male_NurseOccupation_CardioThoracicNurses,,,
country/NGA,2008,3,dcid:Count_Person_Male_NurseOccupation_IntensiveCareNurse,,,
country/NGA,2009,7,dcid:Count_Person_Male_NurseOccupation_IntensiveCareNurse,,,
country/NGA,2010,14,dcid:Count_Person_Male_NurseOccupation_IntensiveCareNurse,,,
country/NGA,2011,7,dcid:Count_Person_Male_NurseOccupation_IntensiveCareNurse,,,
country/NGA,2009,7,dcid:Count_Person_Male_NurseOccupation_ENT,,,
country/NGA,2010,18,dcid:Count_Person_Male_NurseOccupation_ENT,,,
country/NGA,2011,17,dcid:Count_Person_Male_NurseOccupation_ENT,,,
country/NGA,2007,6,dcid:Count_Person_Male_NurseOccupation_PublicHealth,,,
country/NGA,2008,14,dcid:Count_Person_Male_NurseOccupation_PublicHealth,,,
country/NGA,2009,4,dcid:Count_Person_Male_NurseOccupation_PublicHealth,,,
country/NGA,2010,11,dcid:Count_Person_Male_NurseOccupation_PublicHealth,,,
country/NGA,2011,8,dcid:Count_Person_Male_NurseOccupation_PublicHealth,,,
country/NGA,2008,6,dcid:Count_Person_Male_NurseOccupation_BurnsAndPlastic,,,
country/NGA,2009,8,dcid:Count_Person_Male_NurseOccupation_BurnsAndPlastic,,,
country/NGA,2010,6,dcid:Count_Person_Male_NurseOccupation_BurnsAndPlastic,,,
country/NGA,2011,3,dcid:Count_Person_Male_NurseOccupation_BurnsAndPlastic,,,
country/NGA,2007,22,dcid:Count_Person_Male_NurseOccupation_Orthopedic,,,
country/NGA,2008,13,dcid:Count_Person_Male_NurseOccupation_Orthopedic,,,
country/NGA,2009,11,dcid:Count_Person_Male_NurseOccupation_Orthopedic,,,
country/NGA,2010,17,dcid:Count_Person_Male_NurseOccupation_Orthopedic,,,
country/NGA,2011,22,dcid:Count_Person_Male_NurseOccupation_Orthopedic,,,
country/NGA,2007,25,dcid:Count_Person_Male_NurseOccupation_Anasthetic,,,
country/NGA,2008,43,dcid:Count_Person_Male_NurseOccupation_Anasthetic,,,
country/NGA,2009,33,dcid:Count_Person_Male_NurseOccupation_Anasthetic,,,
country/NGA,2010,30,dcid:Count_Person_Male_NurseOccupation_Anasthetic,,,
country/NGA,2011,22,dcid:Count_Person_Male_NurseOccupation_Anasthetic,,,
country/NGA,2007,3,dcid:Count_Person_Male_NurseOccupation_Administrator,,,
country/NGA,2008,3,dcid:Count_Person_Male_NurseOccupation_Administrator,,,
country/NGA,2011,1,dcid:Count_Person_Male_NurseOccupation_Administrator,,,
country/NGA,2007,8,dcid:Count_Person_Male_NurseOccupation_Pediatric,,,
country/NGA,2008,8,dcid:Count_Person_Male_NurseOccupation_Pediatric,,,
country/NGA,2009,1,dcid:Count_Person_Male_NurseOccupation_Pediatric,,,
country/NGA,2010,3,dcid:Count_Person_Male_NurseOccupation_Pediatric,,,
country/NGA,2011,5,dcid:Count_Person_Male_NurseOccupation_Pediatric,,,
country/NGA,2007,8,dcid:Count_Person_Male_NurseOccupation_Educator,,,
country/NGA,2008,17,dcid:Count_Person_Male_NurseOccupation_Educator,,,
country/NGA,2009,15,dcid:Count_Person_Male_NurseOccupation_Educator,,,
country/NGA,2010,13,dcid:Count_Person_Male_NurseOccupation_Educator,,,
country/NGA,2011,30,dcid:Count_Person_Male_NurseOccupation_Educator,,,
country/NGA,2008,2,dcid:Count_Person_Male_NurseOccupation_PublicHealthNurseEducators,,,
country/NGA,2007,54,dcid:Count_Person_Male_NurseOccupation_Psychatric,,,
country/NGA,2008,51,dcid:Count_Person_Male_NurseOccupation_Psychatric,,,
country/NGA,2009,32,dcid:Count_Person_Male_NurseOccupation_Psychatric,,,
country/NGA,2010,79,dcid:Count_Person_Male_NurseOccupation_Psychatric,,,
country/NGA,2011,71,dcid:Count_Person_Male_NurseOccupation_Psychatric,,,
country/NGA,2007,56,dcid:Count_Person_Male_NurseOccupation_Ophthalmic,,,
country/NGA,2008,38,dcid:Count_Person_Male_NurseOccupation_Ophthalmic,,,
country/NGA,2009,8,dcid:Count_Person_Male_NurseOccupation_Ophthalmic,,,
country/NGA,2010,19,dcid:Count_Person_Male_NurseOccupation_Ophthalmic,,,
country/NGA,2011,41,dcid:Count_Person_Male_NurseOccupation_Ophthalmic,,,
country/NGA,2007,35,dcid:Count_Person_Male_NurseOccupation_AccidentAndEmergency,,,
country/NGA,2008,52,dcid:Count_Person_Male_NurseOccupation_AccidentAndEmergency,,,
country/NGA,2009,44,dcid:Count_Person_Male_NurseOccupation_AccidentAndEmergency,,,
country/NGA,2010,48,dcid:Count_Person_Male_NurseOccupation_AccidentAndEmergency,,,
country/NGA,2011,41,dcid:Count_Person_Male_NurseOccupation_AccidentAndEmergency,,,
country/NGA,2007,5,dcid:Count_Person_Male_NurseOccupation_OccupationalHealth,,,
country/NGA,2008,6,dcid:Count_Person_Male_NurseOccupation_OccupationalHealth,,,
country/NGA,2009,2,dcid:Count_Person_Male_NurseOccupation_OccupationalHealth,,,
country/NGA,2010,2,dcid:Count_Person_Male_NurseOccupation_OccupationalHealth,,,
country/NGA,2011,6,dcid:Count_Person_Male_NurseOccupation_OccupationalHealth,,,
