"Table (43) : Average wage earnings (Rs. 0.00) per day from casual labour work other than public works in CWS for each State/ UT
",,,,,,,,,
"Oct-Dec,2020",,,,,,,,,
State \ UT,rural,urban,rural+urban,,,,,,
,male,female,person,male,female,person,male,female,person
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10)
Andhra Pradesh,416.35,249.96,349.15,464.89,262.81,427.26,423.69,250.69,358
Arunachal Pradesh,372.48,0,372.48,368.55,391.06,370.73,371.49,391.06,372
Assam,354.21,255.69,345.76,380.09,273.2,367.54,355.85,257.21,347
Bihar,332.54,213.5,321.19,369.9,249.5,361.89,334.53,214.82,323
Chhattisgarh,214.63,145.54,186.73,271.38,197.34,259.58,221.13,147.35,192
Delhi,0,0,0,484.65,0,484.65,484.65,0,484
Goa,577.77,415.41,506.33,594.48,422.38,542.22,587.21,418.33,524
Gujarat,223.79,189.83,210.02,365.78,264.65,335.93,262.94,204,240
Haryana,389.39,309.55,369.12,416.12,347.06,409.63,396.27,313.14,378
Himachal Pradesh,447.87,397.24,445.9,403.46,327.31,394.73,443.77,380.09,440
Jharkhand,275.72,185.03,268.49,305.63,304.24,305.47,279.33,205.95,273
Karnataka,341.04,207.79,277.63,403.96,232.46,367.48,355.49,209.8,292
Kerala,762.68,351.24,713,776.78,386.99,728.5,767.69,364.17,718
Madhya Pradesh,241.89,192.11,230.09,269.01,190.02,257.86,245.13,191.97,233
Maharashtra,280.87,180.76,241.08,327.36,202.88,308.35,289.89,182.12,250
Manipur,385.47,282.98,375.26,390.75,387.93,390.41,386.49,306.52,378
Meghalaya,359.64,192.53,341.73,357.87,253.75,338.45,359.44,204.51,341
Mizoram,328.27,0,328.27,348.02,344.91,347.72,337.22,344.91,337
Nagaland,0,0,0,435.06,535.74,443.91,435.06,535.74,443
Odisha,276.95,196.15,250.82,304.73,205.87,285.57,279.18,196.56,253
Punjab,342.29,257.6,329.82,371.23,235.92,365.15,346.65,256.6,334
Rajasthan,301.76,241.93,281.43,366.28,285.9,358.76,311.8,243.5,290
Sikkim,589.64,0,589.64,591.23,500,585.33,589.96,500,588
Tamil Nadu,456.71,217.89,362.06,506.62,282.56,458.16,476.37,231.77,394
Telangana,443.67,311.07,370.06,543.41,370.09,508.11,481.21,317.57,404
Tripura,325.32,229.15,318.41,331.28,264.45,323.69,325.87,234.19,318
Uttarakhand,360.46,367.54,361.17,349.54,0,349.54,356.38,367.54,357
Uttar Pradesh,302.35,201.15,294.84,340.58,282.64,338.51,307.68,206.82,300
West Bengal,268.09,206.18,258.86,312.75,201.3,302.35,274.65,205.73,264
Andaman & N. Island,502.74,357.9,458.29,517.55,403.54,484.08,506.5,368.94,464
Chandigarh,446.4,0,446.4,431.67,284.14,421.38,432.01,284.14,421
Dadra & Nagar Haveli & Daman & Diu,294.12,200,288.89,400,0,400,305.1,200,299
Jammu & Kashmir,488.33,594.72,491.93,487.98,460.03,486.12,488.29,570.09,491
Ladakh,0,0,0,0,0,0,0,0,0
Lakshadweep,676.34,0,676.34,670.31,0,670.31,673,0,673
Puducherry,519.25,213.3,392.64,498.79,457.85,495.35,506.04,260.12,447
all India,326.31,215.8,296.93,412.99,266.48,390.56,341.16,220.54,311
"estimated  no. of days worked as casual
labour (00)*",2928696,1060736,3989433,605254,109414,714668,3533951,1170150,"4,704,"
"sample  no. of days worked as casual
labour*",20187,6634,26821,30850,4576,35426,51037,11210,"62,"
