"Table (43) : Average wage earnings (Rs. 0.00) per day from casual labour work other than public works in CWS for each State/ UT
",,,,,,,,,
"Oct-Dec,2019",,,,,,,,,
State \ UT,rural,urban,rural+urban,,,,,,
,male,female,person,male,female,person,male,female,person
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10)
Andhra Pradesh,372.06,224.65,307.91,405.47,252.32,369.34,378.52,227.07,317.14
Arunachal Pradesh,372.12,350,368.3,385.85,378.28,385.37,379.35,357.58,376.75
Assam,307.29,296.99,305.66,342.21,261.14,335.91,309.54,295.92,307.45
Bihar,313.05,262.75,305.62,346.48,210.82,343.77,314.97,262.38,307.54
Chhattisgarh,188.3,130.55,159.68,262.66,189.47,248.51,199.75,133.05,168.76
Delhi,361.93,220,302.72,397.83,300,386.43,396.51,286.23,381.84
Goa,549.33,500,517.87,494.12,364.15,480.81,505.17,472.05,494.99
Gujarat,242.93,183.08,222.88,318.55,208.75,296.51,253.96,185.09,232.04
Haryana,382.81,292.17,372.57,391.13,318.32,384.39,384.93,297.79,375.53
Himachal Pradesh,352.87,318.34,351.74,313.49,0,313.49,349.31,318.34,348.39
Jharkhand,267.22,168.32,256.56,287.29,263.83,282.64,271.45,202.08,262.53
Karnataka,367.03,186.32,291.13,373.86,236.01,348.82,368.8,191.13,302.6
Kerala,721.39,395.56,678.36,736.51,369.43,704.96,727.78,387.41,689.27
Madhya Pradesh,224.67,182.15,209.71,272.04,183.38,259.75,232.14,182.21,215.89
Maharashtra,257.35,148.88,208.97,348.83,190.7,325.83,275.62,150.98,225.25
Manipur,362.29,329.72,360.68,384.06,290.19,374.12,366.28,316.35,363.27
Meghalaya,311.1,251.04,299.11,355.22,284.58,350.12,314.46,251.89,302.5
Mizoram,360.52,200,349.17,381.9,318.77,375.97,371.96,272.51,363.68
Nagaland,400,0,400,396.03,0,396.03,398.06,0,398.06
Odisha,270.44,182.17,247.84,307.29,222.89,293.47,273.39,184.09,251.12
Punjab,337.98,282.07,335.53,364.55,165.42,350.15,342.22,253.58,337.93
Rajasthan,315.04,192.87,286.99,320.21,192.2,305.24,315.86,192.82,289.59
Sikkim,527.38,0,527.38,537.8,0,537.8,529.07,0,529.07
Tamil Nadu,442.78,219.52,372.9,460.93,267.36,425.13,448.53,228.51,387.59
Telangana,254.62,194.76,226.62,492.05,323.55,454.55,288.27,201.33,249.76
Tripura,335.95,265.16,321.41,381.29,242.07,364.49,343.65,262.9,328.13
Uttarakhand,357.15,201.39,336.74,376.02,390.32,376.32,359.23,204.61,340.65
Uttar Pradesh,289.94,198.01,280.67,338.93,225.13,327.9,297.38,201.98,287.81
West Bengal,250.76,191.69,242.89,297.67,207.51,292.51,258.34,192.81,250.36
Andaman & N. Island,547.82,248.53,358.96,580.06,135,573.81,570.56,246.31,460.49
Chandigarh,384.75,0,384.75,335.18,319.48,330.79,348.96,319.48,342.51
Dadra & Nagar Haveli,0,0,0,357.69,72.17,110.36,357.69,72.17,110.36
Daman & Diu,300,0,300,0,0,0,300,0,300
Jammu & Kashmir,443.15,394.38,442.75,475.26,403.72,464.82,445.86,400.53,444.89
Ladakh,0,0,0,0,0,0,0,0,0
Lakshadweep,0,0,0,632.63,0,632.63,632.63,0,632.63
Puducherry,581.54,135.87,392.75,504.87,207.09,485.16,539.92,143.19,431.83
all India,305.4,193.1,273.97,384.32,244.1,364.54,319.01,197.23,287.43
"estimated  no. of days worked as
casual labour (00)*",3197259,1242921,4440180,666131,109419,775551,3863390,1352341,5215731
"sample  no. of days worked as
casual labour*",21027,6936,27963,32723,4837,37560,53750,11773,65523
