Year,srcStateName,NFHS survey number ( NFHS - 4 or NFHS - 5 ),Women age group 15 to 19 years who are anaemic (%),Women age group 15 to 49 years who are anaemic (%),Married women age group 15 to 49 years use any family planning methods (%),Births in public health facility delivered by caesarean section (%),Breastfeeding children age group 6 to 23 months receiving an adequate diet (%),Children age group 12 to 23 months who received most of their vaccinations in a public health facility (%),Children who received postnatal care from a doctor or nurse or Lady Health Visitor ( LHV ) or Auxiliary Nurse Midwifery ( ANM ) or midwife or other health personnel within 2 days of delivery (%),Ever-married women age group 18 to 49 years who have ever experienced spousal violence (%),Female population age 6 years and above who ever attended school (%),Registered pregnancies for which the mother received a mother and child protection card ( MCP )(%),Population living in households with electricity (%),Population living in households that use an improved sanitation facility (%),Men who have comprehensive knowledge of Human immunodeficiency virus ( HIV ) or Acquired Immune Deficiency Syndrome ( AIDS ) (%),Men who have high risk waist-to-hip ratio (%),Men who have ever used internet (%),Women who have ever undergone a breast examination for breast cancer (%),Currently married women age group 15 to 49 years consuming pill (%),Married women age group 15 to 49 years using Intrauterine Device ( IUD ) or Postpartum Intrauterine Contraceptive Device ( PPIUD ) as family planning methods (%),Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%), 
2020,IN-NL,NFHS-5,34.0,27.3,61.0,12.5,9.8,89.2,59.2,5.2,92.1,91.8,99.6,82.2,30.7,32.7,81.0,0.4,9.1,20.1,6.7,
2020,IN-AR,NFHS-5,49.6,41.0,59.5,17.4,23.4,97.3,54.8,26.0,69.0,95.2,94.0,83.4,34.0,45.7,68.5,0.3,15.9,6.2,7.9,
2020,IN-AR,NFHS-5,43.5,36.5,57.0,15.0,26.5,99.3,66.6,18.5,83.2,97.7,99.5,79.9,30.4,47.9,86.9,0.7,13.3,6.3,13.0,
2020,IN-CH,NFHS-5,,-64.0,,,,,,,-69.2,,100.0,47.6,,,,,,,,
2020,IN-GA,NFHS-5,45.7,37.4,61.1,29.6,21.8,95.6,95.7,11.4,87.2,100.0,100.0,86.4,74.7,37.8,76.6,1.2,1.7,2.2,70.5,
2020,IN-HR,NFHS-5,63.5,61.9,72.9,10.9,13.0,98.8,90.4,18.2,69.6,97.6,99.5,84.6,35.0,57.7,68.8,0.3,2.8,4.9,32.0,
2020,IN-HR,NFHS-5,59.3,57.4,73.5,14.4,9.3,92.1,92.3,18.0,82.3,94.9,99.8,86.0,39.4,59.5,79.7,0.3,2.9,5.0,31.7,
2020,IN-AN,NFHS-5,45.5,57.6,73.4,15.8,12.4,100.0,91.8,13.2,81.8,97.9,96.5,88.0,33.4,53.7,41.1,2.6,4.5,5.0,41.0,
2020,IN-MP,NFHS-5,57.4,51.5,71.4,15.3,11.2,95.1,89.0,26.4,80.5,94.5,99.4,81.2,29.7,39.8,72.7,0.8,2.6,1.4,36.6,
2020,NCT Delhi,NFHS-5,52.3,58.6,71.3,24.0,-29.5,-93.7,81.6,-10.3,82.6,89.5,99.9,87.3,-28.1,-44.2,-87.4,0.5,3.4,11.0,54.1,
2020,IN-PY,NFHS-5,53.0,61.4,66.4,24.2,-42.0,-100.0,97.4,32.5,78.0,99.5,99.7,74.0,25.4,63.0,69.4,4.5,0.4,1.3,73.1,
2020,IN-PY,NFHS-5,61.1,52.3,65.8,40.0,17.6,96.3,95.1,29.8,87.7,98.6,100.0,89.8,35.2,50.2,85.1,4.1,0.5,2.1,61.7,
2020,IN-PB,NFHS-5,61.3,58.5,65.4,29.1,10.9,93.1,87.8,12.6,73.8,97.6,99.6,85.9,34.2,58.1,73.0,0.3,1.7,3.2,41.6,
2020,IN-MH,NFHS-5,57.7,56.1,66.5,15.1,8.4,94.6,87.4,28.6,73.1,96.8,96.7,69.4,35.1,38.7,47.2,1.0,1.7,1.6,28.8,
2020,IN-TN,NFHS-5,54.9,55.3,69.5,35.1,11.2,95.6,94.8,42.2,74.5,99.4,99.1,63.3,22.4,56.8,64.9,5.3,0.3,4.7,60.3,
2016,IN-AR,NFHS-4,48.2,43.2,31.7,12.5,12.3,93.9,,31.0,67.1,89.2,88.3,61.6,27.5,,,,10.2,3.4,2.3,
2016,IN-CH,NFHS-4,74.7,75.9,74.0,19.5,0.0,-93.1,,22.5,83.7,98.0,99.6,83.7,66.4,,,,3.6,5.4,29.8,
2016,IN-CT,NFHS-4,45.5,47.0,57.7,5.7,11.1,96.4,,36.8,67.6,91.4,96.3,34.8,35.8,,,,1.7,1.6,9.5,
2016,IN-HR,NFHS-4,62.7,62.7,63.7,8.6,7.0,94.8,,32.0,70.3,92.0,98.9,80.6,48.5,,,,2.7,5.7,14.3,
2016,IN-JH,NFHS-4,65.0,65.2,40.4,4.6,7.2,95.3,,34.0,61.1,86.9,81.2,25.0,18.0,,,,2.6,1.0,4.2,
2016,IN-MP,NFHS-4,53.2,52.5,51.4,5.8,6.9,95.7,,33.0,64.0,92.2,90.9,34.8,29.3,,,,1.3,0.5,9.2,
2016,NCT Delhi,NFHS-4,55.1,54.3,54.9,26.5,4.3,92.9,,26.8,80.9,86.6,99.8,75.1,27.5,,,,2.9,5.4,29.9,
2016,IN-OR,NFHS-4,51.0,51.0,57.3,11.5,8.9,98.3,,35.2,67.8,97.2,86.6,30.0,32.8,,,,12.0,1.1,4.2,
2016,IN-TR,NFHS-5,61.7,66.1,76.9,40.4,13.5,96.8,83.0,14.0,89.1,96.1,99.4,78.5,40.6,46.3,47.0,0.8,33.0,0.0,8.2,
2016,IN-PY,NFHS-4,55.0,52.4,61.9,30.4,21.8,89.7,,34.6,81.4,98.0,99.8,64.8,18.0,,,,0.4,2.6,36.3,
2016,IN-PB,NFHS-4,58.0,53.5,75.8,17.8,5.7,89.0,,20.5,76.0,95.1,99.6,82.7,62.3,,,,2.5,6.8,19.9,
2016,IN-RJ,NFHS-4,49.1,46.8,59.7,6.1,3.4,94.4,,25.2,57.2,92.3,91.2,46.1,37.4,,,,2.4,1.2,6.0,
2016,IN-TN,NFHS-4,54.2,55.0,53.2,26.3,21.4,86.1,,40.7,77.2,96.0,99.0,52.5,10.9,,,,0.2,1.9,40.1,
2016,IN-UP,NFHS-4,53.7,52.4,45.5,4.7,5.3,84.5,,36.7,63.0,79.8,72.6,36.4,26.2,,,,1.9,1.2,3.9,
2016,IN-UT,NFHS-4,46.4,45.2,53.4,9.3,8.6,91.0,,12.7,72.7,93.4,97.8,66.2,36.5,,,,3.2,1.6,7.2,
2020,IN-CH,NFHS-5,57.5,60.3,77.5,30.6,-22.9,-92.8,89.4,9.7,86.8,97.4,99.9,85.4,53.6,66.9,91.9,0.0,0.4,4.3,64.3,
2020,IN-CT,NFHS-5,61.2,62.2,66.8,7.1,9.7,98.7,80.2,22.2,66.1,97.2,98.6,73.5,28.7,43.2,50.4,0.1,2.3,2.6,27.1,
2020,IN-CT,NFHS-5,62.2,56.5,71.3,17.8,9.4,88.9,87.3,14.0,80.3,98.5,99.5,88.2,37.4,47.9,75.4,0.4,2.6,3.7,23.5,
