observationDate,observationAbout,value,variableMeasured
2021,country/USA,2509637,dcid:Count_Student_AllStudents_InstitutionAll_AllInstitution_Adjusted
2021,country/USA,1444019,dcid:Count_Student_AllStudents_InstitutionAll_AllInstitution_Received
2021,country/USA,57.5,dcid:Percent_Student_AllStudents_InstitutionAll_AllInstitution_Graduation
2021,country/USA,1710439,dcid:Count_Student_AllStudents_InstitutionControlPublic_AllInstitution_Adjusted
2021,country/USA,915701,dcid:Count_Student_AllStudents_InstitutionControlPublic_AllInstitution_Received
2021,country/USA,53.5,dcid:Percent_Student_AllStudents_InstitutionControlPublic_AllInstitution_Graduation
2021,country/USA,533997,dcid:Count_Student_AllStudents_InstitutionControlPrivateNonProfit_AllInstitution_Adjusted
2021,country/USA,360401,dcid:Count_Student_AllStudents_InstitutionControlPrivateNonProfit_AllInstitution_Received
2021,country/USA,67.5,dcid:Percent_Student_AllStudents_InstitutionControlPrivateNonProfit_AllInstitution_Graduation
2021,country/USA,265201,dcid:Count_Student_AllStudents_InstitutionControlPrivateForProfit_AllInstitution_Adjusted
2021,country/USA,167917,dcid:Count_Student_AllStudents_InstitutionControlPrivateForProfit_AllInstitution_Received
2021,country/USA,63.3,dcid:Percent_Student_AllStudents_InstitutionControlPrivateForProfit_AllInstitution_Graduation
2021,country/USA,1039731,dcid:Count_Student_PellGrant_InstitutionAll_AllInstitution_Adjusted
2021,country/USA,507709,dcid:Count_Student_PellGrant_InstitutionAll_AllInstitution_Received
2021,country/USA,48.8,dcid:Percent_Student_PellGrant_InstitutionAll_AllInstitution_Graduation
2021,country/USA,685578,dcid:Count_Student_PellGrant_InstitutionControlPublic_AllInstitution_Adjusted
2021,country/USA,300548,dcid:Count_Student_PellGrant_InstitutionControlPublic_AllInstitution_Received
2021,country/USA,43.8,dcid:Percent_Student_PellGrant_InstitutionControlPublic_AllInstitution_Graduation
2021,country/USA,173831,dcid:Count_Student_PellGrant_InstitutionControlPrivateNonProfit_AllInstitution_Adjusted
2021,country/USA,95910,dcid:Count_Student_PellGrant_InstitutionControlPrivateNonProfit_AllInstitution_Received
2021,country/USA,55.2,dcid:Percent_Student_PellGrant_InstitutionControlPrivateNonProfit_AllInstitution_Graduation
2021,country/USA,180322,dcid:Count_Student_PellGrant_InstitutionControlPrivateForProfit_AllInstitution_Adjusted
2021,country/USA,111251,dcid:Count_Student_PellGrant_InstitutionControlPrivateForProfit_AllInstitution_Received
2021,country/USA,61.7,dcid:Percent_Student_PellGrant_InstitutionControlPrivateForProfit_AllInstitution_Graduation
2021,country/USA,343849,dcid:Count_Student_SubsidizedLoan_InstitutionAll_AllInstitution_Adjusted
2021,country/USA,221424,dcid:Count_Student_SubsidizedLoan_InstitutionAll_AllInstitution_Received
2021,country/USA,64.4,dcid:Percent_Student_SubsidizedLoan_InstitutionAll_AllInstitution_Graduation
2021,country/USA,198005,dcid:Count_Student_SubsidizedLoan_InstitutionControlPublic_AllInstitution_Adjusted
2021,country/USA,119468,dcid:Count_Student_SubsidizedLoan_InstitutionControlPublic_AllInstitution_Received
2021,country/USA,60.3,dcid:Percent_Student_SubsidizedLoan_InstitutionControlPublic_AllInstitution_Graduation
2021,country/USA,117680,dcid:Count_Student_SubsidizedLoan_InstitutionControlPrivateNonProfit_AllInstitution_Adjusted
2021,country/USA,81368,dcid:Count_Student_SubsidizedLoan_InstitutionControlPrivateNonProfit_AllInstitution_Received
2021,country/USA,69.1,dcid:Percent_Student_SubsidizedLoan_InstitutionControlPrivateNonProfit_AllInstitution_Graduation
2021,country/USA,28164,dcid:Count_Student_SubsidizedLoan_InstitutionControlPrivateForProfit_AllInstitution_Adjusted
2021,country/USA,20588,dcid:Count_Student_SubsidizedLoan_InstitutionControlPrivateForProfit_AllInstitution_Received
2021,country/USA,73.1,dcid:Percent_Student_SubsidizedLoan_InstitutionControlPrivateForProfit_AllInstitution_Graduation
2021,country/USA,1126057,dcid:Count_Student_NoGrant_InstitutionAll_AllInstitution_Adjusted
2021,country/USA,714886,dcid:Count_Student_NoGrant_InstitutionAll_AllInstitution_Received
2021,country/USA,63.5,dcid:Percent_Student_NoGrant_InstitutionAll_AllInstitution_Graduation
2021,country/USA,826856,dcid:Count_Student_NoGrant_InstitutionControlPublic_AllInstitution_Adjusted
2021,country/USA,495685,dcid:Count_Student_NoGrant_InstitutionControlPublic_AllInstitution_Received
2021,country/USA,59.9,dcid:Percent_Student_NoGrant_InstitutionControlPublic_AllInstitution_Graduation
2021,country/USA,242486,dcid:Count_Student_NoGrant_InstitutionControlPrivateNonProfit_AllInstitution_Adjusted
2021,country/USA,183123,dcid:Count_Student_NoGrant_InstitutionControlPrivateNonProfit_AllInstitution_Received
2021,country/USA,75.5,dcid:Percent_Student_NoGrant_InstitutionControlPrivateNonProfit_AllInstitution_Graduation
2021,country/USA,56715,dcid:Count_Student_NoGrant_InstitutionControlPrivateForProfit_AllInstitution_Adjusted
2021,country/USA,36078,dcid:Count_Student_NoGrant_InstitutionControlPrivateForProfit_AllInstitution_Received
2021,country/USA,63.6,dcid:Percent_Student_NoGrant_InstitutionControlPrivateForProfit_AllInstitution_Graduation
2021,country/USA,1825647,dcid:Count_Student_AllStudents_InstitutionAll_FourYearInstitution_Adjusted
2021,country/USA,1112922,dcid:Count_Student_AllStudents_InstitutionAll_FourYearInstitution_Received
2021,country/USA,61,dcid:Percent_Student_AllStudents_InstitutionAll_FourYearInstitution_Graduation
2021,country/USA,1266427,dcid:Count_Student_AllStudents_InstitutionControlPublic_FourYearInstitution_Adjusted
2021,country/USA,746339,dcid:Count_Student_AllStudents_InstitutionControlPublic_FourYearInstitution_Received
2021,country/USA,58.9,dcid:Percent_Student_AllStudents_InstitutionControlPublic_FourYearInstitution_Graduation
2021,country/USA,510260,dcid:Count_Student_AllStudents_InstitutionControlPrivateNonProfit_FourYearInstitution_Adjusted
2021,country/USA,345569,dcid:Count_Student_AllStudents_InstitutionControlPrivateNonProfit_FourYearInstitution_Received
2021,country/USA,67.7,dcid:Percent_Student_AllStudents_InstitutionControlPrivateNonProfit_FourYearInstitution_Graduation
2021,country/USA,48960,dcid:Count_Student_AllStudents_InstitutionControlPrivateForProfit_FourYearInstitution_Adjusted
2021,country/USA,21014,dcid:Count_Student_AllStudents_InstitutionControlPrivateForProfit_FourYearInstitution_Received
2021,country/USA,42.9,dcid:Percent_Student_AllStudents_InstitutionControlPrivateForProfit_FourYearInstitution_Graduation
2021,country/USA,661340,dcid:Count_Student_PellGrant_InstitutionAll_FourYearInstitution_Adjusted
2021,country/USA,324890,dcid:Count_Student_PellGrant_InstitutionAll_FourYearInstitution_Received
2021,country/USA,49.1,dcid:Percent_Student_PellGrant_InstitutionAll_FourYearInstitution_Graduation
2021,country/USA,472609,dcid:Count_Student_PellGrant_InstitutionControlPublic_FourYearInstitution_Adjusted
2021,country/USA,226470,dcid:Count_Student_PellGrant_InstitutionControlPublic_FourYearInstitution_Received
2021,country/USA,47.9,dcid:Percent_Student_PellGrant_InstitutionControlPublic_FourYearInstitution_Graduation
2021,country/USA,156784,dcid:Count_Student_PellGrant_InstitutionControlPrivateNonProfit_FourYearInstitution_Adjusted
2021,country/USA,85335,dcid:Count_Student_PellGrant_InstitutionControlPrivateNonProfit_FourYearInstitution_Received
2021,country/USA,54.4,dcid:Percent_Student_PellGrant_InstitutionControlPrivateNonProfit_FourYearInstitution_Graduation
2021,country/USA,31947,dcid:Count_Student_PellGrant_InstitutionControlPrivateForProfit_FourYearInstitution_Adjusted
2021,country/USA,13085,dcid:Count_Student_PellGrant_InstitutionControlPrivateForProfit_FourYearInstitution_Received
2021,country/USA,41,dcid:Percent_Student_PellGrant_InstitutionControlPrivateForProfit_FourYearInstitution_Graduation
2021,country/USA,300337,dcid:Count_Student_SubsidizedLoan_InstitutionAll_FourYearInstitution_Adjusted
2021,country/USA,195050,dcid:Count_Student_SubsidizedLoan_InstitutionAll_FourYearInstitution_Received
2021,country/USA,64.9,dcid:Percent_Student_SubsidizedLoan_InstitutionAll_FourYearInstitution_Graduation
2021,country/USA,179468,dcid:Count_Student_SubsidizedLoan_InstitutionControlPublic_FourYearInstitution_Adjusted
2021,country/USA,112190,dcid:Count_Student_SubsidizedLoan_InstitutionControlPublic_FourYearInstitution_Received
2021,country/USA,62.5,dcid:Percent_Student_SubsidizedLoan_InstitutionControlPublic_FourYearInstitution_Graduation
2021,country/USA,116034,dcid:Count_Student_SubsidizedLoan_InstitutionControlPrivateNonProfit_FourYearInstitution_Adjusted
2021,country/USA,80188,dcid:Count_Student_SubsidizedLoan_InstitutionControlPrivateNonProfit_FourYearInstitution_Received
