National Center for Education Statistics,,,,,,,,,,,,,,,,
"Number of full-time, first-time degree/certificate-seeking undergraduate students in the adjusted cohort, number of completers, and percentage graduating at Title IV institutions, by control of institution, level of institution, and type of aid received: United States, cohort years 2010 and 2013",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Level of institution and type of aid received,,,,,,,,,,Private,,,,,,
,,All institutions,,,,Public,,,,Nonprofit,,,,For-profit,,
,,Adjusted cohort,Completers,Graduation rate,,Adjusted cohort,Completers,Graduation rate,,Adjusted cohort,Completers,Graduation rate,,Adjusted cohort,Completers,Graduation rate
,,,,,,,,,,,,,,,,
All institutions,,,,,,,,,,,,,,,,
All students,,"2,779,027","1,358,162",48.9,,"1,769,202","775,972",43.9,,"566,237","361,298",63.8,,"443,588","220,892",49.8
Received Pell Grant,,"1,349,984","550,314",40.8,,"800,185","272,545",34.1,,"224,523","119,375",53.2,,"325,276","158,394",48.7
"Received Direct Subsidized Loan, but not a 
     Pell Grant",,"371,450","221,896",59.7,,"196,617","105,905",53.9,,"131,657","89,485",68.0,,"43,176","26,506",61.4
"Received neither a Pell Grant or a Direct 
     Subsidized Loan",,"1,057,593","585,952",55.4,,"772,400","397,522",51.5,,"210,057","152,438",72.6,,"75,136","35,992",47.9
,,,,,,,,,,,,,,,,
All 4-year institutions (cohort year 2010),,,,,,,,,,,,,,,,
All students,,"1,778,458","972,039",54.7,,"1,084,594","593,462",54.7,,"517,399","331,026",64.0,,"176,465","47,551",26.9
Received Pell Grant,,"736,299","310,891",42.2,,"421,649","184,115",43.7,,"186,026","95,637",51.4,,"128,624","31,139",24.2
"Received Direct Subsidized Loan, but not a 
     Pell Grant",,"309,599","191,188",61.8,,"165,031","97,082",58.8,,"128,415","87,417",68.1,,"16,153","6,689",41.4
"Received neither a Pell Grant or a Direct 
     Subsidized Loan",,"732,560","469,960",64.2,,"497,914","312,265",62.7,,"202,958","147,972",72.9,,"31,688","9,723",30.7
,,,,,,,,,,,,,,,,
4-year bachelor's cohort (cohort year 2010),,,,,,,,,,,,,,,,
All students,,"1,466,388","880,340",60.0,,"932,667","551,604",59.1,,"471,549","312,945",66.4,,"62,172","15,791",25.4
Received Pell Grant,,"534,119","258,057",48.3,,"337,195","164,604",48.8,,"156,369","85,156",54.5,,"40,555","8,297",20.5
"Received Direct Subsidized Loan, but not a 
     Pell Grant",,"286,212","181,754",63.5,,"155,734","94,214",60.5,,"122,921","84,369",68.6,,"7,557","3,171",42.0
"Received neither a Pell Grant or a Direct 
     Subsidized Loan",,"646,057","440,529",68.2,,"439,738","292,786",66.6,,"192,259","143,420",74.6,,"14,060","4,323",30.7
,,,,,,,,,,,,,,,,
"4-year other than bachelor's cohort (cohort
     year 2010)",,,,,,,,,,,,,,,,
All students,,"312,070","91,699",29.4,,"151,927","41,858",27.6,,"45,850","18,081",39.4,,"114,293","31,760",27.8
Received Pell Grant,,"202,180","52,834",26.1,,"84,454","19,511",23.1,,"29,657","10,481",35.3,,"88,069","22,842",25.9
"Received Direct Subsidized Loan, but not a 
     Pell Grant",,"23,387","9,434",40.3,,"9,297","2,868",30.8,,"5,494","3,048",55.5,,"8,596","3,518",40.9
"Received neither a Pell Grant or a Direct 
     Subsidized Loan",,"86,503","29,431",34.0,,"58,176","19,479",33.5,,"10,699","4,552",42.5,,"17,628","5,400",30.6
,,,,,,,,,,,,,,,,
Total 2-year institutions (cohort year 2013),,,,,,,,,,,,,,,,
